aesthetics,memory,motion,quality,visual_verbal,frame
0.20363161,0.18206442,0.35704431,0.58256039,0.20072122,1
0.20875115,0.18240998,0.12184419,0.53066539,0.21433207,2
0.20363161,0.18206442,0.04630039,0.53962414,0.32395969,3
0.20875115,0.18206442,0.04630039,0.53066539,0.37591921,4
0.2429735,0.18206442,0.04630039,0.53066539,0.40379185,5
0.2429735,0.18206442,0.04630039,0.51497184,0.48056541,6
0.2429735,0.1833923,0.04630039,0.51497184,0.4134792,7
0.2429735,0.1833923,0.04630039,0.51497184,0.35309634,8
0.27027701,0.1833923,0.10695879,0.51137981,0.32896562,9
0.27027701,0.1833923,0.10695879,0.49659487,0.41943606,10
0.27271264,0.19068514,0.10695879,0.49659487,0.33595291,11
0.30389979,0.20391105,0.10695879,0.49659487,0.33393916,12
0.30389979,0.2169823,0.10695879,0.49659487,0.26912315,13
0.30389979,0.2169823,0.06105585,0.54244481,0.32312583,14
0.30389979,0.2169823,0.06105585,0.57503554,0.30627914,15
0.2856223,0.20014691,0.06105585,0.57503554,0.33696863,16
0.2856223,0.19248462,0.06105585,0.57503554,0.38874003,17
0.2856223,0.19248462,0.06105585,0.56707128,0.39098083,18
0.30915548,0.19248462,0.03950376,0.56707128,0.41644388,19
0.35438738,0.20104847,0.03950376,0.56707128,0.48711275,20
0.35438738,0.20520343,0.03950376,0.58465899,0.37607031,21
0.35438738,0.20520343,0.07723787,0.60855936,0.38297156,22
0.36887483,0.20520343,0.09471801,0.60855936,0.39009987,23
0.41251948,0.20520343,0.09471801,0.60855936,0.41884231,24
0.42475446,0.20520343,0.09471801,0.60855936,0.40282323,25
0.42475446,0.20835796,0.09471801,0.58124046,0.4609133,26
0.42475446,0.2103266,0.09471801,0.58124046,0.50948617,27
0.41761531,0.2103266,0.13273246,0.58124046,0.54283217,28
0.41761531,0.22318523,0.13273246,0.60146268,0.51600275,29
0.41761531,0.22979239,0.13273246,0.6183142,0.51744534,30
0.41034376,0.22979239,0.05267948,0.6183142,0.44413467,31
0.41034376,0.22979239,0.05267948,0.6183142,0.46362316,32
0.41034376,0.24809258,0.05267948,0.60341395,0.41554658,33
0.41034376,0.27194153,0.05267948,0.60341395,0.38033139,34
0.44024119,0.27194153,0.05267948,0.60341395,0.36987007,35
0.47297812,0.27194153,0.09137237,0.60341395,0.36750077,36
0.48053218,0.27194153,0.09137237,0.60341395,0.38527226,37
0.48053218,0.27194153,0.09137237,0.62771267,0.42169156,38
0.48053218,0.27577775,0.04262494,0.65652156,0.32665676,39
0.4670617,0.27577775,0.04262494,0.69551363,0.34762325,40
0.4670617,0.27577775,0.04262494,0.69551363,0.37595188,41
0.4670617,0.27501565,0.04262494,0.69551363,0.45106369,42
0.4670617,0.27410468,0.01751174,0.69412873,0.32659497,43
0.48004084,0.27410468,0.01751174,0.69412873,0.3176168,44
0.48004084,0.27410468,0.01751174,0.64719169,0.25813777,45
0.48004084,0.27410468,0.01751174,0.64719169,0.39147576,46
0.48004084,0.27410468,0.01751174,0.64719169,0.36789524,47
0.48004084,0.27410468,0.01751174,0.64719169,0.34859514,48
0.48004084,0.27410468,0.01751174,0.62430677,0.32765452,49
0.47230403,0.27245334,0.00241005,0.62430677,0.34691896,50
0.47230403,0.27245334,0.00241005,0.62430677,0.3225465,51
0.47230403,0.26620984,0.00241005,0.62430677,0.32559068,52
0.47358333,0.26620984,0.00241005,0.62430677,0.36713733,53
0.47358333,0.26620984,0.00241005,0.62430677,0.38200593,54
0.51119679,0.25849792,0.00241005,0.62430677,0.33637978,55
0.52333267,0.25849792,0.00241005,0.62430677,0.27864661,56
0.52343926,0.25849792,0.00241005,0.62430677,0.27655173,57
0.52343926,0.25937267,0.02488342,0.62430677,0.20219784,58
0.52343926,0.26161949,0.02488342,0.62430677,0.23980002,59
0.52343926,0.27187452,0.04658396,0.63610948,0.27607151,60
0.52343926,0.27187452,0.07272853,0.63610948,0.26129056,61
0.52307114,0.27187452,0.07272853,0.63610948,0.35937144,62
0.52307114,0.27388409,0.07272853,0.62786245,0.34980905,63
0.5016953,0.27388409,0.04151851,0.62786245,0.36615237,64
0.5016953,0.27388409,0.04151851,0.62786245,0.38382013,65
0.5016953,0.26411081,0.04151851,0.62786245,0.33029959,66
0.5016953,0.25707478,0.04151851,0.61592586,0.30453953,67
0.5016953,0.25707478,0.01631239,0.61592586,0.32045326,68
0.5016953,0.25707478,0.01631239,0.61592586,0.3878509,69
0.5016953,0.26239825,0.01631239,0.6392454,0.47165367,70
0.5160558,0.26239825,0.03171439,0.66843972,0.41722766,71
0.5160558,0.26239825,0.03171439,0.68342838,0.44573952,72
0.5160558,0.2583668,0.03171439,0.68342838,0.43079632,73
0.5160558,0.2583668,0.03171439,0.68342838,0.42600464,74
0.5160558,0.2583668,0.03171439,0.68342838,0.41571537,75
0.50652764,0.2583668,0.03171439,0.68342838,0.49533981,76
0.50652764,0.2583668,0.03171439,0.68342838,0.48416441,77
0.50652764,0.24995907,0.03171439,0.68342838,0.52482356,78
0.45834562,0.24839865,0.03171439,0.7034245,0.51058792,79
0.45039518,0.23935668,0.05047518,0.71102397,0.47309953,80
0.44869633,0.23352792,0.05047518,0.73523811,0.45536861,81
0.44869633,0.23352792,0.05047518,0.73523811,0.53805982,82
0.44869633,0.23352792,0.05047518,0.77459988,0.49899571,83
0.4545392,0.23352792,0.05047518,0.77459988,0.4013515,84
0.46824297,0.23352792,0.05047518,0.77459988,0.40559299,85
0.46824297,0.2376032,0.04631513,0.77459988,0.41858749,86
0.46824297,0.25549842,0.04631513,0.77459988,0.40713631,87
0.46824297,0.25845047,0.04631513,0.73150887,0.40729366,88
0.46622422,0.25845047,0.04631513,0.71685256,0.33839843,89
0.43032799,0.25845047,0.04631513,0.67162117,0.37945832,90
0.42322928,0.25845047,0.00070757,0.67162117,0.33941579,91
