aesthetics,memory,motion,quality,visual_verbal,frame
0.00511954,0.00034556,-0.23520012,-0.051895,0.01361085,1
-0.00511954,-0.00034556,-0.0755438,0.00895875,0.10962762,2
0.00511954,0,0,-0.00895875,0.05195952,3
0.03422235,0,0,0,0.02787264,4
0,0,0,-0.01569355,0.07677356,5
0,0.00132788,0,0,-0.06708621,6
0,0,0,0,-0.06038286,7
0.02730351,0,0.0606584,-0.00359203,-0.02413072,8
0,0,0,-0.01478494,0.09047044,9
0.00243563,0.00729284,0,0,-0.08348315,10
0.03118715,0.01322591,0,0,-0.00201375,11
0,0.01307125,0,0,-0.06481601,12
0,0,-0.04590294,0.04584994,0.05400268,13
0,0,0,0.03259073,-0.01684669,14
-0.01827749,-0.01683539,0,0,0.03068949,15
0,-0.00766229,0,0,0.0517714,16
0,0,0,-0.00796426,0.0022408,17
0.02353318,0,-0.02155209,0,0.02546305,18
0.0452319,0.00856385,0,0,0.07066887,19
0,0.00415496,0,0.01758771,-0.11104244,20
0,0,0.03773411,0.02390037,0.00690125,21
0.01448745,0,0.01748014,0,0.00712831,22
0.04364465,0,0,0,0.02874244,23
0.01223498,0,0,0,-0.01601908,24
0,0.00315453,0,-0.0273189,0.05809007,25
0,0.00196864,0,0,0.04857287,26
-0.00713915,0,0.03801445,0,0.033346,27
0,0.01285863,0,0.02022222,-0.02682942,28
0,0.00660716,0,0.01685152,0.00144259,29
-0.00727155,0,-0.08005298,0,-0.07331067,30
0,0,0,0,0.01948849,31
0,0.01830019,0,-0.01490025,-0.04807658,32
0,0.02384895,0,0,-0.03521519,33
0.02989743,0,0,0,-0.01046132,34
0.03273693,0,0.03869289,0,-0.0023693,35
0.00755406,0,0,0,0.01777149,36
0,0,0,0.02429872,0.0364193,37
0,0.00383622,-0.04874743,0.02880889,-0.0950348,38
-0.01347048,0,0,0.03899207,0.02096649,39
0,0,0,0,0.02832863,40
0,-0.0007621,0,0,0.07511181,41
0,-0.00091097,-0.0251132,-0.0013849,-0.12446872,42
0.01297914,0,0,0,-0.00897817,43
0,0,0,-0.04693704,-0.05947903,44
0,0,0,0,0.13333799,45
0,0,0,0,-0.02358052,46
0,0,0,0,-0.0193001,47
0,0,0,-0.02288492,-0.02094062,48
-0.00773681,-0.00165134,-0.01510169,0,0.01926444,49
0,0,0,0,-0.02437246,50
0,-0.0062435,0,0,0.00304418,51
0.0012793,0,0,0,0.04154665,52
0,0,0,0,0.0148686,53
0.03761346,-0.00771192,0,0,-0.04562615,54
0.01213588,0,0,0,-0.05773317,55
0.00010659,0,0,0,-0.00209488,56
0,0.00087475,0.02247337,0,-0.07435389,57
0,0.00224682,0,0,0.03760218,58
0,0.01025503,0.02170054,0.01180271,0.03627149,59
0,0,0.02614457,0,-0.01478095,60
-0.00036812,0,0,0,0.09808088,61
0,0.00200957,0,-0.00824703,-0.00956239,62
-0.02137584,0,-0.03121002,0,0.01634332,63
0,0,0,0,0.01766776,64
0,-0.00977328,0,0,-0.05352054,65
0,-0.00703603,0,-0.01193659,-0.02576006,66
0,0,-0.02520612,0,0.01591373,67
0,0,0,0,0.06739764,68
0,0.00532347,0,0.02331954,0.08380277,69
0.0143605,0,0.015402,0.02919432,-0.05442601,70
0,0,0,0.01498866,0.02851186,71
0,-0.00403145,0,0,-0.0149432,72
0,0,0,0,-0.00479168,73
0,0,0,0,-0.01028927,74
-0.00952816,0,0,0,0.07962444,75
0,0,0,0,-0.0111754,76
0,-0.00840773,0,0,0.04065915,77
