aesthetics,memory,motion,quality,visual_verbal
0.56189408,0.76430755,0,0.51324305,0.16980743
0.5638023,0.76380315,0.06463239,0.52751433,0.18741384
0.5251622,0.76430755,0.06463239,0.52751433,0.31329985
0.52088781,0.77691256,0.11075332,0.52751433,0.10860345
0.52088781,0.78856409,0.11075332,0.53305017,0.34839395
0.52088781,0.78856409,0.11075332,0.53305017,0.4207114
0.55037863,0.78856409,0.11075332,0.53305017,0.26806225
0.55037863,0.78479884,0.11075332,0.53305017,0.25544676
0.55037863,0.77395164,0.11075332,0.51921348,0.35622459
0.54722763,0.77395164,0.0423337,0.51921348,0.17175155
0.54453949,0.77395164,0.01178085,0.51921348,0.30331448
0.54453949,0.77395164,0.01103171,0.52694159,0.35235898
0.54453949,0.77395164,0.01103171,0.52694159,0.23480338
0.53244735,0.77395164,0.01103171,0.52694159,0.27495481
0.5023818,0.77734397,0.01103171,0.52694159,0.29182338
0.5023818,0.78455055,0.01103171,0.52694159,0.20432052
0.5023818,0.80314088,0.01103171,0.52694159,0.16328852
0.51987694,0.80314088,0.01103171,0.52694159,0.10444933
0.51987694,0.80477689,0.01103171,0.55208196,0.28012491
0.51987694,0.80477689,0.01103171,0.55893249,0.29774912
0.4575027,0.80477689,0.01103171,0.55893249,0.30717564
0.45694045,0.79950343,0.01103171,0.55893249,0.23224625
0.45694045,0.79950343,0.01103171,0.5531257,0.24174019
0.45694045,0.79950343,0.00910189,0.5531257,0.06787323
0.46761026,0.80986705,0.00910189,0.5531257,0.16400438
0.46761026,0.80986705,0.00910189,0.53906981,0.21811891
0.46761026,0.80986705,0.00910189,0.53906981,0.12242836
0.46761026,0.80986705,0.00910189,0.53906981,0.29785522
0.46761026,0.80041875,0.00910189,0.54223552,0.22681964
0.45026084,0.8001853,0.00910189,0.54223552,0.22006192
0.43714033,0.8001853,0.00910189,0.54223552,0.29393443
0.43714033,0.8001853,0.00910189,0.5475618,0.25032146
0.43714033,0.8001853,0.00885291,0.55359074,0.24868914
0.43714033,0.8001853,0.00885291,0.56401172,0.22825906
0.43714033,0.8001853,0.00885291,0.56401172,0.20240682
0.43512737,0.7837992,0.00885291,0.56401172,0.32659633
0.423616,0.7837992,0.00885291,0.56401172,0.27735828
0.423616,0.7837992,0.00958568,0.56401172,0.30307178
0.3791701,0.7837992,0.00958568,0.54901297,0.34817175
0.3791701,0.7837992,0.00958568,0.54901297,0.38964269
0.3791701,0.7837992,0.00958568,0.54901297,0.43514107
0.3791701,0.79449225,0.00958568,0.5171026,0.36875216
0.3791701,0.79449225,0.00958568,0.5171026,0.38334264
0.3791701,0.79449225,0.00958568,0.5171026,0.31824829
0.38099577,0.79256247,0.00958568,0.5171026,0.25043479
0.3955899,0.79256247,0.00958568,0.5171026,0.07080568
0.3955899,0.79256247,0.00958568,0.5171026,0.13038225
0.3955899,0.81517667,0.00958568,0.5171026,0.2243648
0.3955899,0.81517667,0.00958568,0.51176266,0.04502531
0.3955899,0.81517667,0.00958568,0.51176266,0.07242428
0.4004007,0.79824385,0.01544962,0.51176266,0.16076672
0.42390532,0.79145419,0.01544962,0.51176266,0.08943872
0.42390532,0.79145419,0.01544962,0.51176266,0.19640039
0.42390532,0.78194307,0.01544962,0.51176266,0.13493108
0.436105,0.76309112,0.01544962,0.52646495,0.14562507
0.436105,0.76309112,0.03560495,0.52646495,0.15360224
0.436105,0.76309112,0.0435909,0.52646495,0.27303564
0.436105,0.76309112,0.05928108,0.52144334,0.19781162
0.436105,0.76309112,0.05928108,0.52144334,0.32068217
0.47680403,0.7643947,0.05928108,0.52144334,0.16051298
0.47680403,0.7643947,0.05928108,0.55055968,0.153972
0.47680403,0.7643947,0.05928108,0.55055968,0.17312791
0.47680403,0.75398375,0.05928108,0.55055968,0.21853513
0.47680403,0.75398375,0.05928108,0.49252496,0.18102597
0.51006958,0.75398375,0.05928108,0.49252496,0.34919161
0.51006958,0.71294586,0.05377542,0.49252496,0.32687047
0.51006958,0.71294586,0.05377542,0.42174534,0.44230008
0.51006958,0.71263675,0.05377542,0.42174534,0.43238557
0.51006958,0.68886995,0.06426674,0.30800175,0.34084961
0.51899293,0.68687484,0.06426674,0.30800175,0.3380686
0.51899293,0.68687484,0.06426674,0.30800175,0.4346884
0.51899293,0.67323904,0.06426674,0.30800175,0.36534589
0.51899293,0.67323904,0.06426674,0.30800175,0.33263818
0.51899293,0.67082485,0.08609045,0.30800175,0.3111517
0.51899293,0.59382005,0.08609045,0.34740337,0.37378351
0.5469312,0.5745222,0.08609045,0.40921907,0.33038839
0.61394674,0.53200776,0.08609045,0.43836908,0.38266656
0.61412694,0.38345377,0.08609045,0.44234566,0.38807723
0.61412694,0.34578921,0.08609045,0.44234566,0.30394855
0.61412694,0.34578921,0.08609045,0.44234566,0.30240293
0.61412694,0.34578921,0.08609045,0.44234566,0.36128636
0.61412694,0.34578921,0.08609045,0.47701014,0.43790937
0.57708315,0.34578921,0.05716209,0.47701014,0.37739483
0.48851186,0.34578921,0.05716209,0.47701014,0.31104783
0.46547695,0.34578921,0.05716209,0.42641885,0.42491421
0.46547695,0.34578921,0.05774439,0.42641885,0.42102764
0.46547695,0.34578921,0.06364245,0.42641885,0.33005944
0.41724001,0.34578921,0.10575591,0.38657357,0.4029745
0.40983544,0.36518271,0.10575591,0.38657357,0.33836491
0.29288343,0.36518271,0.10575591,0.38657357,0.47436667
0.29288343,0.36680172,0.10422711,0.47015908,0.4779702
0.29288343,0.36680172,0.10422711,0.47015908,0.43574092
0.29406329,0.36680172,0.07283105,0.47015908,0.53632408
0.29406329,0.37153046,0.05223706,0.47015908,0.66271023
0.29406329,0.37153046,0.04651328,0.48399055,0.69919907
0.29406329,0.37153046,0.04651328,0.48399055,0.57910118
0.29137002,0.2972018,0.04651328,0.53554135,0.85274093
0.29116816,0.29649811,0.04651328,0.53554135,0.86149303
0.29116816,0.25749381,0.04298174,0.69811458,0.87934826
0.29116816,0.25749381,0.04125881,0.69811458,0.84685887
0.29116816,0.25394601,0.04125881,0.69811458,0.87013404
0.29116816,0.248102,0.0371838,0.6914089,0.89417543
0.29116816,0.248102,0.0371838,0.6914089,0.86763987
0.28663964,0.248102,0.0371838,0.6914089,0.91672258
0.25787941,0.248102,0.0371838,0.6914089,0.87129932
0.25787941,0.248102,0.0371838,0.6914089,0.84879186
0.25787941,0.27929584,0.0328032,0.6914089,0.6727365
0.29808324,0.30944338,0.0328032,0.6914089,0.67809625
0.40126178,0.31302734,0.0328032,0.71183016,0.75643125
0.40126178,0.31402748,0.0328032,0.71183016,0.75965945
0.40126178,0.36733595,0.0328032,0.71183016,0.63979712
0.40126178,0.38232966,0.0328032,0.71183016,0.63617366
0.40720549,0.38894885,0.0328032,0.68061921,0.53261882
0.45553311,0.39845997,0.02523273,0.68061921,0.62802242
0.48332936,0.39845997,0.01948225,0.68061921,0.6148172
0.48332936,0.39845997,0.01948225,0.67736364,0.62371138
0.50578661,0.39845997,0.01948225,0.60319561,0.58023048
0.50578661,0.39845997,0.02170881,0.58500761,0.48574278
0.51027524,0.43866403,0.02170881,0.58500761,0.67712943
0.51027524,0.43866403,0.02170881,0.58500761,0.56592628
0.51027524,0.475083,0.02170881,0.66093257,0.59927037
0.50387996,0.475083,0.026572,0.66093257,0.59413728
0.46655959,0.475083,0.026572,0.66093257,0.60527124
0.46655959,0.475083,0.026572,0.66093257,0.52358914
0.46655959,0.475083,0.026572,0.66093257,0.66298827
0.46655959,0.51361423,0.02633179,0.65613636,0.57802882
0.48049101,0.51361423,0.02633179,0.65613636,0.48488715
0.48271606,0.51361423,0.02633179,0.65613636,0.44968185
0.4883187,0.51361423,0.03022987,0.65613636,0.57238
0.5279385,0.51361423,0.03022987,0.65019451,0.52988474
0.53712927,0.51361423,0.03022987,0.63994026,0.67821449
0.53712927,0.47417335,0.02959501,0.56660279,0.45525611
0.53935577,0.47417335,0.02959501,0.56660279,0.52163733
0.53935577,0.47417335,0.02959501,0.56660279,0.4888251
0.56852892,0.47417335,0.02959501,0.56995847,0.56221443
0.56852892,0.47417335,0.02440977,0.56995847,0.60295625
0.59414809,0.4619606,0.02440977,0.56995847,0.59206991
0.59414809,0.4619606,0.02393722,0.56364047,0.62325695
0.69538125,0.4619606,0.02393722,0.56364047,0.57245187
0.69538125,0.46134805,0.02393722,0.55580506,0.62798041
0.69538125,0.41522416,0.02554757,0.46303779,0.51270725
0.69538125,0.34691648,0.03015429,0.46303779,0.54615846
0.69538125,0.33122175,0.03015429,0.45274397,0.64581691
0.69538125,0.33122175,0.03015429,0.45274397,0.72588263
0.69538125,0.33122175,0.03015429,0.45274397,0.67659376
0.69538125,0.33175981,0.05795792,0.45274397,0.65477128
0.69538125,0.35347386,0.06628314,0.40786221,0.75908075
0.69538125,0.39429496,0.08224575,0.40786221,0.93108428
0.69538125,0.39429496,0.08224575,0.40786221,0.73238272
0.73941195,0.42677121,0.08224575,0.40786221,0.63125452
0.73941195,0.42677121,0.08224575,0.40786221,1
0.73941195,0.42677121,0.09378314,0.40786221,0.98589751
0.73941195,0.40180998,0.09378314,0.40786221,0.54675052
0.66522236,0.36462365,0.09378314,0.40670069,0.50057986
0.66026166,0.32493549,0.09378314,0.40670069,0.67478124
0.61931535,0.29661875,0.07526999,0.39207964,0.37381004
0.61931535,0.24494229,0.04409635,0.28760474,0.1484531
0.61713158,0.2426914,0.04409635,0.28760474,0.16731985
0.55874865,0.2426914,0.04244236,0.28760474,0.29354529
0.55874865,0.2426914,0.03568486,0.30710032,0.34231398
0.55874865,0.2652951,0.0349037,0.30710032,0.31989444
0.55874865,0.2652951,0.01953212,0.30710032,0.39621187
0.51632843,0.2652951,0.0179415,0.30710032,0.4164241
0.51632843,0.2652951,0.0179415,0.30710032,0.39776731
0.51632843,0.2652951,0.0179415,0.30710032,0.45629035
0.5336267,0.2652951,0.0179415,0.30710032,0.32228742
0.5336267,0.2652951,0.0179415,0.36327955,0.40218074
0.5336267,0.2652951,0.0179415,0.36327955,0.30069873
0.5336267,0.2652951,0.0179415,0.36567142,0.31562374
0.5336267,0.2652951,0.0179415,0.37017361,0.33142643
0.5336267,0.2652951,0.0179415,0.37017361,0.3685421
0.5336267,0.28014517,0.0179415,0.39119469,0.33094112
0.5336267,0.28014517,0.01775991,0.47715408,0.33266304
