aesthetics,memory,motion,quality,visual_verbal
0.00190822,-0.0005044,0.06463239,0.01427128,0.01760641
-0.0386401,0.0005044,0,0,0.12588601
-0.00427439,0.01260501,0.04612093,0,-0.2046964
0,0.01165153,0,0.00553584,0.2397905
0,0,0,0,0.07231745
0.02949082,0,0,0,-0.15264915
0,-0.00376525,0,0,-0.01261549
0,-0.0108472,0,-0.01383669,0.10077783
-0.003151,0,-0.06841962,0,-0.18447304
-0.00268814,0,-0.03055285,0,0.13156293
0,0,-0.00074914,0.00772811,0.0490445
0,0,0,0,-0.1175556
-0.01209214,0,0,0,0.04015143
-0.03006555,0.00339233,0,0,0.01686857
0,0.00720658,0,0,-0.08750286
0,0.01859033,0,0,-0.041032
0.01749514,0,0,0,-0.05883919
0,0.00163601,0,0.02514037,0.17567558
0,0,0,0.00685053,0.01762421
-0.06237424,0,0,0,0.00942652
-0.00056225,-0.00527346,0,0,-0.07492939
0,0,0,-0.00580679,0.00949394
0,0,-0.00192982,0,-0.17386696
0.01066981,0.01036362,0,0,0.09613115
0,0,0,-0.01405589,0.05411453
0,0,0,0,-0.09569055
0,0,0,0,0.17542686
0,-0.0094483,0,0.00316571,-0.07103558
-0.01734942,-0.00023345,0,0,-0.00675772
-0.01312051,0,0,0,0.07387251
0,0,0,0.00532628,-0.04361297
0,0,-0.00024898,0.00602894,-0.00163232
0,0,0,0.01042098,-0.02043008
0,0,0,0,-0.02585224
-0.00201296,-0.0163861,0,0,0.12418951
-0.01151137,0,0,0,-0.04923805
0,0,0.00073277,0,0.0257135
-0.0444459,0,0,-0.01499875,0.04509997
0,0,0,0,0.04147094
0,0,0,0,0.04549838
0,0.01069305,0,-0.03191037,-0.06638891
0,0,0,0,0.01459048
0,0,0,0,-0.06509435
0.00182567,-0.00192978,0,0,-0.0678135
0.01459413,0,0,0,-0.17962911
0,0,0,0,0.05957657
0,0.0226142,0,0,0.09398255
0,0,0,-0.00533994,-0.17933949
0,0,0,0,0.02739897
0.0048108,-0.01693282,0.00586394,0,0.08834244
0.02350462,-0.00678966,0,0,-0.071328
0,0,0,0,0.10696167
0,-0.00951112,0,0,-0.06146931
0.01219968,-0.01885195,0,0.01470229,0.01069399
0,0,0.02015533,0,0.00797717
0,0,0.00798595,0,0.1194334
0,0,0.01569018,-0.00502161,-0.07522402
0,0,0,0,0.12287055
0.04069903,0.00130358,0,0,-0.16016919
0,0,0,0.02911634,-0.00654098
0,0,0,0,0.01915591
0,-0.01041095,0,0,0.04540722
0,0,0,-0.05803472,-0.03750916
0.03326555,0,0,0,0.16816564
0,-0.04103789,-0.00550566,0,-0.02232114
0,0,0,-0.07077962,0.11542961
0,-0.00030911,0,0,-0.00991451
0,-0.0237668,0.01049132,-0.11374359,-0.09153596
0.00892335,-0.00199511,0,0,-0.00278101
0,0,0,0,0.0966198
0,-0.0136358,0,0,-0.06934251
0,0,0,0,-0.03270771
0,-0.00241419,0.02182371,0,-0.02148648
0,-0.0770048,0,0.03940162,0.06263181
0.02793827,-0.01929785,0,0.0618157,-0.04339512
0.06701554,-0.04251444,0,0.02915001,0.05227817
0.0001802,-0.14855399,0,0.00397658,0.00541067
0,-0.03766456,0,0,-0.08412868
0,0,0,0,-0.00154562
0,0,0,0,0.05888343
0,0,0,0.03466448,0.07662301
-0.03704379,0,-0.02892836,0,-0.06051454
-0.08857129,0,0,0,-0.066347
-0.02303491,0,0,-0.05059129,0.11386638
0,0,0.0005823,0,-0.00388657
0,0,0.00589806,0,-0.0909682
-0.04823694,0,0.04211346,-0.03984528,0.07291506
-0.00740457,0.0193935,0,0,-0.06460959
-0.11695201,0,0,0,0.13600176
0,0.00161901,-0.0015288,0.08358551,0.00360353
0,0,0,0,-0.04222928
0.00117986,0,-0.03139606,0,0.10058316
0,0.00472874,-0.02059399,0,0.12638615
0,0,-0.00572378,0.01383147,0.03648884
0,0,0,0,-0.12009789
-0.00269327,-0.07432866,0,0.0515508,0.27363975
-0.00020186,-0.00070369,0,0,0.0087521
0,-0.0390043,-0.00353154,0.16257323,0.01785523
0,0,-0.00172293,0,-0.03248939
0,-0.0035478,0,0,0.02327517
0,-0.00584401,-0.00407501,-0.00670568,0.02404139
0,0,0,0,-0.02653556
-0.00452852,0,0,0,0.04908271
-0.02876023,0,0,0,-0.04542326
0,0,0,0,-0.02250746
0,0.03119384,-0.0043806,0,-0.17605536
0.04020383,0.03014754,0,0,0.00535975
0.10317854,0.00358396,0,0.02042126,0.078335
0,0.00100014,0,0,0.0032282
0,0.05330847,0,0,-0.11986233
0,0.01499371,0,0,-0.00362346
0.00594371,0.00661919,0,-0.03121095,-0.10355484
0.04832762,0.00951112,-0.00757047,0,0.0954036
0.02779625,0,-0.00575048,0,-0.01320522
0,0,0,-0.00325557,0.00889418
0.02245725,0,0,-0.07416803,-0.0434809
0,0,0.00222656,-0.018188,-0.0944877
0.00448863,0.04020406,0,0,0.19138665
0,0,0,0,-0.11120315
0,0.03641897,0,0.07592496,0.03334409
-0.00639528,0,0.00486319,0,-0.00513309
-0.03732037,0,0,0,0.01113396
0,0,0,0,-0.0816821
0,0,0,0,0.13939913
0,0.03853123,-0.00024021,-0.00479621,-0.08495945
0.01393142,0,0,0,-0.09314167
0.00222505,0,0,0,-0.0352053
0.00560264,0,0.00389808,0,0.12269815
0.0396198,0,0,-0.00594185,-0.04249526
0.00919077,0,0,-0.01025425,0.14832975
0,-0.03944088,-0.00063486,-0.07333747,-0.22295838
0.0022265,0,0,0,0.06638122
0,0,0,0,-0.03281223
0.02917315,0,0,0.00335568,0.07338933
0,0,-0.00518524,0,0.04074182
0.02561917,-0.01221275,0,0,-0.01088634
0,0,-0.00047255,-0.006318,0.03118704
0.10123316,0,0,0,-0.05080508
0,-0.00061255,0,-0.00783541,0.05552854
0,-0.04612389,0.00161035,-0.09276727,-0.11527316
0,-0.06830768,0.00460672,0,0.03345121
0,-0.01569473,0,-0.01029382,0.09965845
0,0,0,0,0.08006572
0,0,0,0,-0.04928887
0,0.00053806,0.02780363,0,-0.02182248
0,0.02171405,0.00832522,-0.04488176,0.10430947
0,0.0408211,0.01596261,0,0.17200353
0,0,0,0,-0.19870156
0.0440307,0.03247625,0,0,-0.1011282
0,0,0,0,0.36874548
0,0,0.01153739,0,-0.01410249
0,-0.02496123,0,0,-0.43914699
-0.07418959,-0.03718633,0,-0.00116152,-0.04617066
-0.0049607,-0.03968816,0,0,0.17420138
-0.04094631,-0.02831674,-0.01851315,-0.01462105,-0.3009712
0,-0.05167646,-0.03117364,-0.1044749,-0.22535694
-0.00218377,-0.00225089,0,0,0.01886675
-0.05838293,0,-0.00165399,0,0.12622544
0,0,-0.0067575,0.01949558,0.04876869
0,0.0226037,-0.00078116,0,-0.02241954
0,0,-0.01537158,0,0.07631743
-0.04242022,0,-0.00159062,0,0.02021223
0,0,0,0,-0.01865679
0,0,0,0,0.05852304
0.01729827,0,0,0,-0.13400293
0,0,0,0.05617923,0.07989332
0,0,0,0,-0.10148201
0,0,0,0.00239187,0.01492501
0,0,0,0.00450219,0.01580269
0,0,0,0,0.03711567
0,0.01485007,0,0.02102108,-0.03760098
0,0,-0.00018159,0.08595939,0.00172192
0,0,0,0.00081422,0.03650255
0,-0.00405903,0,0,-0.01399685
0,0,0,0,-0.00280086
-0.02242151,0,-0.0032377,0.00647135,-0.02108074
-0.0020779,0.00330351,0,0.01975472,-0.05873078
0,0.00261149,-0.0057815,0,0.03689782
0,0.00623293,-0.00019929,0,0.02671843
0.10317646,0,0,0.06200155,-0.02656866
0,0,0,0,-0.04212875
0,-0.01763451,0.00119763,0,0.05792932
-0.00197716,0,0.00375214,-0.02301434,0.10127361
0,-0.02131296,0,0,0.00367818
0,0,0,-0.02235208,-0.02263619
0.04484006,0,0,0,-0.01700007
0,0,0,0,-0.09012908
0,0.02363816,0,0,0.11404713
-0.00618789,0,0,0,-0.00508885
0,0,0,0,-0.00561349
0,-0.01309991,0,0.01331523,0.0773666
0,-0.011823,0,0.0056545,0.02576432
0,0,0,0,-0.05151594
-0.01701113,0,0,0,-0.0906973
0,0.02672439,0,-0.01889727,0.0113059
0,0.01714578,0,0,-0.04473671
0,0.00071569,0,0,-0.00215473
0,0,0,0,-0.04404857
-0.00270065,0,0.00141584,0,0.00543376
-0.00197534,0,0,0,0.09313341
0,0,0,0.04170548,-0.01776231
0,0,0,0.00049161,-0.06175448
-0.02574222,-0.0036876,0,0,0.03884963
-0.00348567,-0.00768415,0,0,0.02541998
-0.06201018,0,0,-0.05472055,0.09001631
0,0,0,-0.01022554,-0.01010973
0,0,0,0,-0.0532296
0.02564326,0.02428504,0.0058545,0,0.02153675
0.04892479,0.0323846,0,0.03958928,-0.02672234
0.01148928,0.05068316,0,0.05175053,-0.01075093
0,0,0,0,0.05813937
0,0,0.01346513,0,-0.00711153
0,-0.02888896,0.00567362,-0.0758281,-0.09224394
0,-0.0249849,0,-0.05694538,0.11555009
-0.01186216,-0.00076552,0,-0.01491133,-0.00590859
-0.00196656,-0.01568357,-0.02316742,0,-0.16409499
-0.02893068,-5.32E-05,0,-0.0380739,0.10221938
0,0,0,0,0.00736026
0,0,0,0,0.03888394
0.00839366,0.01185449,0,0.00689452,0.08564165
0,0.00681715,0,0,-0.06476883
0,0,0,0,-0.06179214
0,0,0,-0.0035264,0.03229659
0,0.00430699,0,0,0.02514686
0,3.70E-05,0,0,-0.03755284
0,0.02270885,0,0.00919356,0.00324313
0.01358178,0.00354813,-0.00151676,0,0.05480276
0.05037276,0.01169636,0,0,-0.09153809
0,0.06161716,0,-0.04846299,0.11979657
0,0,0.00260977,0,-0.03977444
0,0,0,0,-0.03400515
0,-0.00323869,0,0.08578163,0.02814961
0.00394994,0,0,0,-0.02476217
0,0,0,0,0.04318228
0.03733232,0,0,-0.02569907,-0.06356756
0,0,0,0,0.01002014
0,-0.00655088,0,0,0.09786791
-0.0041267,-0.02354685,0,0,-0.03003447
0,0,0,0,0.00458305
0,0,0,0,-0.07381223
-0.00451221,0.00261732,0,-0.0370241,0.04195291
0,0,0.00129892,-0.00259431,-0.02015473
0,0,0,-0.00933916,0.04356873
-0.05066059,-0.01608732,0.00166406,-0.00204169,0.03523563
-0.0183013,0,0,0,-0.15487028
-0.01079171,0,0,0,0.0955966
-0.02646662,0,0,0,-0.00801908
0,0,0,0,-0.03028004
-0.01802395,0.00805674,-0.00100817,0,0.08835412
-0.00163644,0,0,-0.03342947,-0.01988893
0,0,0,0,-0.01468499
-0.0511461,0,0,-0.02220576,0.01456952
-0.01947222,-0.00585351,0,0,-0.11835937
0,-0.00059655,0.00035319,0,-0.04117353
0,-0.01634227,0.00313829,-0.07740455,0.1815455
-0.05625096,0,0,0,-0.16790133
0,-0.04031104,0,0,0.21278958
-0.04598755,-0.01141758,0,0,-0.10031617
0,-0.0470747,0,0,-0.07185707
0,0,0,0,-0.06028085
0,0,-0.00325257,0.0054258,0.05534177
0.03388267,0.02839006,0,0.01796424,0.0306957
