aesthetics,memory,motion,quality,visual_verbal
0.48627408,0.66902672,0.34805813,0.58305774,0.16980743
0.39807825,0.65470755,0.33454623,0.70091597,0.18741384
0.39807825,0.59535539,0.30198473,0.64679681,0.31329985
0.39807825,0.59535539,0.30198473,0.6531612,0.10860345
0.39852899,0.59535539,0.30198473,0.6531612,0.34839395
0.39852899,0.59535539,0.30198473,0.6531612,0.4207114
0.39852899,0.59535539,0.30198473,0.75934244,0.26806225
0.41134994,0.59535539,0.2806084,0.75934244,0.25544676
0.41134994,0.59535539,0.23855878,0.75934244,0.35622459
0.41134994,0.59535539,0.23054741,0.75350544,0.17175155
0.41134994,0.56292576,0.21953733,0.75350544,0.30331448
0.41134994,0.56255115,0.21953733,0.75350544,0.35235898
0.41134994,0.56255115,0.21953733,0.75350544,0.23480338
0.48202648,0.51126376,0.21953733,0.75350544,0.27495481
0.48202648,0.50800483,0.13952059,0.75350544,0.29182338
0.48202648,0.4758313,0.08542926,0.75350544,0.20432052
0.48202648,0.46709251,0.06453484,0.8017244,0.16328852
0.43424013,0.46709251,0.06453484,0.8017244,0.10444933
0.43424013,0.46709251,0.06453484,0.8017244,0.28012491
0.38498074,0.47033318,0.09080882,0.77717503,0.29774912
0.2922609,0.47033318,0.11502534,0.77717503,0.30717564
0.2922609,0.47033318,0.11982931,0.77717503,0.23224625
0.2922609,0.47033318,0.14505592,0.77717503,0.24174019
0.33526898,0.47033318,0.14938509,0.77717503,0.06787323
0.33526898,0.52928458,0.15198003,0.77717503,0.16400438
0.33657383,0.52928458,0.15198003,0.77717503,0.21811891
0.35423867,0.58356718,0.16362078,0.77717503,0.12242836
0.35869871,0.59532624,0.16362078,0.77717503,0.29785522
0.35869871,0.59532624,0.16362078,0.77717503,0.22681964
0.35869871,0.59532624,0.13470081,0.77717503,0.22006192
0.35869871,0.59532624,0.12681627,0.77717503,0.29393443
0.35869871,0.59532624,0.12681627,0.77717503,0.25032146
0.35869871,0.59532624,0.0711875,0.77717503,0.24868914
0.35869871,0.60860878,0.06483246,0.78069443,0.22825906
0.43157911,0.63453963,0.06483246,0.78461346,0.20240682
0.44688031,0.63453963,0.06483246,0.78461346,0.32659633
0.44688031,0.63453963,0.07809538,0.78461346,0.27735828
0.44688031,0.63453963,0.08820768,0.78461346,0.30307178
0.44688031,0.63453963,0.1244542,0.78158971,0.34817175
0.44688031,0.63453963,0.1244542,0.77503134,0.38964269
0.48365348,0.69548202,0.15924692,0.71961012,0.43514107
0.49415211,0.72372615,0.16914156,0.71961012,0.36875216
0.51930103,0.72372615,0.18978798,0.71961012,0.38334264
0.51930103,0.72372615,0.19629104,0.71961012,0.31824829
0.51930103,0.75865842,0.19629104,0.70070861,0.25043479
0.46294938,0.75865842,0.19629104,0.69827542,0.07080568
0.46294938,0.75865842,0.16453254,0.69827542,0.13038225
0.46294938,0.75865842,0.13046123,0.69827542,0.2243648
0.46294938,0.71998419,0.13046123,0.7569294,0.04502531
0.46294938,0.71998419,0.13046123,0.7569294,0.07242428
0.46294938,0.71998419,0.11146519,0.76874511,0.16076672
0.46294938,0.65469719,0.0730062,0.76874511,0.08943872
0.47954851,0.65469719,0.0730062,0.76874511,0.19640039
0.47954851,0.65469719,0.0730062,0.76874511,0.13493108
0.47954851,0.65469719,0.07668074,0.78042619,0.14562507
0.4437545,0.65469719,0.11002479,0.78042619,0.15360224
0.4437545,0.65469719,0.11002479,0.78042619,0.27303564
0.4437545,0.65469719,0.14946309,0.78042619,0.19781162
0.4437545,0.65469719,0.19452775,0.75468107,0.32068217
