aesthetics,memory,motion,quality,visual_verbal
-0.08819583,-0.01431917,-0.0135119,0.11785823,0.01760641
0,-0.05935216,-0.0325615,-0.05411916,0.12588601
0,0,0,0.00636439,-0.2046964
0.00045074,0,0,0,0.2397905
0,0,0,0,0.07231745
0,0,0,0.10618124,-0.15264915
0.01282095,0,-0.02137633,0,-0.01261549
0,0,-0.04204962,0,0.10077783
0,0,-0.00801137,-0.005837,-0.18447304
0,-0.03242963,-0.01101008,0,0.13156293
0,-0.00037461,0,0,0.0490445
0,0,0,0,-0.1175556
0.07067654,-0.05128739,0,0,0.04015143
0,-0.00325893,-0.08001674,0,0.01686857
0,-0.03217353,-0.05409133,0,-0.08750286
0,-0.00873879,-0.02089442,0.04821896,-0.041032
-0.04778635,0,0,0,-0.05883919
0,0,0,0,0.17567558
-0.04925939,0.00324067,0.02627398,-0.02454937,0.01762421
-0.09271984,0,0.02421652,0,0.00942652
0,0,0.00480397,0,-0.07492939
0,0,0.02522661,0,0.00949394
0.04300808,0,0.00432917,0,-0.17386696
0,0.0589514,0.00259494,0,0.09613115
0.00130485,0,0,0,0.05411453
0.01766484,0.0542826,0.01164075,0,-0.09569055
0.00446004,0.01175906,0,0,0.17542686
0,0,0,0,-0.07103558
0,0,-0.02891997,0,-0.00675772
0,0,-0.00788454,0,0.07387251
0,0,0,0,-0.04361297
0,0,-0.05562877,0,-0.00163232
0,0.01328254,-0.00635504,0.0035194,-0.02043008
0.0728804,0.02593085,0,0.00391903,-0.02585224
0.0153012,0,0,0,0.12418951
0,0,0.01326292,0,-0.04923805
0,0,0.0101123,0,0.0257135
0,0,0.03624652,-0.00302375,0.04509997
0,0,0,-0.00655837,0.04147094
0.03677317,0.06094239,0.03479272,-0.05542122,0.04549838
0.01049863,0.02824413,0.00989464,0,-0.06638891
0.02514892,0,0.02064642,0,0.01459048
0,0,0.00650306,0,-0.06509435
0,0.03493227,0,-0.01890151,-0.0678135
-0.05635165,0,0,-0.00243319,-0.17962911
0,0,-0.0317585,0,0.05957657
0,0,-0.03407131,0,0.09398255
0,-0.03867423,0,0.05865398,-0.17933949
0,0,0,0,0.02739897
0,0,-0.01899604,0.01181571,0.08834244
0,-0.065287,-0.03845899,0,-0.071328
0.01659913,0,0,0,0.10696167
0,0,0,0,-0.06146931
0,0,0.00367454,0.01168108,0.01069399
-0.03579401,0,0.03334405,0,0.00797717
0,0,0,0,0.1194334
0,0,0.0394383,0,-0.07522402
0,0,0.04506466,-0.02574512,0.12287055
0,0,0,-0.00528301,-0.16016919
0.06213125,0.04091424,0,0,-0.00654098
0,0,-0.09766583,0,0.01915591
0,0,-0.01677249,0,0.04540722
0.02629298,0,0,0,-0.03750916
0,0,-0.05431057,0,0.16816564
0,0,0,-0.00617178,-0.02232114
0.05314322,-0.002422,0,-0.00694805,0.11542961
0,-0.02691026,0,-0.00545779,-0.00991451
0,0,-0.00581272,-0.01715698,-0.09153596
0,0,0,-0.00319124,-0.00278101
-0.03390492,0,-0.01996614,0,0.0966198
0,0,0,0,-0.06934251
-0.01616184,0,0,-0.10947708,-0.03270771
0,0,0.00128816,0,-0.02148648
0,0,0,0,0.06263181
0,0.00080124,0,0,-0.04339512
0,0.00753706,0.01235339,0,0.05227817
0.00127331,0.00406943,0.05487561,0.12776192,0.00541067
0,0,0.0856168,0,-0.08412868
0,0,0.06744555,0,-0.00154562
0,-0.00772721,0,-0.0752898,0.05888343
-0.06016546,0,0,-0.04322407,0.07662301
0,0,-0.10268789,0,-0.06051454
0,0,-0.00190014,-0.02551617,-0.066347
0,0,-0.01767825,0,0.11386638
0,0,0,-0.01121941,-0.00388657
0,0.01572224,0,0,-0.0909682
0,0,0.02423337,0,0.07291506
-0.03382319,0,0.07845269,0,-0.06460959
0,-0.02409514,0.08045214,0,0.13600176
0,-0.00226398,0.09219849,0,0.00360353
-0.02452041,-0.03640126,0.06204617,0,-0.04222928
0,-0.00030187,0.04243107,0.08406943,0.10058316
-0.00071512,0,0,0.01275539,0.12638615
0,0,0.04089539,0,0.03648884
-0.06785655,0.03144395,0,0.03889121,-0.12009789
-0.01377533,0,0,0,0.27363975
0,0.04935006,-0.00423688,0,0.0087521
0,0,-0.04132563,0,0.01785523
-0.05254495,0,-0.0690217,-0.11269536,-0.03248939
0,0,-0.0567909,-0.02458791,0.02327517
-0.02321947,-0.00921855,-0.03742662,-0.11697242,0.02404139
0,0,-0.01514832,0,-0.02653556
0,0,0,0,0.04908271
0,0.01090359,-0.03289593,0,-0.04542326
0,0,-0.03744406,0,-0.02250746
-0.04528843,0,-0.09992776,0,-0.17605536
-0.04941237,-0.00451623,-0.06689168,0,0.00535975
0,0,0,0,0.078335
0,0,0,0.02983244,0.0032282
0.08108242,0.08027691,0.07340065,0.07158216,-0.11986233
0.0003561,0,0.05986042,0,-0.00362346
0.02472036,0,0.02110921,0,-0.10355484
0,0,0,0,0.0954036
0.06829636,0,0,0,-0.01320522
0,0,0.00620928,0.08529733,0.00889418
0,0,0,0.03196614,-0.0434809
0,0.037691,0,0,-0.0944877
0.0056066,0.01289922,-0.0265651,0,0.19138665
0.04039517,0,-0.04301958,0,-0.11120315
0.046402,0,0,-0.05661196,0.03334409
0,-0.01255213,0,0,-0.00513309
0,0,0.00969509,-0.00235888,0.01113396
-0.0165078,0,0.07653576,0,-0.0816821
0,0,0.06701723,0,0.13939913
0,0.015006,0.04358736,0.03953658,-0.08495945
0,0,0.02234337,0.05328858,-0.09314167
0,0,0,0,-0.0352053
0,0,0,0,0.12269815
0,0,-0.03463711,-0.04085562,-0.04249526
0,0,-0.07358373,-0.0551114,0.14832975
0.00541207,-0.00780187,-0.06397337,0,-0.22295838
0.03681317,-0.0450259,-0.05538295,-0.0362534,0.06638122
0.00407742,-0.04664937,-0.02564466,-0.05660517,-0.03281223
0,-0.00919975,-0.05283773,0,0.07338933
0,-0.02477843,0,-0.03594464,0.04074182
-0.02219287,-0.04475373,0,0,-0.01088634
0,0,-0.01614918,0,0.03118704
-0.04313802,-0.02305769,-0.02711995,0,-0.05080508
0,0,0,0,0.05552854
0,0,0,0,-0.11527316
0.00500625,0,0.00285645,0,0.03345121
0,0,0,0,0.09965845
0,0,0,0.02731116,0.08006572
-0.03851445,0,0.05176775,0,-0.04928887
-0.01749537,0,0,0,-0.02182248
0,-0.00377411,0,0,0.10430947
0,0,0.0857771,0,0.17200353
0.02984098,0,0.08706431,0,-0.19870156
0.00196906,0,0,0,-0.1011282
0,0.04009119,0,0.05026062,0.36874548
0,0.01956365,-0.18817664,0,-0.01410249
0,0,0,0,-0.43914699
0,0.02707945,0,0,-0.04617066
0,0,1.17E-05,0,0.17420138
0.02450497,0.02061908,0,0,-0.3009712
0,0,0.00992299,-0.02234253,-0.22535694
0,0,0.10860821,-0.02852712,0.01886675
-0.03294199,0,0,-0.00740587,0.12622544
0,0,0,0,0.04876869
0,-0.00816121,-0.11918219,-0.01520173,-0.02241954
0,0,-0.0164481,0,0.07631743
0,0,0,0,0.02021223
0.00797025,-0.04025983,0,0.02875296,-0.01865679
0,-0.02889718,0,0.06198008,0.05852304
0.03520915,0,-0.00440594,0.03061105,-0.13400293
0.01310686,0,-0.00317897,0,0.07989332
0,-0.00143058,-0.00215316,0,-0.10148201
0,0,-0.00600022,0,0.01492501
0,0,0,0.00899711,0.01580269
0,0,0,0,0.03711567
0.04219884,0,0.00108727,0,-0.03760098
0,-0.02629673,0.00079627,0,0.00172192
0.00950237,0,0.01589385,0,0.03650255
0,0,0.04087687,0,-0.01399685
0,-0.06874099,0.06693726,0,-0.00280086
-0.01162037,0,0,0,-0.02108074
0,0,0,0,-0.05873078
0,0,-0.0454808,-0.03764652,0.03689782
-0.05842993,0,-0.0047713,-0.03363852,0.02671843
0,0.01198818,0,0,-0.02656866
0,0.0714771,0,0,-0.04212875
0,0,0.00183579,0,0.05792932
0,0.02891706,0.04578113,0,0.10127361
0,0,0,0,0.00367818
0,0,0,0,-0.02263619
0,0.04056006,0,0.06044924,-0.01700007
0,0,-0.0622166,0,-0.09012908
0,0,-0.00301758,0,0.11404713
0.03943998,0,0,-0.02619532,-0.00508885
0,0,0,0,-0.00561349
0,0.02358896,0,0,0.0773666
0,0,0,0,0.02576432
0,0,0,0,-0.05151594
0,-0.01264558,0,0.02744376,-0.0906973
0,-0.01054561,0,0,0.0113059
0,0,0.04127381,0,-0.04473671
0,0,0.02268567,0,-0.00215473
0,0,0.00730781,0,-0.04404857
0,0,0.04034563,0,0.00543376
-0.07936627,0,0.00570455,0,0.09313341
0,-0.06079936,0,0,-0.01776231
0,-0.00556977,0,0,-0.06175448
-0.01617017,-0.01235979,-0.0578304,0,0.03884963
0,0,0,0,0.02541998
0,0,0,-0.00183451,0.09001631
0,0,0,0,-0.01010973
0,-0.04149507,-0.04041255,0,-0.0532296
0,0,0,0.0194875,0.02153675
0.02266742,0,0,0.07063727,-0.02672234
0,0,0.01990339,0.00520153,-0.01075093
0,0.02935623,0.07383369,0,0.05813937
0,0,0,0,-0.00711153
-0.00469564,0,0.03196851,-0.03545695,-0.09224394
0,0,0.02438805,0,0.11555009
0,0,0,-0.02113796,-0.00590859
0,0,0,-0.03306189,-0.16409499
0,0,-0.03778153,0,0.10221938
0.0217512,0.03324941,-0.10657336,-0.0259693,0.00736026
0.06200416,0.03891643,-0.0004808,0,0.03888394
0.00779059,0,0,0,0.08564165
0,0,0,0.02998422,-0.06476883
0,-0.04946041,0.02458805,0,-0.06179214
0,0,0,0,0.03229659
0,0,0.00972153,0,0.02514686
-0.00350858,0.06885623,0.00340538,0,-0.03755284
0,0,0,0,0.00324313
-0.04620544,0,0,-0.00570128,0.05480276
-0.03241078,-0.00573949,-0.08605839,0,-0.09153809
0,0,-0.01817877,0,0.11979657
0,-0.02415045,0,0,-0.03977444
0,0,0,0,-0.03400515
0.03605525,0,0.02621798,0,0.02814961
0,0,0,0,-0.02476217
0,0,0,0,0.04318228
0,0,-1.00E-05,0,-0.06356756
0,0,0,-0.01972081,0.01002014
0,0,0,0,0.09786791
-0.02338596,0,0.00380663,0,-0.03003447
0,0,0,0,0.00458305
0,0,0,0,-0.07381223
0.02462235,0,-0.00684156,0,0.04195291
0,-0.0042972,-0.01169841,-0.02828337,-0.02015473
0,0,0,-0.06151083,0.04356873
0,0,0,0,0.03523563
0,0,0.08593932,0,-0.15487028
0.01307658,0,0,0.01462556,0.0955966
0,-0.00308702,0,0,-0.00801908
0,-0.01501335,0,0,-0.03028004
0,0,0,0,0.08835412
0,0,-0.06704217,0,-0.01988893
0,-0.0326969,-0.00059002,0,-0.01468499
0,0,0,0,0.01456952
0,0,-0.02159688,0,-0.11835937
0.02589791,0,-0.0154176,0,-0.04117353
0,0,-0.01570651,0.08045553,0.1815455
0,0,0,0,-0.16790133
0,0,0,0,0.21278958
0,0.01086246,0,0,-0.10031617
0,0,-0.0025067,-0.03631475,-0.07185707
0,0,0,-0.03564836,-0.06028085
