aesthetics,memory,motion,quality,visual_verbal
0.63669446,0.80131218,0.0247377,0.31332639,0.44267296
0.64537956,0.75923411,0.02178458,0.3329272,0.49963437
0.64537956,0.81092179,0.02461698,0.40069281,0.57239435
0.64537956,0.81104824,0.02461698,0.40069281,0.71895349
0.64537956,0.8349677,0.02461698,0.40069281,0.46691967
0.66233687,0.8349677,0.02812265,0.40069281,0.68937492
0.66238267,0.8349677,0.02838357,0.40069281,0.6830459
0.66238267,0.8349677,0.03071689,0.40069281,0.60790916
0.66238267,0.8349677,0.03472587,0.40160964,0.65099832
0.6722584,0.8349677,0.03472587,0.40160964,0.65453479
0.6722584,0.8349677,0.04094513,0.40160964,0.69625807
0.6722584,0.8349677,0.04094513,0.40160964,0.57459413
0.6722584,0.8349677,0.04094513,0.40160964,0.53424305
0.6722584,0.84682619,0.04094513,0.37257476,0.55447772
0.63646578,0.85642812,0.04094513,0.37257476,0.45287887
0.63175968,0.85642812,0.04143161,0.37257476,0.46577681
0.63175968,0.85642812,0.04143161,0.37028084,0.48176818
0.63175968,0.85642812,0.04279095,0.37028084,0.5717376
0.60806584,0.81128006,0.04279095,0.37028084,0.57975833
0.60806584,0.81128006,0.04496977,0.37028084,0.58429618
0.60806584,0.81128006,0.04496977,0.37028084,0.59239547
0.56031247,0.79118141,0.04496977,0.35619387,0.62467661
0.56031247,0.7889414,0.04496977,0.35619387,0.51448393
0.56031247,0.74274059,0.04496977,0.35619387,0.47340897
0.53921761,0.74274059,0.04496977,0.35619387,0.66488411
0.5368761,0.74274059,0.04496977,0.35619387,0.66242037
0.5368761,0.74274059,0.04496977,0.35619387,0.53624898
0.5368761,0.74274059,0.04496977,0.38693628,0.52450127
0.51496175,0.72247571,0.04496977,0.38693628,0.49674639
0.51496175,0.72247571,0.04891271,0.4058592,0.55835777
0.51496175,0.72247571,0.04891271,0.4058592,0.66802885
0.54175489,0.70503856,0.04891271,0.41464089,0.55475751
0.55836633,0.70503856,0.04891271,0.46761744,0.5581859
0.58076697,0.65094247,0.04891271,0.46761744,0.4748483
0.58076697,0.60299523,0.04287414,0.53993062,0.41322444
0.60221042,0.58404583,0.0420058,0.53993062,0.4467813
0.60221042,0.56934109,0.0420058,0.53993062,0.43057324
0.60221042,0.56934109,0.0420058,0.48871237,0.33485808
0.60221042,0.54011458,0.0420058,0.48871237,0.44746845
0.65800696,0.46621016,0.0420058,0.48871237,0.51086679
0.65800696,0.46621016,0.03755974,0.48871237,0.28241045
0.65800696,0.46621016,0.03754624,0.34726673,0.3404938
0.59713847,0.4771262,0.03754624,0.34726673,0.28559385
0.59713847,0.4771262,0.03754624,0.34052944,0.33490834
