aesthetics,memory,motion,quality,visual_verbal
0.0086851,-0.04207807,-0.00295312,0.01960081,0.05696141
0,0.05168768,0.0028324,0.06776561,0.07275998
0,0.00012645,0,0,0.14655914
0,0.02391946,0,0,-0.25203382
0.01695731,0,0.00350567,0,0.22245525
4.58E-05,0,0.00026092,0,-0.00632902
0,0,0.00233332,0,-0.07513674
0,0,0.00400898,0.00091683,0.04308916
0.00987573,0,0,0,0.00353647
0,0,0.00621926,0,0.04172328
0,0,0,0,-0.12166394
0,0,0,0,-0.04035108
0,0.01185849,0,-0.02903488,0.02023467
-0.03579262,0.00960193,0,0,-0.10159885
-0.0047061,0,0.00048648,0,0.01289794
0,0,0,-0.00229392,0.01599137
0,0,0.00135934,0,0.08996942
-0.02369384,-0.04514806,0,0,0.00802073
0,0,0.00217882,0,0.00453785
0,0,0,0,0.00809929
-0.04775337,-0.02009865,0,-0.01408697,0.03228114
0,-0.00224001,0,0,-0.11019268
0,-0.04620081,0,0,-0.04107496
-0.02109486,0,0,0,0.19147514
-0.00234151,0,0,0,-0.00246374
0,0,0,0,-0.12617139
0,0,0,0.03074241,-0.01174771
-0.02191435,-0.02026488,0,0,-0.02775488
0,0,0.00394294,0.01892292,0.06161138
0,0,0,0,0.10967108
0.02679314,-0.01743715,0,0.00878169,-0.11327134
0.01661144,0,0,0.05297655,0.00342839
0.02240064,-0.05409609,0,0,-0.0833376
0,-0.04794724,-0.00603857,0.07231318,-0.06162386
0.02144345,-0.0189494,-0.00086834,0,0.03355686
0,-0.01470474,0,0,-0.01620806
0,0,0,-0.05121825,-0.09571516
0,-0.02922651,0,0,0.11261037
0.05579654,-0.07390442,0,0,0.06339834
0,0,-0.00444606,0,-0.22845634
0,0,-1.35E-05,-0.14144564,0.05808335
-0.06086849,0.01091604,0,0,-0.05489995
0,0,0,-0.00673729,0.04931449
-0.09139837,0,0,0,0.03302489
-0.00841902,-0.00314248,0,0,0.12202737
-0.02394559,-0.01811921,0,0.00922715,0.05726422
