aesthetics,memory,motion,quality,visual_verbal
0.55526371,0.42238775,0,0.14378942,0.34017202
0.55702673,0.42227044,0.18428205,0.15613135,0.37594497
0.50585808,0.40223187,0.11323272,0.15507991,0.35104913
0.50585808,0.38754672,0.11323272,0.15507991,0.26343664
0.50585808,0.38754672,0.11323272,0.15507991,0.25148039
0.50585808,0.38754672,0.15361183,0.07584556,0.26895074
0.50585808,0.38754672,0.15361183,0.07584556,0.27974959
0.50978082,0.38754672,0.15361183,0.07584556,0.26801967
0.50978082,0.38754672,0.15361183,0.07614733,0.35511921
0.50978082,0.38189839,0.15361183,0.15774874,0.34318654
0.48814956,0.38189839,0.15361183,0.15774874,0.41822027
0.47893749,0.38189839,0.15361183,0.15774874,0.46536368
0.47893749,0.38387869,0.15361183,0.15774874,0.37440808
0.47893749,0.38413333,0.15361183,0.19331785,0.38190943
0.47893749,0.40631863,0.1807124,0.19331785,0.41833599
0.46388038,0.41301576,0.1807124,0.19331785,0.43684321
0.46388038,0.41301576,0.1807124,0.19395015,0.42444601
0.46388038,0.41301576,0.1807124,0.22611197,0.36159172
0.46966109,0.40423312,0.1807124,0.22977379,0.41342323
0.46966109,0.38388288,0.1807124,0.22977379,0.39317533
0.46966109,0.38388288,0.1878508,0.22977379,0.40497537
0.46966109,0.38388288,0.22153357,0.19054815,0.41317447
0.46966109,0.40233032,0.22153357,0.19054815,0.40376507
0.46966109,0.40839273,0.22153357,0.19054815,0.41675934
0.46966109,0.40839273,0.21997715,0.1895529,0.26564259
0.48818764,0.40839273,0.18641536,0.1895529,0.3140877
0.50004921,0.40058348,0.17181748,0.1895529,0.334559
0.50004921,0.40058348,0.15764889,0.1895529,0.41407319
0.50004921,0.40058348,0.15605009,0.18331613,0.38901197
0.50004921,0.40058348,0.15605009,0.18331613,0.26111611
0.51859816,0.40058348,0.15605009,0.18331613,0.33000696
0.53188849,0.40058348,0.18740718,0.22961632,0.26196079
0.53188849,0.40058348,0.18740718,0.22961632,0.34178905
0.53188849,0.40058348,0.22027026,0.22961632,0.3154255
0.49585738,0.40599672,0.2418508,0.22961632,0.2941376
0.49585738,0.40599672,0.2418508,0.22961632,0.33114943
0.49585738,0.42161779,0.2418508,0.28972393,0.37930529
0.49585738,0.43218872,0.2418508,0.28972393,0.29952429
0.48391127,0.43218872,0.2418508,0.30883337,0.38298971
0.47015289,0.43218872,0.2418508,0.30883337,0.45015584
0.47015289,0.43218872,0.24004849,0.30883337,0.41391522
0.47015289,0.43218872,0.24004849,0.30883337,0.26641443
0.47015289,0.4254832,0.19255858,0.30883337,0.42019625
0.47015289,0.4254832,0.19255858,0.30883337,0.389397
0.47015289,0.39819864,0.19255858,0.30883337,0.31213666
0.42121165,0.39819864,0.19255858,0.30883337,0.34557855
0.42121165,0.39819864,0.19255858,0.30883337,0.39340478
0.42121165,0.41678272,0.19255858,0.30883337,0.43228554
0.42121165,0.41678272,0.19931305,0.28680792,0.47566241
0.42121165,0.41678272,0.21198133,0.28680792,0.41145664
0.42756716,0.41546624,0.21198133,0.28680792,0.39435755
0.42756716,0.41546624,0.21198133,0.29020014,0.36691685
0.42756716,0.41546624,0.24613254,0.30539084,0.45744693
0.42756716,0.41546624,0.24613254,0.34987181,0.44488924
0.42756716,0.48982255,0.24613254,0.34987181,0.45753208
0.43395909,0.48982255,0.18852122,0.34987181,0.42231017
0.43549757,0.55102736,0.18852122,0.31550693,0.49731103
0.4483906,0.55102736,0.18852122,0.31550693,0.41628478
0.4589953,0.55102736,0.18852122,0.31550693,0.34511212
0.46857802,0.47706929,0.18508997,0.31550693,0.39430789
0.46857802,0.47706929,0.18508997,0.31550693,0.40419863
0.46857802,0.47560059,0.18508997,0.31550693,0.45832259
0.46857802,0.47560059,0.18508997,0.31550693,0.39241403
0.47308795,0.47560059,0.18508997,0.31550693,0.42953407
0.54916441,0.47560059,0.18508997,0.33157467,0.33135343
0.54916441,0.47560059,0.18508997,0.33157467,0.35190748
0.54916441,0.48594341,0.18508997,0.33157467,0.42783492
0.54916441,0.48594341,0.18508997,0.28948183,0.39024595
0.54916441,0.50972962,0.20378111,0.28948183,0.40216171
0.54916441,0.50972962,0.20378111,0.28741404,0.40524343
0.52805362,0.50972962,0.20378111,0.28741404,0.40254048
0.52805362,0.50972962,0.20378111,0.28741404,0.32662796
0.50570027,0.50972962,0.20378111,0.28741404,0.43120964
0.50570027,0.50972962,0.20378111,0.27173206,0.36209299
0.50570027,0.51686341,0.20378111,0.27173206,0.44126524
0.52139245,0.54416147,0.20378111,0.27173206,0.37146263
0.52139245,0.54416147,0.21445854,0.23507477,0.48830587
0.52139245,0.54416147,0.21445854,0.23507477,0.43626848
0.47233115,0.53173081,0.21445854,0.23507477,0.41125025
0.47233115,0.53173081,0.21445854,0.25012559,0.44018486
0.44481636,0.53173081,0.21445854,0.25012559,0.40735746
0.44481636,0.53173081,0.21445854,0.25012559,0.43085194
0.44481636,0.53173081,0.21445854,0.24840477,0.43065045
0.39334392,0.53173081,0.19088613,0.24840477,0.40553205
0.39334392,0.53173081,0.17529162,0.24840477,0.33741555
0.39334392,0.49434527,0.17529162,0.24840477,0.46830975
0.41564672,0.49434527,0.17529162,0.24840477,0.43312833
0.45008993,0.49434527,0.19470958,0.2654229,0.39348753
0.45008993,0.51126256,0.19470958,0.2654229,0.46004418
0.45008993,0.51126256,0.19470958,0.2654229,0.42769937
0.4769023,0.53033613,0.18569792,0.2654229,0.48176741
0.4769023,0.54105462,0.18569792,0.31556084,0.43072819
0.4769023,0.54105462,0.16815713,0.31736294,0.50636462
0.4769023,0.54105462,0.1526949,0.31736294,0.48354994
0.49556568,0.52662271,0.1526949,0.31736294,0.39248926
0.54550769,0.5124764,0.1526949,0.23963747,0.33969809
0.55335826,0.50776026,0.1526949,0.23435087,0.44054495
0.55335826,0.48762113,0.1526949,0.23435087,0.43020887
0.55335826,0.48752826,0.1526949,0.23435087,0.49017427
0.55040815,0.48752826,0.1526949,0.24705228,0.46475044
0.55040815,0.48752826,0.1526949,0.25114163,0.5872571
0.49907212,0.48752826,0.13888208,0.2913103,0.54907222
0.48762115,0.48822933,0.13888208,0.2913103,0.52795794
0.48762115,0.50669772,0.13888208,0.2913103,0.49018105
0.48098063,0.53321371,0.13888208,0.2913103,0.39339727
0.45694645,0.53321371,0.10948574,0.27938677,0.45575644
0.43548782,0.53321371,0.10948574,0.27938677,0.39135044
0.43548782,0.51962089,0.10948574,0.27938677,0.42849354
0.43548782,0.51962089,0.14105545,0.29214211,0.44533208
0.46976298,0.50291238,0.14105545,0.29949551,0.3970556
0.4836637,0.49393655,0.14105545,0.29949551,0.30603478
0.48696347,0.48513737,0.11549095,0.29949551,0.34211305
0.50886051,0.48513737,0.11549095,0.29949551,0.42662838
0.50886051,0.48513737,0.11549095,0.29949551,0.28105505
0.50886051,0.49406317,0.11549095,0.30444289,0.31496899
0.50886051,0.49473467,0.11549095,0.31093486,0.36337987
0.50886051,0.50098305,0.11549095,0.31955427,0.42876974
0.49303248,0.51253435,0.11549095,0.34135383,0.44827513
0.4836858,0.54317109,0.11717843,0.34135383,0.42470906
0.4836858,0.54947463,0.11717843,0.34135383,0.32211265
0.47818486,0.54947463,0.14868608,0.30910022,0.48514026
0.45578569,0.54947463,0.14868608,0.30267859,0.50896812
0.45578569,0.54947463,0.14868608,0.30267859,0.52704242
0.45578569,0.54294391,0.14868608,0.30267859,0.35621316
0.45578569,0.54294391,0.17012039,0.31054673,0.28249793
0.45578569,0.47229124,0.17012039,0.31054673,0.3635366
0.45578569,0.46057236,0.17012039,0.31054673,0.40265996
0.45578569,0.46057236,0.17012039,0.33927223,0.41833098
0.4651662,0.46057236,0.17012039,0.33927223,0.38685694
0.4651662,0.47494561,0.18563898,0.33927223,0.36223792
0.4651662,0.47494561,0.18563898,0.32147498,0.37999376
0.4651662,0.47494561,0.18563898,0.32147498,0.35924511
0.4651662,0.49763041,0.12556229,0.32147498,0.31463812
0.45932027,0.50017562,0.11237027,0.32147498,0.31452741
0.44363775,0.50017562,0.11237027,0.32147498,0.33097465
0.44277665,0.50017562,0.11237027,0.32147498,0.45297263
0.44277665,0.50017562,0.11237027,0.3198159,0.38074755
0.43960933,0.50017562,0.13978804,0.3198159,0.22979629
0.43960933,0.50017562,0.19302796,0.3198159,0.35428205
0.43960933,0.50017562,0.19302796,0.3198159,0.46121034
0.43960933,0.50017562,0.19302796,0.3198159,0.33652183
0.43960933,0.49024943,0.19302796,0.28154209,0.36785345
0.40679199,0.47950627,0.19302796,0.28154209,0.50768009
0.40679199,0.45586483,0.19302796,0.28154209,0.2913855
0.40679199,0.43565867,0.19291814,0.28154209,0.36308562
0.36786039,0.43565867,0.19291814,0.28154209,0.30852685
0.36786039,0.43565867,0.19291814,0.28154209,0.27535177
0.36786039,0.43565867,0.23681083,0.28154209,0.33549184
0.3420516,0.43565867,0.23681083,0.27476131,0.37556057
0.3420516,0.41870483,0.23681083,0.27476131,0.36053011
0.3420516,0.41870483,0.21674346,0.27476131,0.26921943
0.37473962,0.41870483,0.16738533,0.27476131,0.42767266
0.38133171,0.41870483,0.16738533,0.27476131,0.36182868
0.38133171,0.4303774,0.16738533,0.27476131,0.38195043
0.38133171,0.4303774,0.16738533,0.27476131,0.33700318
0.38133171,0.4303774,0.16738533,0.27476131,0.45953915
0.38133171,0.4303774,0.13186501,0.27476131,0.34910436
0.38133171,0.4303774,0.13186501,0.27380165,0.38737313
0.38133171,0.4303774,0.13186501,0.27380165,0.37868705
0.38133171,0.4303774,0.13186501,0.27380165,0.3955355
0.39169694,0.44703493,0.13186501,0.27380165,0.40698307
0.39169694,0.44703493,0.12872303,0.27378472,0.37772739
0.39169694,0.44703493,0.12872303,0.25809767,0.26373642
0.39169694,0.44703493,0.12872303,0.25809767,0.41830678
0.39169694,0.44703493,0.12938417,0.25809767,0.37494545
0.40818915,0.46944531,0.12938417,0.25809767,0.37085994
0.42830958,0.46944531,0.19771568,0.29300827,0.44114765
0.43698324,0.47081579,0.19771568,0.29300827,0.32583056
0.43698324,0.47081579,0.19771568,0.29300827,0.32735441
0.43698324,0.50007297,0.19771568,0.26585587,0.37253488
0.43698324,0.51903225,0.19771568,0.26585587,0.36034167
0.43698324,0.53238952,0.19771568,0.26585587,0.39795056
0.46542276,0.57771582,0.16965125,0.26585587,0.38853
0.46542276,0.58092858,0.16965125,0.26585587,0.41081044
0.46542276,0.58092858,0.16965125,0.26585587,0.34872183
0.46542276,0.58092858,0.16965125,0.26585587,0.42722356
0.49321303,0.53846775,0.16965125,0.26585587,0.39077081
0.49321303,0.48539387,0.16965125,0.23974799,0.39720419
0.49321303,0.48539387,0.16965125,0.23974799,0.39061283
0.49321303,0.48539387,0.16965125,0.23974799,0.43979367
0.51013004,0.50559491,0.17285664,0.23974799,0.49584572
0.51013004,0.50559491,0.20672748,0.23974799,0.41896477
0.51013004,0.50559491,0.20672748,0.23974799,0.48598107
0.53900328,0.52869658,0.20672748,0.23974799,0.35441144
0.53900328,0.52869658,0.15483443,0.23974799,0.32397593
0.53900328,0.52869658,0.15296911,0.17937221,0.38906237
0.53900328,0.53171522,0.15296911,0.17937221,0.41184418
0.48842574,0.53754394,0.15296911,0.17937221,0.28510947
0.45263707,0.54334542,0.15296911,0.17937221,0.39881443
0.45263707,0.54334542,0.15549767,0.17937221,0.43062124
0.45263707,0.54334542,0.15549767,0.15711289,0.40341437
0.45263707,0.54334542,0.15549767,0.11622069,0.35699554
0.45263707,0.54334542,0.15549767,0.11622069,0.36955511
0.45263707,0.54334542,0.16440209,0.11622069,0.40050117
0.45263707,0.53961734,0.16440209,0.11810461,0.37654579
0.45263707,0.53961734,0.16440209,0.11810461,0.36637634
0.45263707,0.53961734,0.18114152,0.11810461,0.3865342
0.46452457,0.57360183,0.18114152,0.13900019,0.47318766
0.49327874,0.59775277,0.18114152,0.1784866,0.41241881
0.49327874,0.59775277,0.17418146,0.26289187,0.43204241
0.49327874,0.59775277,0.16435294,0.26289187,0.4037465
0.49327874,0.53506576,0.16200341,0.26289187,0.48121261
0.46392107,0.53506576,0.16200341,0.26289187,0.34578003
0.46392107,0.53506576,0.16200341,0.26289187,0.37218908
0.45556105,0.53506576,0.16200341,0.26289187,0.40927177
0.44961431,0.5321812,0.16200341,0.26289187,0.43998274
0.44954333,0.50409013,0.16200341,0.26289187,0.40110136
0.44664435,0.49592336,0.19282692,0.26289187,0.44753188
0.44516947,0.49592336,0.19282692,0.2426252,0.36689567
0.44516947,0.49592336,0.19282692,0.2426252,0.31544355
0.44516947,0.49592336,0.19282692,0.2426252,0.52453908
0.44516947,0.49592336,0.19282692,0.25525181,0.40380681
0.44516947,0.48286286,0.17821411,0.26426433,0.45670431
0.44516947,0.48116443,0.17183289,0.26426433,0.47589374
0.44516947,0.48116443,0.17183289,0.26426433,0.40832703
0.44516947,0.48116443,0.17183289,0.26426433,0.46493513
0.42322985,0.48116443,0.17836705,0.26426433,0.43061811
0.42322985,0.47081626,0.17836705,0.26426433,0.42461327
0.42322985,0.47081626,0.17836705,0.26426433,0.3715099
0.42322985,0.47081626,0.17836705,0.23577475,0.46698572
0.41575596,0.49642333,0.17836705,0.21515976,0.38283298
0.41575596,0.49642333,0.17836705,0.20015492,0.43833211
0.41575596,0.49642333,0.17836705,0.19618263,0.4061528
0.41575596,0.49062626,0.13016728,0.19618263,0.38062139
