aesthetics,memory,motion,quality,visual_verbal
0.00176302,-0.00011731,0.18428205,0.01234193,0.03577295
-0.05116865,-0.02003857,-0.07104933,-0.00105144,-0.02489584
0,-0.01468515,0,0,-0.08761249
0,0,0,0,-0.01195625
0,0,0.04037911,-0.07923435,0.01747035
0,0,0,0,0.01079885
0.00392274,0,0,0,-0.01172992
0,0,0,0.00030177,0.08709954
0,-0.00564833,0,0.08160141,-0.01193267
-0.02163126,0,0,0,0.07503373
-0.00921207,0,0,0,0.04714341
0,0.0019803,0,0,-0.0909556
0,0.00025464,0,0.03556911,0.00750135
0,0.0221853,0.02710057,0,0.03642656
-0.01505711,0.00669713,0,0,0.01850722
0,0,0,0.0006323,-0.0123972
0,0,0,0.03216182,-0.06285429
0.00578071,-0.00878264,0,0.00366182,0.05183151
0,-0.02035024,0,0,-0.0202479
0,0,0.0071384,0,0.01180004
0,0,0.03368277,-0.03922564,0.0081991
0,0.01844744,0,0,-0.0094094
0,0.00606241,0,0,0.01299427
0,0,-0.00155642,-0.00099525,-0.15111675
0.01852655,0,-0.03356179,0,0.04844511
0.01186157,-0.00780925,-0.01459788,0,0.0204713
0,0,-0.01416859,0,0.07951419
0,0,-0.0015988,-0.00623677,-0.02506122
0,0,0,0,-0.12789586
0.01854895,0,0,0,0.06889085
0.01329033,0,0.03135709,0.04630019,-0.06804617
0,0,0,0,0.07982826
0,0,0.03286308,0,-0.02636355
-0.03603111,0.00541324,0.02158054,0,-0.0212879
0,0,0,0,0.03701183
0,0.01562107,0,0.06010761,0.04815586
0,0.01057093,0,0,-0.079781
-0.01194611,0,0,0.01910944,0.08346542
-0.01375838,0,0,0,0.06716613
0,0,-0.00180231,0,-0.03624062
0,0,0,0,-0.14750079
0,-0.00670552,-0.04748991,0,0.15378182
0,0,0,0,-0.03079925
0,-0.02728456,0,0,-0.07726034
-0.04894124,0,0,0,0.03344189
0,0,0,0,0.04782623
0,0.01858408,0,0,0.03888076
0,0,0.00675447,-0.02202545,0.04337687
0,0,0.01266828,0,-0.06420577
0.00635551,-0.00131648,0,0,-0.01709909
0,0,0,0.00339222,-0.0274407
0,0,0.03415121,0.0151907,0.09053008
0,0,0,0.04448097,-0.01255769
0,0.07435631,0,0,0.01264284
0.00639193,0,-0.05761132,0,-0.03522191
0.00153848,0.06120481,0,-0.03436488,0.07500086
0.01289303,0,0,0,-0.08102625
0.0106047,0,0,0,-0.07117266
0.00958272,-0.07395807,-0.00343125,0,0.04919577
0,0,0,0,0.00989074
0,-0.0014687,0,0,0.05412396
0,0,0,0,-0.06590856
0.00450993,0,0,0,0.03712004
0.07607646,0,0,0.01606774,-0.09818064
0,0,0,0,0.02055405
0,0.01034282,0,0,0.07592744
0,0,0,-0.04209284,-0.03758897
0,0.02378621,0.01869114,0,0.01191576
0,0,0,-0.00206779,0.00308172
-0.02111079,0,0,0,-0.00270295
0,0,0,0,-0.07591252
-0.02235335,0,0,0,0.10458168
0,0,0,-0.01568198,-0.06911665
0,0.00713379,0,0,0.07917225
0.01569218,0.02729806,0,0,-0.06980261
0,0,0.01067743,-0.03665729,0.11684324
0,0,0,0,-0.05203739
-0.0490613,-0.01243066,0,0,-0.02501823
0,0,0,0.01505082,0.02893461
-0.02751479,0,0,0,-0.0328274
0,0,0,0,0.02349448
0,0,0,-0.00172082,-0.00020149
-0.05147244,0,-0.02357241,0,-0.0251184
0,0,-0.01559451,0,-0.0681165
0,-0.03738554,0,0,0.1308942
0.0223028,0,0,0,-0.03518142
0.03444321,0,0.01941796,0.01701813,-0.0396408
0,0.01691729,0,0,0.06655665
0,0,0,0,-0.03234481
0.02681237,0.01907357,-0.00901166,0,0.05406804
0,0.01071849,0,0.05013794,-0.05103922
0,0,-0.01754079,0.0018021,0.07563643
0,0,-0.01546223,0,-0.02281468
0.01866338,-0.01443191,0,0,-0.09106068
0.04994201,-0.01414631,0,-0.07772547,-0.05279117
0.00785057,-0.00471614,0,-0.0052866,0.10084686
0,-0.02013913,0,0,-0.01033608
0,-9.29E-05,0,0,0.0599654
-0.00295011,0,0,0.01270141,-0.02542383
0,0,0,0.00408935,0.12250666
-0.05133603,0,-0.01381282,0.04016867,-0.03818488
-0.01145097,0.00070107,0,0,-0.02111428
0,0.01846839,0,0,-0.03777689
-0.00664052,0.02651599,0,0,-0.09678378
-0.02403418,0,-0.02939634,-0.01192353,0.06235917
-0.02145863,0,0,0,-0.064406
0,-0.01359282,0,0,0.0371431
0,0,0.03156971,0.01275534,0.01683854
0.03427516,-0.01670851,0,0.0073534,-0.04827648
0.01390072,-0.00897583,0,0,-0.09102082
0.00329977,-0.00879918,-0.0255645,0,0.03607827
0.02189704,0,0,0,0.08451533
0,0,0,0,-0.14557333
0,0.0089258,0,0.00494738,0.03391394
0,0.0006715,0,0.00649197,0.04841088
0,0.00624838,0,0.00861941,0.06538987
-0.01582803,0.0115513,0,0.02179956,0.01950539
-0.00934668,0.03063674,0.00168748,0,-0.02356607
0,0.00630354,0,0,-0.10259641
-0.00550094,0,0.03150765,-0.03225361,0.16302761
-0.02239917,0,0,-0.00642163,0.02382786
0,0,0,0,0.0180743
0,-0.00653072,0,0,-0.17082926
0,0,0.02143431,0.00786814,-0.07371523
0,-0.07065267,0,0,0.08103867
0,-0.01171888,0,0,0.03912336
0,0,0,0.0287255,0.01567102
0.00938051,0,0,0,-0.03147404
0,0.01437325,0.01551859,0,-0.02461902
0,0,0,-0.01779725,0.01775584
0,0,0,0,-0.02074865
0,0.0226848,-0.06007669,0,-0.04460699
-0.00584593,0.00254521,-0.01319202,0,-0.00011071
-0.01568252,0,0,0,0.01644724
-0.0008611,0,0,0,0.12199798
0,0,0,-0.00165908,-0.07222508
-0.00316732,0,0.02741777,0,-0.15095126
0,0,0.05323992,0,0.12448576
0,0,0,0,0.10692829
0,0,0,0,-0.12468851
0,-0.00992619,0,-0.03827381,0.03133162
-0.03281734,-0.01074316,0,0,0.13982664
