Air,BaseJump,BearPark,Bike,Bus
0.00511954,0.00190822,-0.08819583,0.0086851,0.00176302
-0.00511954,-0.0386401,0,0,-0.05116865
0.00511954,-0.00427439,0,0,0
0.03422235,0,0.00045074,0,0
0,0,0,0.01695731,0
0,0.02949082,0,4.58E-05,0
0,0,0.01282095,0,0.00392274
0.02730351,0,0,0,0
0,-0.003151,0,0.00987573,0
0.00243563,-0.00268814,0,0,-0.02163126
0.03118715,0,0,0,-0.00921207
0,0,0,0,0
0,-0.01209214,0.07067654,0,0
0,-0.03006555,0,-0.03579262,0
-0.01827749,0,0,-0.0047061,-0.01505711
0,0,0,0,0
0,0.01749514,-0.04778635,0,0
0.02353318,0,0,-0.02369384,0.00578071
0.0452319,0,-0.04925939,0,0
0,-0.06237424,-0.09271984,0,0
0,-0.00056225,0,-0.04775337,0
0.01448745,0,0,0,0
0.04364465,0,0.04300808,0,0
0.01223498,0.01066981,0,-0.02109486,0
0,0,0.00130485,-0.00234151,0.01852655
0,0,0.01766484,0,0.01186157
-0.00713915,0,0.00446004,0,0
0,0,0,-0.02191435,0
0,-0.01734942,0,0,0
-0.00727155,-0.01312051,0,0,0.01854895
0,0,0,0.02679314,0.01329033
0,0,0,0.01661144,0
0,0,0,0.02240064,0
0.02989743,0,0.0728804,0,-0.03603111
0.03273693,-0.00201296,0.0153012,0.02144345,0
0.00755406,-0.01151137,0,0,0
0,0,0,0,0
0,-0.0444459,0,0,-0.01194611
-0.01347048,0,0,0.05579654,-0.01375838
0,0,0.03677317,0,0
0,0,0.01049863,0,0
0,0,0.02514892,-0.06086849,0
0.01297914,0,0,0,0
0,0.00182567,0,-0.09139837,0
0,0.01459413,-0.05635165,-0.00841902,-0.04894124
0,0,0,-0.02394559,0
0,0,0,-0.03037671,0
0,0,0,-0.00987748,0
-0.00773681,0,0,0,0
0,0.0048108,0,0,0.00635551
0,0.02350462,0,0,0
0.0012793,0,0.01659913,-0.00350194,0
0,0,0,-0.04949802,0
0.03761346,0.01219968,0,0,0
0.01213588,0,-0.03579401,0,0.00639193
0.00010659,0,0,0,0.00153848
0,0,0,0,0.01289303
0,0,0,0,0.0106047
0,0.04069903,0,0,0.00958272
0,0,0.06213125,-0.00424853,0
-0.00036812,0,0,0,0
0,0,0,0,0
-0.02137584,0,0.02629298,0.0136217,0.00450993
0,0.03326555,0,0,0.07607646
0,0,0,0,0
0,0,0.05314322,0.00154374,0
0,0,0,0.00951663,0
0,0,0,0.07021621,0
0,0.00892335,0,0.01266247,0
0.0143605,0,-0.03390492,0.08171848,-0.02111079
0,0,0,0,0
0,0,-0.01616184,0,-0.02235335
0,0,0,0,0
0,0,0,0,0
-0.00952816,0.02793827,0,0.00719415,0.01569218
0,0.06701554,0,0,0
0,0.0001802,0.00127331,0,0
-0.04818202,0,0,0,-0.0490613
-0.00795044,0,0,-0.00647241,0
-0.00169885,0,0,-0.01469426,-0.02751479
0,0,-0.06016546,-0.02711021,0
0,-0.03704379,0,-0.1717134,0
0.00584287,-0.08857129,0,0,-0.05147244
0.01370377,-0.02303491,0,0,0
0,0,0,0,0
0,0,0,0.01034503,0.0223028
0,-0.04823694,0,0.04679421,0.03444321
-0.00201875,-0.00740457,-0.03382319,0.05520721,0
-0.03589623,-0.11695201,0,0.02884492,0
-0.00709871,0,0,0.02158389,0.02681237
0,0,-0.02452041,0.02784618,0
0,0.00117986,0,0,0
0,0,-0.00071512,0,0
0,0,0,0,0.01866338
-0.02247075,0,-0.06785655,0,0.04994201
0,-0.00269327,-0.01377533,0,0.00785057
0,-0.00020186,0,0,0
0.0058049,0,0,-0.01096618,0
0,0,-0.05254495,0,-0.00295011
0.04103227,0,0,-0.03942994,0
0.00918037,0,-0.02321947,-0.03887104,-0.05133603
0.0417305,0,0,0,-0.01145097
0.03353241,-0.00452852,0,0,0
0.00131694,-0.02876023,0,-0.04192425,-0.00664052
0,0,0,0,-0.02403418
0,0,-0.04528843,0,-0.02145863
-0.04768253,0.04020383,-0.04941237,0,0
0,0.10317854,0,0,0
-0.03061461,0,0,0,0.03427516
0,0,0.08108242,-0.01323695,0.01390072
0,0,0.0003561,-0.00616019,0.00329977
0,0.00594371,0.02472036,0,0.02189704
0,0.04832762,0,0,0
0.00347105,0.02779625,0.06829636,0.03842558,0
0.01464042,0,0,0.01232437,0
0,0.02245725,0,0,0
0,0,0,0.01449132,-0.01582803
0,0.00448863,0.0056066,0.01451287,-0.00934668
0,0,0.04039517,0.03276867,0
-0.17998844,0,0.046402,0.00612082,-0.00550094
0,-0.00639528,0,0,-0.02239917
0,-0.03732037,0,0.0085014,0
0,0,-0.0165078,0.01457342,0
0,0,0,0.00056792,0
0,0,0,0,0
0.06130599,0.01393142,0,0,0
0,0.00222505,0,0,0
0,0.00560264,0,0,0.00938051
-0.02026353,0.0396198,0,-0.01269905,0
0,0.00919077,0,0,0
0,0,0.00541207,0,0
0,0.0022265,0.03681317,0.04147089,0
0,0,0.00407742,0,-0.00584593
0.0340064,0.02917315,0,0,-0.01568252
0.03265837,0,0,0,-0.0008611
0.01629106,0.02561917,-0.02219287,0.00836192,0
0,0,0,0,-0.00316732
0,0.10123316,-0.04313802,0,0
-0.01894121,0,0,-0.01200986,0
-0.01643529,0,0,0,0
0,0,0.00500625,-0.0932351,0
0,0,0,0,-0.03281734
0,0,0,0,0
0,0,-0.03851445,0,0
-0.00316802,0,-0.01749537,-0.02417665,-0.0389316
0,0,0,0,0
0,0,0,-0.01749946,0
0,0,0.02984098,0,-0.02580879
-0.02733296,0.0440307,0.00196906,0,0
-0.00166262,0,0,0.03990447,0
0,0,0,0,0.03268802
0,0,0,0,0.00659209
0,-0.07418959,0,0,0
0,-0.0049607,0,0,0
0,-0.04094631,0.02450497,0,0
0.03080509,0,0,-0.06842028,0
0,-0.00218377,0,-0.03881898,0
0.04066846,-0.05838293,-0.03294199,-0.03148186,0
0.00474953,0,0,-0.02320294,0
0.02800227,0,0,-0.04124296,0.01036523
0.00241753,0,0,0,0
0.01793244,-0.04242022,0,0,0
0,0,0.00797025,0.05039012,0
0,0,0,0.00566393,0
-0.05552837,0.01729827,0.03520915,0,0.01649221
-0.008922,0,0.01310686,0,0.02012043
-0.00703947,0,0,0.01837608,0.00867366
0,0,0,0.02902383,0
0,0,0,0.00219812,0
0,0,0,0,0
0,0,0.04219884,0,0
0.00134047,0,0,-0.01261937,0.02843952
0.01429072,0,0.00950237,0,0
0,0,0,0,0
0,0,0,0,0
0.01536137,-0.02242151,-0.01162037,0.00173064,0.02779027
0,-0.0020779,0,0,0
0,0,0,0,0
-0.01590207,0,-0.05842993,-0.00317999,0
0,0.10317646,0,0,0.01691701
-0.001552,0,0,0,0
0,0,0,0,0
0,-0.00197716,0,0,0.02887324
0.01174342,0,0,0.00484725,0
0,0,0,0,0
0,0.04484006,0,0,0
0.03423391,0,0,-0.00422428,-0.05057754
0,0,0,-0.00594921,-0.03578867
0,-0.00618789,0.03943998,-0.01986796,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,-0.01701113,0,0,0
0,0,0,-0.00465049,0
0.00067327,0,0,0,0
0.01172642,0,0,0,0.0118875
0,0,0,0,0.02875417
0,-0.00270065,0,-0.00844651,0
-0.11278348,-0.00197534,-0.07936627,0,0
0,0,0,0,0
0,0,0,0,-0.02935767
0.07164925,-0.02574222,-0.01617017,0,0
0,-0.00348567,0,0,-0.00836002
0.0481324,-0.06201018,0,0.06320047,-0.00594674
0.00850978,0,0,0.03086654,-7.10E-05
0.00150996,0,0,0,-0.00289898
0,0.02564326,0,0.0383686,-0.00147488
0.01942544,0.04892479,0.02266742,0.05228129,0
0,0.01148928,0,0.00899771,0
0,0,0,0.07186996,0
0,0,0,0,0
0,0,-0.00469564,0,0
0,0,0,-0.02622667,0
0,-0.01186216,0,0,0
0,-0.00196656,0,0,-0.02193962
-0.04473288,-0.02893068,0,0,0
0,0,0.0217512,0.01849174,0
0,0,0.06200416,0,0
0,0.00839366,0.00779059,0,-0.00747389
-0.0190039,0,0,0.04003655,0
0,0,0,0.00898917,0
-0.0346421,0,0,0,0
0,0,0,0,0
0,0,-0.00350858,0,0
0.05227542,0,0,0.0007768,0.00175664
0.03294254,0.01358178,-0.04620544,0.0138537,0
0,0.05037276,-0.03241078,0,0
0,0,0,0,0.01934835
0,0,0,0,0
0,0,0,0,0
0,0,0.03605525,0,-0.01255588
-0.01607263,0.00394994,0,0,0
0,0,0,0,0
0,0.03733232,0,-0.02987045,0
-4.60E-07,0,0,0,0.00227737
0,0,0,0,0
0,-0.0041267,-0.02338596,0,0
0,0,0,0,0.02939555
-0.07088339,0,0,0,0
0,-0.00451221,0.02462235,0.01384808,0
0,0,0,0,0
-0.00592384,0,0,0.00177758,0
0,-0.05066059,0,0,0
-0.0009128,-0.0183013,0,0,0
0,-0.01079171,0.01307658,0,0
0,-0.02646662,0,0,0.04478011
0.02095609,0,0,-0.0053623,0.0356153
0.0026848,-0.01802395,0,0,0
0.0696543,-0.00163644,0,-0.15779201,0.00123876
0,0,0,-0.07555173,0
0,-0.0511461,0,0,0
-0.00370707,-0.01947222,0,0,-0.00547417
-0.00334959,0,0.02589791,0.01136426,-0.01964374
-0.01940251,0,0,0,-0.01690654
0,-0.05625096,0,0,0
0,0,0,0,0
0,-0.04598755,0,0,0
0,0,0,0,0.01673126
0,0,0,0,0
0,0,0.04584641,0,0
-0.00490546,0.03388267,0,-0.03342419,0
-0.00454662,0,0,-0.01411084,0
-0.01387885,0,0.01327522,0,0
-0.00130487,-0.08311703,0,0,0
0,0,0,0,0.02822516
0,0,0,0,0
-0.01268106,0,-0.01066379,0.07235046,0
-0.00267407,0.05637123,-0.004833,0.0107987,-0.02153761
0,0.00609935,0,0.0350447,0
0,0,0,0,0
0,0,0,0,0.04390765
-0.00830004,0,0,-0.03267539,0
-0.02597778,0,0,-0.05654545,0
0,0,0.04206132,0,-0.04889655
0,-0.01602175,0,0,0
0.03611283,-0.02523682,0,0.06382867,0
0,0,0,0.00809251,0
0,0,0,0,0
-0.02369029,0,-0.14613966,0,0
0,0,0,0,0
0,0.00256321,0,0,0
0.0297745,0.05317988,0,0.01033224,0
0,0,0,0.05615901,0
0,0.01404519,-0.04299431,0.0133737,0
0,0,0,0.02003097,-0.02093165
-0.0158398,0,0,0,0
0,0.02317999,0.01526643,0,-0.01988704
0,0.02026514,0.08357656,0,0
0,0,0.03356056,-0.03150248,0
0,0,0,-0.01901389,0.01843682
0,-0.03066255,0.01644589,0,0
0,0,0,0,0
0,0,0,-0.07115013,0
0,0.08579092,0,0,-0.03896546
0.04035478,0,-0.10616822,0,0
0.00935944,0,0,0.00851373,0
0,0,0,0.09200872,0.05388338
0,0.00390445,0,0,0.02512713
0,0.02806877,-0.05069076,0,0.00226503
0,0,0,-0.04466067,0.00433708
0,0,-0.0290475,0,0.00518092
0.02475673,0,0,0,0
0.00958545,0,0,-0.01794296,0
0,0,-0.01093567,-0.05543306,0
0.01116309,0,0,0,0
0,0.06431797,-0.00092337,-0.01132608,0
0,0,0,-0.00334236,0
-0.03129952,0,0,0,0.00035279
0,0,0,-0.04645387,0
0,0,0,0,0
-0.00129157,-0.00540584,0,0,-0.0037347
0,-0.01868108,0,-0.01842382,0
-0.0058053,0,0,0,0
0,0,0,0,0
-0.01568956,0,0.02000183,-0.11754017,0
-0.01468566,0,0,0,0
0,-0.02972888,0,0,0
0,0,0.03098566,0.02045497,-0.0236841
0,0,0,0,0
0,-0.03626932,0,0,0
0,0,0,0,0
0,0,0,0.00836995,0
0,0.05073598,0,0,0
0,0,0,0,0
0.02839766,0,0.00634846,0,-0.07123242
0,-0.00270293,0,0,0
0.0246458,-0.04010173,0,0.01232687,0
0,0,0,0.04074,0.02401684
0,0,0,0.07484597,0.03538052
0,0,0,0,0
-0.01459016,0,-0.00772401,0.05061835,0
0,-0.01052098,0,0,0
0,-0.00342732,0,0.05575069,0.0018716
0,0,0,0.03572603,0.03802005
0,0,0,0.0710533,0
-0.03541458,0,-0.00059409,0.01607662,0
0,0,0,0.0339384,-0.02444574
0,-0.0238136,0,0.01475065,0
0,0,0.10168473,0,0
0,-0.0403969,0,0,0.00683382
-0.02034494,-0.02460229,0,0,0
-0.04072286,0,0,0,0
0,0,0,-0.02253692,0
0,0,0,0,0
0,0,0,0,0
0.02295689,0.0048971,-0.02809129,0.00350839,0.03200591
0,0.04849497,0,0,0
0,0,0,0,0
-0.00015591,0.00060332,0,0,-0.03304899
0,0,0,-0.03064352,-0.00180979
0,0,0.06371431,-0.01782119,0
0,-0.00471268,0.05219047,0,0
0,-0.02984517,0,-0.03767532,0
-0.02476649,0,0.06953231,0,-0.02481716
0,0,0.00267574,0,0
0,0.00956559,0,0.00338433,-0.00675903
0,0.01553455,0,0,0
0,0,0,0,0
-0.02126858,0.14890675,0,0,0.05853392
0,0,0,0,0
0,0,0,0.01029952,0
0,-0.02282152,0,0,0
0.06171702,0,-0.10325073,0,0
0,0,0,-0.00123456,0
0,0.01550298,0,0,0.00756414
0,0,-0.00412226,0,0
0,0,0,0,0
0,0,0,0.04882497,-0.01127867
0.01269565,0,0,0,0
0,0,-0.01120238,0,-0.00732767
0,0,0,-0.02745447,-0.00247507
0.01420544,0,0,0,0
0.01379668,0,-0.0098863,-0.01313791,0
0.0384678,0,0,0,0.00611133
0,0,-0.07132569,0,0
0.02059433,0.01389688,0,0.01390542,0
0,0,0,0.0116569,0
0,0,0.01437914,0,0.02694015
0,0,0,0,0
0.00406535,-0.00126456,0,-0.0030656,0.00548025
0,0,0,-0.00193081,0
