viewname,viewnum,frame,value,path
HC3,1,0,0.403538109,C:\Users\lit\Desktop\Auditorium\view-HC3\000.jpg
HC3,1,1,0.437634027,C:\Users\lit\Desktop\Auditorium\view-HC3\001.jpg
HC3,1,2,0.436019038,C:\Users\lit\Desktop\Auditorium\view-HC3\002.jpg
HC3,1,3,0.574830239,C:\Users\lit\Desktop\Auditorium\view-HC3\003.jpg
HC3,1,4,0.539298424,C:\Users\lit\Desktop\Auditorium\view-HC3\004.jpg
HC3,1,5,0.531896292,C:\Users\lit\Desktop\Auditorium\view-HC3\005.jpg
HC3,1,6,0.577436927,C:\Users\lit\Desktop\Auditorium\view-HC3\006.jpg
HC3,1,7,0.385127245,C:\Users\lit\Desktop\Auditorium\view-HC3\007.jpg
HC3,1,8,0.400476365,C:\Users\lit\Desktop\Auditorium\view-HC3\008.jpg
HC3,1,9,0.433275019,C:\Users\lit\Desktop\Auditorium\view-HC3\009.jpg
HC3,1,10,0.274222079,C:\Users\lit\Desktop\Auditorium\view-HC3\010.jpg
HC3,1,11,0.350375453,C:\Users\lit\Desktop\Auditorium\view-HC3\011.jpg
HC3,1,12,0.28881593,C:\Users\lit\Desktop\Auditorium\view-HC3\012.jpg
HC3,1,13,0.415776732,C:\Users\lit\Desktop\Auditorium\view-HC3\013.jpg
HC3,1,14,0.4800187,C:\Users\lit\Desktop\Auditorium\view-HC3\014.jpg
HC3,1,15,0.446719353,C:\Users\lit\Desktop\Auditorium\view-HC3\015.jpg
HC3,1,16,0.529106749,C:\Users\lit\Desktop\Auditorium\view-HC3\016.jpg
HC3,1,17,0.54269096,C:\Users\lit\Desktop\Auditorium\view-HC3\017.jpg
HC3,1,18,0.569306065,C:\Users\lit\Desktop\Auditorium\view-HC3\018.jpg
HC3,1,19,0.642383775,C:\Users\lit\Desktop\Auditorium\view-HC3\019.jpg
HC3,1,20,0.543452527,C:\Users\lit\Desktop\Auditorium\view-HC3\020.jpg
HC3,1,21,0.556865745,C:\Users\lit\Desktop\Auditorium\view-HC3\021.jpg
HC3,1,22,0.652412506,C:\Users\lit\Desktop\Auditorium\view-HC3\022.jpg
HC3,1,23,0.483635862,C:\Users\lit\Desktop\Auditorium\view-HC3\023.jpg
HC3,1,24,0.601222486,C:\Users\lit\Desktop\Auditorium\view-HC3\024.jpg
HC3,1,25,0.584666921,C:\Users\lit\Desktop\Auditorium\view-HC3\025.jpg
HC3,1,26,0.514622026,C:\Users\lit\Desktop\Auditorium\view-HC3\026.jpg
HC3,1,27,0.474218321,C:\Users\lit\Desktop\Auditorium\view-HC3\027.jpg
HC3,1,28,0.593620758,C:\Users\lit\Desktop\Auditorium\view-HC3\028.jpg
HC3,1,29,0.561944186,C:\Users\lit\Desktop\Auditorium\view-HC3\029.jpg
HC3,1,30,0.448791888,C:\Users\lit\Desktop\Auditorium\view-HC3\030.jpg
