viewname,viewnum,frame,value,path
ST,7,0,0.617086207,http://localhost:8080//view_ST//00.jpg
ST,7,1,0.578799074,http://localhost:8080//view_ST//01.jpg
ST,7,2,0.570056783,http://localhost:8080//view_ST//02.jpg
ST,7,3,0.502762896,http://localhost:8080//view_ST//03.jpg
ST,7,4,0.458651983,http://localhost:8080//view_ST//04.jpg
ST,7,5,0.424241238,http://localhost:8080//view_ST//05.jpg
ST,7,6,0.382290401,http://localhost:8080//view_ST//06.jpg
ST,7,7,0.356585701,http://localhost:8080//view_ST//07.jpg
ST,7,8,0.355453838,http://localhost:8080//view_ST//08.jpg
ST,7,9,0.40303346,http://localhost:8080//view_ST//09.jpg
ST,7,10,0.401828532,http://localhost:8080//view_ST//10.jpg
ST,7,11,0.39690953,http://localhost:8080//view_ST//11.jpg
ST,7,12,0.372906479,http://localhost:8080//view_ST//12.jpg
ST,7,13,0.364209321,http://localhost:8080//view_ST//13.jpg
ST,7,14,0.368829726,http://localhost:8080//view_ST//14.jpg
ST,7,15,0.370837704,http://localhost:8080//view_ST//15.jpg
ST,7,16,0.393491046,http://localhost:8080//view_ST//16.jpg
ST,7,17,0.392660631,http://localhost:8080//view_ST//17.jpg
ST,7,18,0.378542884,http://localhost:8080//view_ST//18.jpg
ST,7,19,0.367998954,http://localhost:8080//view_ST//19.jpg
ST,7,20,0.374841043,http://localhost:8080//view_ST//20.jpg
ST,7,21,0.349852348,http://localhost:8080//view_ST//21.jpg
ST,7,22,0.377420302,http://localhost:8080//view_ST//22.jpg
ST,7,23,0.348966982,http://localhost:8080//view_ST//23.jpg
ST,7,24,0.347374815,http://localhost:8080//view_ST//24.jpg
ST,7,25,0.420398229,http://localhost:8080//view_ST//25.jpg
ST,7,26,0.46458038,http://localhost:8080//view_ST//26.jpg
ST,7,27,0.30871888,http://localhost:8080//view_ST//27.jpg
ST,7,28,0.314548535,http://localhost:8080//view_ST//28.jpg
ST,7,29,0.297568869,http://localhost:8080//view_ST//29.jpg
ST,7,30,0.2614156,http://localhost:8080//view_ST//30.jpg
ST,7,31,0.371743745,http://localhost:8080//view_ST//31.jpg
ST,7,32,0.513065327,http://localhost:8080//view_ST//32.jpg
ST,7,33,0.531188294,http://localhost:8080//view_ST//33.jpg
ST,7,34,0.408850156,http://localhost:8080//view_ST//34.jpg
ST,7,35,0.506412888,http://localhost:8080//view_ST//35.jpg
ST,7,36,0.745554126,http://localhost:8080//view_ST//36.jpg
ST,7,37,0.668220156,http://localhost:8080//view_ST//37.jpg
ST,7,38,0.678625388,http://localhost:8080//view_ST//38.jpg
ST,7,39,0.62702785,http://localhost:8080//view_ST//39.jpg
ST,7,40,0.556607785,http://localhost:8080//view_ST//40.jpg
ST,7,41,0.512471406,http://localhost:8080//view_ST//41.jpg
ST,7,42,0.463360402,http://localhost:8080//view_ST//42.jpg
ST,7,43,0.412127874,http://localhost:8080//view_ST//43.jpg
ST,7,44,0.391934978,http://localhost:8080//view_ST//44.jpg
ST,7,45,0.405667575,http://localhost:8080//view_ST//45.jpg
ST,7,46,0.460454019,http://localhost:8080//view_ST//46.jpg
ST,7,47,0.483970699,http://localhost:8080//view_ST//47.jpg
ST,7,48,0.500620196,http://localhost:8080//view_ST//48.jpg
ST,7,49,0.491974203,http://localhost:8080//view_ST//49.jpg
ST,7,50,0.540761325,http://localhost:8080//view_ST//50.jpg
ST,7,51,0.721602743,http://localhost:8080//view_ST//51.jpg
ST,7,52,0.792317642,http://localhost:8080//view_ST//52.jpg
ST,7,53,0.819558991,http://localhost:8080//view_ST//53.jpg
ST,7,54,0.671135033,http://localhost:8080//view_ST//54.jpg
ST,7,55,0.631164908,http://localhost:8080//view_ST//55.jpg
ST,7,56,0.590790028,http://localhost:8080//view_ST//56.jpg
ST,7,57,0.613815098,http://localhost:8080//view_ST//57.jpg
ST,7,58,0.587832848,http://localhost:8080//view_ST//58.jpg
ST,7,59,0.597032936,http://localhost:8080//view_ST//59.jpg
ST,7,60,0.543825981,http://localhost:8080//view_ST//60.jpg
ST,7,61,0.504837229,http://localhost:8080//view_ST//61.jpg
ST,7,62,0.491802112,http://localhost:8080//view_ST//62.jpg
ST,7,63,0.471269234,http://localhost:8080//view_ST//63.jpg
ST,7,64,0.474885642,http://localhost:8080//view_ST//64.jpg
ST,7,65,0.548982183,http://localhost:8080//view_ST//65.jpg
ST,7,66,0.669357746,http://localhost:8080//view_ST//66.jpg
ST,7,67,0.723373459,http://localhost:8080//view_ST//67.jpg
ST,7,68,0.709279345,http://localhost:8080//view_ST//68.jpg
ST,7,69,0.725434909,http://localhost:8080//view_ST//69.jpg
ST,7,70,0.579223147,http://localhost:8080//view_ST//70.jpg
