Air,BaseJump,BearPark,Bike,Bus
0.00034556,-0.0005044,-0.01431917,-0.04207807,-0.00011731
-0.00034556,0.0005044,-0.05935216,0.05168768,-0.02003857
0,0.01260501,0,0.00012645,-0.01468515
0,0.01165153,0,0.02391946,0
0,0,0,0,0
0.00132788,0,0,0,0
0,-0.00376525,0,0,0
0,-0.0108472,0,0,0
0,0,0,0,-0.00564833
0.00729284,0,-0.03242963,0,0
0.01322591,0,-0.00037461,0,0
0.01307125,0,0,0,0.0019803
0,0,-0.05128739,0.01185849,0.00025464
0,0.00339233,-0.00325893,0.00960193,0.0221853
-0.01683539,0.00720658,-0.03217353,0,0.00669713
-0.00766229,0.01859033,-0.00873879,0,0
0,0,0,0,0
0,0.00163601,0,-0.04514806,-0.00878264
0.00856385,0,0.00324067,0,-0.02035024
0.00415496,0,0,0,0
0,-0.00527346,0,-0.02009865,0
0,0,0,-0.00224001,0.01844744
0,0,0,-0.04620081,0.00606241
0,0.01036362,0.0589514,0,0
0.00315453,0,0,0,0
0.00196864,0,0.0542826,0,-0.00780925
0,0,0.01175906,0,0
0.01285863,-0.0094483,0,-0.02026488,0
0.00660716,-0.00023345,0,0,0
0,0,0,0,0
0,0,0,-0.01743715,0
0.01830019,0,0,0,0
0.02384895,0,0.01328254,-0.05409609,0
0,0,0.02593085,-0.04794724,0.00541324
0,-0.0163861,0,-0.0189494,0
0,0,0,-0.01470474,0.01562107
0,0,0,0,0.01057093
0.00383622,0,0,-0.02922651,0
0,0,0,-0.07390442,0
0,0,0.06094239,0,0
-0.0007621,0.01069305,0.02824413,0,0
-0.00091097,0,0,0.01091604,-0.00670552
0,0,0,0,0
0,-0.00192978,0.03493227,0,-0.02728456
0,0,0,-0.00314248,0
0,0,0,-0.01811921,0
0,0.0226142,0,0,0.01858408
0,0,-0.03867423,0,0
-0.00165134,0,0,0,0
0,-0.01693282,0,0,-0.00131648
-0.0062435,-0.00678966,-0.065287,0,0
0,0,0,-0.01885132,0
0,-0.00951112,0,0,0
-0.00771192,-0.01885195,0,0,0.07435631
0,0,0,-0.01294156,0
0,0,0,0,0.06120481
0.00087475,0,0,-0.02548942,0
0.00224682,0,0,-0.06279339,0
0.01025503,0.00130358,0,-0.01413553,-0.07395807
0,0,0.04091424,0,0
0,0,0,0,-0.0014687
0.00200957,-0.01041095,0,0,0
0,0,0,-0.01575099,0
0,0,0,-0.02825747,0
-0.00977328,-0.04103789,0,-0.00067911,0
-0.00703603,0,-0.002422,-0.0237483,0.01034282
0,-0.00030911,-0.02691026,0,0
0,-0.0237668,0,0,0.02378621
0.00532347,-0.00199511,0,-0.03077047,0
0,0,0,0,0
0,-0.0136358,0,-0.00315803,0
-0.00403145,0,0,0,0
