Air,BaseJump,BearPark,Bike,Bus
-0.23520012,0.06463239,-0.0135119,-0.00295312,0.18428205
-0.0755438,0,-0.0325615,0.0028324,-0.07104933
0,0.04612093,0,0,0
0,0,0,0,0
0,0,0,0.00350567,0.04037911
0,0,0,0.00026092,0
0,0,-0.02137633,0.00233332,0
0.0606584,0,-0.04204962,0.00400898,0
0,-0.06841962,-0.00801137,0,0
0,-0.03055285,-0.01101008,0.00621926,0
0,-0.00074914,0,0,0
0,0,0,0,0
-0.04590294,0,0,0,0
0,0,-0.08001674,0,0.02710057
0,0,-0.05409133,0.00048648,0
0,0,-0.02089442,0,0
0,0,0,0.00135934,0
-0.02155209,0,0,0,0
0,0,0.02627398,0.00217882,0
0,0,0.02421652,0,0.0071384
0.03773411,0,0.00480397,0,0.03368277
0.01748014,0,0.02522661,0,0
0,-0.00192982,0.00432917,0,0
0,0,0.00259494,0,-0.00155642
0,0,0,0,-0.03356179
0,0,0.01164075,0,-0.01459788
0.03801445,0,0,0,-0.01416859
0,0,0,0,-0.0015988
0,0,-0.02891997,0.00394294,0
-0.08005298,0,-0.00788454,0,0
0,0,0,0,0.03135709
0,-0.00024898,-0.05562877,0,0
0,0,-0.00635504,0,0.03286308
0,0,0,-0.00603857,0.02158054
0.03869289,0,0,-0.00086834,0
0,0,0.01326292,0,0
0,0.00073277,0.0101123,0,0
-0.04874743,0,0.03624652,0,0
0,0,0,0,0
0,0,0.03479272,-0.00444606,-0.00180231
0,0,0.00989464,-1.35E-05,0
-0.0251132,0,0.02064642,0,-0.04748991
0,0,0.00650306,0,0
0,0,0,0,0
0,0,0,0,0
0,0,-0.0317585,0,0
0,0,-0.03407131,-0.00881555,0
0,0,0,0,0.00675447
-0.01510169,0,0,-0.0022313,0.01266828
0,0.00586394,-0.01899604,-0.00421971,0
0,0,-0.03845899,0,0
0,0,0,0,0.03415121
0,0,0,0,0
0,0,0.00367454,0,0
0,0.02015533,0.03334405,0.00172999,-0.05761132
0,0.00798595,0,0.00717974,0
0.02247337,0.01569018,0.0394383,0.00431013,0
0,0,0.04506466,0,0
0.02170054,0,0,0,-0.00343125
0.02614457,0,0,0,0
0,0,-0.09766583,0,0
0,0,-0.01677249,-0.00573278,0
-0.03121002,0,0,0,0
0,0,-0.05431057,0,0
0,-0.00550566,0,0,0
0,0,0,-0.00329397,0
-0.02520612,0,0,0,0
0,0.01049132,-0.00581272,0,0.01869114
0,0,0,0,0
0.015402,0,-0.01996614,0,0
0,0,0,0,0
0,0,0,0,0
0,0.02182371,0.00128816,0,0
0,0,0,0,0
0,0,0,0.00648849,0
0,0,0.01235339,0,0.01067743
0,0,0.05487561,0,0
0,0,0.0856168,0,0
0.01876079,0,0.06744555,0,0
0,0,0,0,0
0,0,0,0,0
0,-0.02892836,-0.10268789,0,0
0,0,-0.00190014,0,-0.02357241
0,0,-0.01767825,0,-0.01559451
-0.00416005,0.0005823,0,0,0
0,0.00589806,0,0,0
0,0.04211346,0.02423337,0,0.01941796
0,0,0.07845269,0,0
0,0,0.08045214,-0.00393214,0
-0.04560756,-0.0015288,0.09219849,0,-0.00901166
0,0,0.06204617,0,0
0,-0.03139606,0.04243107,0,-0.01754079
0,-0.02059399,0,0,-0.01546223
0,-0.00572378,0.04089539,0,0
0,0,0,0,0
0,0,0,0,0
0,0,-0.00423688,0,0
0,-0.00353154,-0.04132563,0,0
0,-0.00172293,-0.0690217,0,0
0,0,-0.0567909,0,0
0,-0.00407501,-0.03742662,0,-0.01381282
0,0,-0.01514832,0,0
0.01002689,0,0,0,0
0,0,-0.03289593,0,0
0,0,-0.03744406,0,-0.02939634
0,-0.0043806,-0.09992776,0,0
0,0,-0.06689168,0,0
0,0,0,0.01306859,0.03156971
0,0,0,0.0021406,0
-0.00853211,0,0.07340065,0,0
0,0,0.05986042,0.00098468,-0.0255645
0,0,0.02110921,0,0
0.01341598,-0.00757047,0,0,0
0,-0.00575048,0,-0.01317016,0
0,0,0.00620928,-0.00489675,0
0,0,0,-0.00398631,0
0,0.00222656,0,0,0
0,0,-0.0265651,0,0.00168748
0,0,-0.04301958,0,0
0,0,0,0,0.03150765
0,0.00486319,0,0.02065118,0
0,0,0.00969509,0.11881654,0
0,0,0.07653576,0.02465489,0
0,0,0.06701723,0.03869704,0.02143431
0,-0.00024021,0.04358736,0.01616463,0
0,0,0.02234337,0.01666043,0
-0.01561833,0,0,0,0
0,0.00389808,0,0,0
0,0,-0.03463711,-0.22000602,0.01551859
0,0,-0.07358373,-0.0042557,0
0,-0.00063486,-0.06397337,0,0
0,0,-0.05538295,0,-0.06007669
9.67E-05,0,-0.02564466,0,-0.01319202
0,0,-0.05283773,-0.00240958,0
0,-0.00518524,0,-0.00984471,0
0,0,0,-0.00093479,0
0,-0.00047255,-0.01614918,0,0.02741777
0.03739306,0,-0.02711995,-0.0021593,0.05323992
0,0,0,0,0
0,0.00161035,0,0,0
0,0.00460672,0.00285645,0,0
0,0,0,-0.00752377,0
0.01134678,0,0,0,0
0,0,0.05176775,0,-0.00010982
0,0.02780363,0,0.00390242,0
0,0.00832522,0,0,0
0,0.01596261,0.0857771,0,0.04389269
0,0,0.08706431,0,0
0,0,0,0,0
0,0,0,-0.01143546,-0.02006737
0,0.01153739,-0.18817664,-0.00025218,-0.04935813
0,0,0,0,0
0,0,0,0,0
0.01218798,0,1.17E-05,0.00371216,0
0,-0.01851315,0,0.03068294,0
0.00607998,-0.03117364,0.00992299,0.01618766,-0.03552032
0,0,0.10860821,0,0
0,-0.00165399,0,0,0
0,-0.0067575,0,0,0
0,-0.00078116,-0.11918219,0,0
0,-0.01537158,-0.0164481,-0.00618086,-0.00314198
0,-0.00159062,0,-0.01954015,0
0.04210346,0,0,0,0
0,0,0,0,0.00066114
0,0,-0.00440594,0,0
-0.05931551,0,-0.00317897,0,0.06833151
0,0,-0.00215316,0,0
-0.00950728,0,-0.00600022,-0.01404563,0
0,0,0,0,0
0,0,0,0,0
0,0,0.00108727,0,0
0,-0.00018159,0.00079627,0,-0.02806443
0,0,0.01589385,0,0
0,0,0.04087687,0.01059514,0
0.04463123,0,0.06693726,0.01083527,0
0,-0.0032377,0,0,0
0,0,0,0,0
-0.04430055,-0.0057815,-0.0454808,-0.0015209,0
0,-0.00019929,-0.0047713,0,0
0,0,0,0,0.00320539
-0.00336737,0,0,0.00605871,0.03387084
0,0.00119763,0.00183579,0,0
0,0.00375214,0.04578113,0,0
0,0,0,-0.00762688,-0.05189305
0,0,0,0,-0.00186532
0,0,0,0,0
0,0,-0.0622166,-0.01191917,0
0,0,-0.00301758,-0.00130547,0
0,0,0,0,0.00252856
0,0,0,0,0
-0.00067269,0,0,0,0
0,0,0,0,0
0,0,0,-0.00707503,0.00890442
0,0,0,0,0
-0.01964466,0,0,0,0
-0.00688674,0,0.04127381,0,0.01673943
0,0,0.02268567,0,0
0,0,0.00730781,0.00185096,0
0,0.00141584,0.04034563,0,-0.00696006
0,0,0.00570455,0.00025459,-0.00982852
0,0,0,0,-0.00234953
0,0,0,0,0
0.00063629,0,-0.0578304,0.00236853,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,-0.04041255,0,0.03082351
0,0.0058545,0,-0.00602302,0
0,0,0,0,0
0,0,0.01990339,0,0
0,0,0.07383369,0,0
0.02621834,0.01346513,0,0,-0.01461281
0,0.00567362,0.03196851,0,-0.00638122
0,0,0.02438805,0,0
0,0,0,0.01056251,0
0,-0.02316742,0,0,0.00653416
0,0,-0.03778153,0,0
0,0,-0.10657336,0,0
0,0,-0.0004808,0,0
0,0,0,0.00041834,0
-0.03045493,0,0,0.00249968,0
0,0,0.02458805,0,0
0,0,0,0.0103854,-0.04819977
0.02922442,0,0.00972153,0,0
0.00292258,0,0.00340538,0,0
0,0,0,-0.00198499,0
0,-0.00151676,0,0,0
-0.01304433,0,-0.08605839,0,0.00852469
0,0,-0.01817877,0,0.01432646
0,0.00260977,0,-0.00314259,0.01421251
0,0,0,0,0
0.03040904,0,0.02621798,0,0
0,0,0,0,0
