aesthetics,memory,quality,anomaly,frame
4.963789483,0.784,5.011119314,0.281788212,1
4.906897372,0.785,4.93652558,0.269893025,2
5.018878206,0.784,5.076666553,0.300309019,3
4.917446951,0.784,5.06204604,0.310233041,4
4.944038423,0.785,4.846224066,0.320835814,5
4.928518063,0.787,4.789953422,0.377122793,6
4.874743451,0.796,4.78392975,0.283618425,7
4.715993678,0.778,5.014060821,0.359412674,8
4.741759584,0.794,5.044526286,0.446965096,9
4.80779701,0.806,5.160235107,0.456648773,10
4.656228103,0.787,5.48975037,0.47912787,11
4.696914732,0.784,5.195029352,0.528477061,12
4.76292912,0.797,5.513986848,0.580980179,13
4.7835382,0.765,5.234914199,0.617751597,14
4.643056478,0.741,5.465444162,0.652075408,15
4.655747955,0.763,5.728582859,0.58351101,16
4.570534422,0.767,5.400746126,0.538572507,17
4.691090127,0.774,5.543418474,0.595095375,18
4.650924299,0.781,5.432311345,0.586701937,19
4.8800023,0.768,5.741188336,0.603911051,20
4.750283763,0.76,5.721983984,0.532612995,21
4.788591158,0.763,5.561326243,0.540360641,22
4.799104463,0.798,5.311649978,0.573038826,23
5.041256919,0.795,5.638476893,0.567957057,24
4.88999642,0.799,5.383202322,0.486353886,25
4.815752538,0.794,5.537601423,0.58296575,26
4.89239659,0.783,5.79076241,0.73487844,27
4.953761598,0.779,5.899541333,0.820399171,28
4.527620127,0.794,5.5319915,0.775183633,29
4.501420069,0.762,5.653336726,0.796597188,30
4.542275372,0.714,5.731882893,0.920043492,31
4.558235495,0.734,6.243673407,0.791930712,32
4.789932604,0.735,6.270825163,0.711883103,33
4.76065811,0.743,6.042106196,0.559364211,34
4.743309377,0.706,6.208455976,0.775659142,35
4.735746499,0.747,6.156226952,0.844156587,36
4.562640815,0.757,6.092169844,0.699251021,37
4.720492968,0.739,6.01143197,0.50853605,38
4.392090365,0.715,6.216358975,0.576517981,39
4.661368311,0.716,6.421338379,0.382190571,40
4.639301325,0.721,6.17597656,0.379523658,41
4.846069098,0.716,6.263803307,0.298577163,42
4.767021644,0.718,6.206155591,0.297811145,43
4.62252783,0.706,6.171181597,0.354260739,44
4.463114176,0.712,6.297172129,0.188981043,45
4.547378878,0.745,5.94993417,0.369462621,46
4.622640549,0.728,6.294358902,0.434531593,47
4.699163123,0.735,6.121838391,0.352868103,48
4.429563512,0.742,6.130512081,0.306851413,49
4.470702497,0.723,5.73161497,0.824341812,50
4.631487137,0.708,6.218165804,1,51
4.473296099,0.702,6.253110312,0.60219412,52
4.523495112,0.704,6.272885177,0.210375113,53
4.533547836,0.726,6.01227871,0.334858977,54
4.629533879,0.712,6.060258128,0.435154895,55
4.515258663,0.716,6.183841903,0.350123458,56
4.637335055,0.728,6.195546705,0.277657668,57
4.581089748,0.718,6.209016345,0.239036346,58
4.602785814,0.716,6.097206011,0.238875597,59
4.401555554,0.714,6.182743423,0.204230393,60
4.637176784,0.715,6.109173525,0.147093031,61
4.574191007,0.707,6.227337878,0.205555662,62
4.606649028,0.725,6.345932558,0.268987609,63
4.654569815,0.725,6.28822808,0.22416104,64
4.644565004,0.713,6.320972331,0.161482672,65
4.604375381,0.727,6.206203163,0.212831737,66
4.718612744,0.723,6.282256965,0.235349804,67
4.750844363,0.728,6.166078895,0.253309493,68
4.696531084,0.739,6.372511059,0.361034877,69
4.569126824,0.731,6.020295762,0.479281675,70
4.485713171,0.716,5.850671045,0.449087475,71
4.510275355,0.718,5.95281104,0.396984415,72
4.338695947,0.722,6.015425079,0.297359785,73
4.374611145,0.72,6.340206254,0.249317933,74
4.378956441,0.719,6.249214858,0.365909673,75
4.495031622,0.737,6.185495127,0.344922915,76
4.502511292,0.723,6.188703455,0.288586499,77
4.585964258,0.714,6.338200778,0.178970479,78
4.50158906,0.71,6.176328786,0.325322782,79
4.263889562,0.727,6.263755508,0.342152153,80
4.359539657,0.719,6.226608735,0.15088933,81
4.470627236,0.702,6.323268354,0.074979313,82
4.4787441,0.708,6.318132408,0.149682835,83
4.311173251,0.713,6.282811217,0.127203945,84
4.320600831,0.707,6.203225374,0.125062185,85
4.269153096,0.693,6.181257702,0.100735567,86
4.335402717,0.698,6.252772529,0.093532663,87
4.317653022,0.711,6.208340984,0.151710692,88
4.383267022,0.697,6.35968294,0.314235794,89
4.292315371,0.718,6.314605031,0.49404256,90
4.506461239,0.722,6.399881169,0.214581212,91
4.501534748,0.727,6.34264981,0.14250978,92
4.535368334,0.737,6.343726233,0.099481086,93
4.487316603,0.726,6.162626218,0.234310379,94
4.543647598,0.732,6.126814887,0.138288238,95
4.563314288,0.726,6.129945688,0.140577791,96
4.439350879,0.724,6.141896021,0.16424763,97
4.396005692,0.723,6.100475483,0.14278754,98
4.413181582,0.728,6.141587883,0.162521786,99
4.438081764,0.721,6.061183892,0.099983438,100
4.515046492,0.725,6.192330919,0.093567901,101
4.446740497,0.723,6.190022603,0.160710436,102
4.472873931,0.72,6.169362295,0.11902805,103
4.413926209,0.728,6.099957019,0.030093046,104
4.55544977,0.726,6.085284915,0.04993311,105
4.477528487,0.721,6.07170403,0.053946849,106
4.486000297,0.706,6.21753294,0.111480122,107
4.446248237,0.706,6.065386344,0.268655852,108
4.524467179,0.705,6.018193208,0.23356395,109
4.533092073,0.716,6.098271023,0.129863499,110
4.540935884,0.712,6.076706588,0.037890336,111
4.541946017,0.716,6.051257379,0.026148435,112
4.578630068,0.712,6.048526973,0.042611328,113
4.436841633,0.719,6.128007911,0.044205029,114
4.497967049,0.715,6.098613039,0.030268719,115
4.481962297,0.718,6.0133017,0.056017096,116
4.542411462,0.72,6.028381057,0.047951684,117
4.436113618,0.714,6.172461275,0.080997694,118
4.549297232,0.713,6.085902937,0.042039225,119
4.437035076,0.714,6.140202805,0.06494543,120
4.55152985,0.708,6.152566876,0.053197,121
4.509625857,0.721,6.209406234,0.086050858,122
4.472305476,0.713,6.15154583,0.108568718,123
4.522825305,0.716,6.085161451,0.101842152,124
4.486604461,0.71,6.069144033,0.059766963,125
4.525878246,0.719,6.081292,0.075245776,126
4.531579692,0.708,6.081896953,0.032104631,127
4.57243842,0.715,6.002735592,0.116645531,128
4.58460243,0.718,6.146518994,0.223481771,129
4.603643379,0.714,6.0943719,0.159119533,130
4.593976105,0.716,6.038769856,0.158869652,131
4.540438169,0.709,6.02791965,0.21539107,132
4.52099014,0.7,6.02944449,0.15271861,133
4.423671931,0.704,6.106421664,0.090998411,134
4.51169472,0.703,6.07875317,0.097755137,135
4.54532433,0.693,5.994378209,0.121417618,136
4.53876843,0.699,5.966737606,0.128180459,137
4.479833849,0.705,6.131127194,0.122635928,138
4.497468841,0.709,6.145194612,0.1029164,139
4.558997015,0.711,6.084687516,0.096763595,140
4.531664633,0.707,5.989056785,0.118512639,141
4.598217188,0.706,5.943560231,0.114476824,142
4.601257728,0.723,5.834182054,0.188718725,143
4.625823495,0.726,5.919185027,0.170867549,144
4.54910015,0.716,5.96973747,0.149342475,145
4.591968625,0.717,5.936803631,0.066337652,146
4.558824427,0.717,5.95404299,0.008198074,147
4.608288681,0.719,5.962741673,0.010773782,148
4.601551291,0.719,5.927053168,0.025513732,149
4.587515436,0.716,5.949667651,0,150
4.591235482,0.718,5.99546412,0.01645854,151
4.572851069,0.719,5.849734422,0.021972289,152
4.604169456,0.718,6.010341626,0.002262503,153
4.55960621,0.717,5.855519768,0.001754243,154
4.53315854,0.712,5.916459933,0.039266182,155
4.572734507,0.713,5.904898584,0.02342597,156
4.596448017,0.711,5.86532753,0.028735751,157
4.623934548,0.714,5.918318827,0.0374112,158
4.536846144,0.716,5.83414549,0.104297843,159
4.377011003,0.722,5.757108778,0.446345006,160
4.216207606,0.722,5.602937162,0.776130298,161
4.270894517,0.724,5.349988863,0.727283044,162
4.90156086,0.799,4.799405623,0.651138589,163
4.434944512,0.726,5.181312174,0.658354345,164
4.461190715,0.71,4.975301243,0.581927258,165
4.386573722,0.744,4.884651989,0.803013139,166
4.706085506,0.763,4.926836196,0.670819148,167
4.606801645,0.73,4.908291474,0.748370646,168
4.407267696,0.676,4.726333071,0.480401525,169
4.19758698,0.675,4.356000785,0.475882739,170
4.629305546,0.729,4.999566741,0.611753011,171
4.549346482,0.733,4.837876238,0.221516617,172
4.557938285,0.729,4.926841378,0.057096215,173
4.59633205,0.719,4.882733218,0.087012344,174
4.562501307,0.732,4.933243543,0.09510149,175
4.527523019,0.736,4.922452744,0.09563421,176
4.558207586,0.734,4.886295676,0.088490796,177
4.602671238,0.735,5.032042656,0.078424059,178
4.588270891,0.736,4.954660192,0.07450681,179
4.572443738,0.731,5.018652283,0.075093319,180
4.536372042,0.733,4.922809094,0.076310697,181
4.578753573,0.73,4.927234955,0.076188503,182
4.578753573,0.73,4.927234955,0.076188503,183
