aesthetics,memory,quality,anomaly
0.290434345,0.19506043,0.549780688,0.0322624609
0.452773664,0.257716352,0.632544372,0.0401569485
0.507271554,0.264098996,0.637108616,0.0349747701
0.445200994,0.255644541,0.697599918,0.0394169735
0.442876636,0.300040105,0.670201703,0.041138974
0.368861136,0.269822326,0.620956942,0.030166962
0.404854384,0.292223902,0.625420011,0.04940163
0.445398642,0.311741847,0.616964052,0.073792387
0.463275142,0.243815136,0.597719957,0.053382683
0.453862629,0.289659011,0.64615278,0.02700756
0.458570158,0.320329384,0.54980564,0.015088251
0.430559003,0.333407529,0.634824368,0.021735795
0.477485385,0.333544084,0.594028613,0.015460319
0.454374296,0.36027995,0.632071226,0.023426003
0.413083171,0.316980564,0.585745508,0.023305558
0.516429547,0.294054503,0.647955592,0.034108661
0.408313733,0.320044264,0.679072664,0.016417124
0.452830474,0.272431462,0.689585688,0.051327958
0.34560882,0.265087787,0.738925754,0.030977483
0.394580448,0.29284543,0.758611534,0.060474244
0.474245768,0.372044833,0.850639164,0.042866581
0.483664797,0.387228413,0.802503311,0.057312457
0.477034777,0.341172997,0.713044126,0.080442316
0.467104959,0.335157896,0.736065852,0.066059644
0.465179116,0.327190111,0.719580772,0.056075807
0.530265407,0.341238485,0.705454015,0.084307694
0.515773846,0.386644557,0.682791441,0.060793046
0.521043698,0.384529631,0.624770592,0.100210044
0.500569154,0.40014722,0.591003887,0.106832147
0.62556779,0.374653548,0.556288671,0.089298023
0.611876298,0.411760082,0.650920798,0.084579193
0.75726356,0.396618577,0.688613113,0.075064019
0.635407083,0.355761548,0.695708731,0.089292855
0.674779097,0.34120151,0.650523814,0.081928603
0.65628708,0.385497779,0.59688362,0.085399652
0.636823712,0.448521585,0.613399996,0.105696861
0.691270665,0.445131604,0.503410152,0.077472526
0.686301752,0.401348382,0.502227006,0.115123391
0.65272924,0.40274998,0.521947351,0.136626643
0.564988906,0.473899765,0.537497608,0.126205943
0.585080114,0.4410039,0.563415447,0.131617234
0.640256644,0.370552653,0.473441394,0.140844214
0.51114358,0.386714479,0.53701842,0.113725351
0.46771821,0.432981972,0.562799364,0.121236682
0.542208662,0.48996566,0.529369935,0.10891907
0.601459577,0.426412478,0.508714514,0.153160237
0.615284676,0.486535662,0.53457675,0.163503422
0.558071023,0.579278033,0.508991666,0.226789645
0.506407889,0.609139332,0.484222579,0.195165415
0.552557871,0.432306931,0.60043267,0.169587298
0.764460996,0.463534334,0.526536063,0.143662553
0.665086598,0.48664399,0.403733282,0.141509246
0.595952001,0.598360875,0.409839078,0.150040188
0.574942765,0.713864946,0.386278121,0.138975921
0.604639091,0.583122207,0.345445351,0.144341896
0.616577957,0.50494445,0.336041639,0.139167918
0.594807125,0.648914675,0.334543582,0.172986001
0.452223384,0.61754372,0.315244265,0.160485931
0.436229683,0.615176718,0.324768446,0.168039795
0.276237339,0.611863119,0.411407964,0.198431747
0.375922285,0.5036105,0.462811805,0.22170948
0.292521778,0.436143207,0.439406244,0.218940829
0.432799216,0.369127598,0.392395215,0.2573088
0.43593418,0.279012993,0.398472439,0.227188347
0.442622279,0.276832113,0.57540182,0.277623898
0.403307562,0.22761722,0.815415304,0.286559901
0.398131496,0.22462705,0.874118864,0.239002316
0.247229164,0.19257562,0.775485063,0.202240679
0.342940944,0.162554774,0.797792231,0.190424325
0.415315858,0.19819814,0.867235949,0.205039938
0.308639262,0.26722429,0.740343369,0.204950498
0.353294058,0.270909118,0.645619526,0.18701171
0.38200293,0.265326138,0.622725652,0.15913122
0.460997972,0.330491076,0.659503804,0.220896176
0.482335472,0.345578326,0.718938738,0.209959907
0.440418586,0.380600596,0.73823526,0.198051729
0.387990568,0.322131097,0.683453112,0.188928498
0.344832531,0.327005107,0.641866016,0.214192981
0.318216897,0.352910267,0.5553273,0.236497214
0.184277541,0.48383238,0.345880486,0.22558082
0.199224334,0.322934476,0.603484682,0.29739719
0.132486244,0.181132343,0.633228777,0.255794688
0.090403197,0.167623826,0.66151523,0.235745922
0.146684747,0.170953669,0.641279773,0.223374645
0.244321167,0.137029201,0.621042145,0.169573385
0.262299398,0.129972687,0.652963524,0.21448197
0.435494592,0.184843031,0.603491664,0.228686559
0.30426006,0.148064077,0.622911306,0.223382993
0.357131674,0.14106403,0.595771829,0.204157468
0.337494324,0.07520526,0.559580404,0.214572602
0.341343143,0.11640309,0.559740737,0.195400343
0.225034521,0.145656666,0.581418728,0.285641655
0.271336695,0.112332634,0.600434155,0.194243592
0.20791907,0.14601565,0.587991344,0.221089366
0.263839914,0.068461323,0.697070786,0.17757405
0.372919711,0.0587318,0.640643276,0.231187685
0.321036384,0.05817177,0.525032314,0.290798938
0.362327144,0.099859418,0.483777624,0.23961289
0.323288508,0.103025131,0.392178844,0.209454276
0.28968645,0.132311323,0.425655585,0.207093867
0.278264034,0.130767272,0.434952411,0.215628784
0.301042639,0.081386284,0.495167048,0.211128186
0.224303442,0.189394956,0.494190158,0.24081138
0.285306776,0.280649598,0.451319029,0.262047506
0.265729428,0.212006614,0.40463094,0.222223856
0.312996034,0.209295318,0.431134841,0.200121558
0.189562606,0.15037653,0.451052892,0.203192316
0.248759237,0.235254362,0.347039752,0.232231942
0.479040932,0.161166722,0.259644366,0.216610234
0.640997192,0.19414248,0.266246136,0.232613153
0.573527609,0.215728154,0.337053443,0.227984955
0.442346788,0.220376326,0.366188016,0.222909162
0.443761311,0.192614915,0.245554573,0.213254462
0.360062282,0.149948377,0.229631764,0.228824494
0.49414835,0.187187532,0.125542727,0.230605335
0.368314292,0.237438115,0.113335901,0.247596462
0.551487234,0.342623551,0.10908022,0.25366404
0.538730028,0.219040304,0.126620463,0.231787527
0.531985099,0.179413863,0.148576766,0.234108184
0.530359676,0.17797219,0.32016435,0.253734001
0.432884466,0.236054728,0.415452682,0.21525433
0.454775963,0.245838498,0.28068925,0.266096135
0.499590776,0.167366698,0.244439808,0.270163845
0.414479388,0.088323366,0.408927993,0.245893533
0.303203756,0.107942708,0.241099249,0.260768321
