aesthetics,memory,quality,anomaly
0.365230587,0.106557377,0,0.198999149
0.266520314,0.073770492,0.255765187,0.193792013
0.255340808,0.106557377,0.427224435,0.193396854
0.555888532,0.040983607,0.483678414,0.178215179
0.383255686,0.139344262,0.373824101,0.187771005
0.181709704,0.163934426,0.255142525,0.134066008
0.212607202,0.073770492,0.363157956,0.105951509
0.350784953,0.221311475,0.278138108,0.118644659
0.299639404,0.18852459,0.375136882,0.129412629
0.344748464,0.237704918,0.306734122,0.147379294
0.389174834,0.221311475,0.486457562,0.239294796
0.484900807,0.032786885,0.873897395,0.42278135
0.258839351,0.139344262,0.679462267,0.590021248
0.29956782,0.180327869,0.809431641,0.538377887
0.482526468,0.229508197,0.806120802,0.500560108
1,0.024590164,0.407721932,0.611508619
0.26048993,0.114754098,0.495065278,0.516444697
0.553099208,0.016393443,0.592358278,0.495329563
0.252689211,0,0.421712642,0.422513401
0.305986696,0.131147541,0.707357695,0.362490639
0.207069283,0.147540984,0.553320455,0.268472476
0.360527603,0.147540984,0.456900747,0.157896883
0.188845632,0.303278689,0.58243314,0.147385134
0.392623476,0.295081967,0.532832661,0.121942139
0.666821828,0.303278689,0.570284114,0.076541065
0.5456515,0.270491803,0.598704864,0.093704567
0.195179209,0.229508197,0.679738153,0.107518419
0.408888229,0.221311475,0.710819984,0.122628703
0.252805261,0.196721311,0.66988074,0.209968981
0.21471115,0.196721311,0.529325336,0.164838337
0.163384174,0.204918033,0.66347534,0.078874203
0.165413555,0.163934426,0.524885124,0.075310429
0.199570997,0.18852459,0.521916819,0.028305509
0.120395754,0.147540984,0.696912189,0.023957403
0.078454524,0.131147541,0.59009488,0.034210304
0.171113951,0.180327869,0.587925967,0.040938606
0.260467284,0.147540984,0.554380829,0.051007165
0.125236431,0.163934426,0.653878157,0.064851092
0.218695237,0.180327869,0.471847485,0.041228405
0.194889698,0.204918033,0.471502965,0.073464232
0.233713149,0.18852459,0.472680487,0.051378429
0.220970825,0.221311475,0.596663816,0.041184704
0.254144422,0.221311475,0.589306747,0.044155984
0.214695174,0.237704918,0.676576373,0.04120855
0.246771683,0.237704918,0.728409249,0.036793823
0.159433861,0.254098361,0.537108595,0.036414529
0.304926619,0.254098361,0.633337359,0.033518874
0.325097909,0.278688525,0.627611879,0.032536867
0.105635981,0.270491803,0.519773851,0.031290804
0.199426509,0.245901639,0.582082108,0.03265741
0.095530988,0.254098361,0.462208193,0.044618105
0.066334143,0.237704918,0.715067769,0.029483246
0.132179488,0.254098361,0.605251346,0.036111007
0.220155247,0.262295082,0.67273331,0.031150649
0.147357308,0.245901639,0.62338023,0.032951199
0.216098486,0.245901639,0.595246859,0.02631867
0.249330132,0.286885246,0.588969724,0.03339293
0.171117765,0.237704918,0.732850731,0.027333039
0.187128408,0.229508197,0.57592298,0.026550168
0.208189195,0.245901639,0.422426263,0.037832574
0.201165476,0.254098361,0.644198977,0.023741818
0.228387964,0.229508197,0.547932609,0.027857744
0.231404424,0.245901639,0.500533654,0.025668508
0.310507893,0.221311475,0.5673963,0.017869141
0.187889263,0.204918033,0.378231623,0.013787622
0.256761017,0.245901639,0.568924232,0.018006668
0.269050898,0.221311475,0.508104953,0.009651793
0.251695456,0.213114754,0.490469132,0.022616979
0.179071272,0.221311475,0.500411212,0.022998609
0.27291723,0.221311475,0.573349214,0
0.247721662,0.229508197,0.551367576,0.020835214
0.330523039,0.213114754,0.460163073,0.004571817
0.231099458,0.278688525,0.544530615,0.008989513
0.353125956,0.254098361,0.453266478,0.024789669
0.198102062,0.229508197,0.618254118,0.018430685
0.013142754,0.229508197,0.524660865,0.041675879
0.099577486,0.237704918,0.529767107,0.038034095
0.214493328,0.270491803,0.532645412,0.040977879
0.22728009,0.286885246,0.592884626,0.03425201
0.253407004,0.286885246,0.540067716,0.034726492
0.252127254,0.295081967,0.577899661,0.029822489
0.1529638,0.286885246,0.534602532,0.03040014
0.126711965,0.31147541,0.56543844,0.02577411
0.245031869,0.278688525,0.578919744,0.037255117
0.205863697,0.31147541,0.439651889,0.033866049
0.284296847,0.286885246,0.504882348,0.029111398
0.17377084,0.319672131,0.5312452,0.034428809
0.285492737,0.295081967,0.538937567,0.027432072
0.254645361,0.31147541,0.52637008,0.034320871
0.231730574,0.303278689,0.584709692,0.028877466
0.212327408,0.31147541,0.50650085,0.029090716
0.350679429,0.303278689,0.531504885,0.025666804
0.13203633,0.303278689,0.529114543,0.032375543
0.188431636,0.31147541,0.601568123,0.02820341
0.182976534,0.295081967,0.616520685,0.023507546
0.178223939,0.278688525,0.695352216,0.024128947
0.233988071,0.319672131,0.593935622,0.020043194
0.213856599,0.295081967,0.666061208,0.012914916
0.159542761,0.295081967,0.716737822,0.019265968
0.153272847,0.270491803,0.586957525,0.01472734
0.127036594,0.295081967,0.351365099,0.012326996
0.136961989,0.270491803,0.504182307,0.016129666
0.23991284,0.286885246,0.470021795,0.009627363
0.278397217,0.254098361,0.613478415,0.003287796
0.270951937,0.245901639,0.565019785,0.016552904
0.185556182,0.254098361,0.462399269,0.007272715
0.220878807,0.295081967,0.494181166,0.018851003
0,0.303278689,0.532869475,0.022113444
0.130165049,0.31147541,0.514758622,0.031209436
0.281879938,0.31147541,0.446649508,0.043374232
0.213237427,0.327868852,0.578109143,0.040731635
0.246869173,0.31147541,0.685308865,0.033442227
0.193334204,0.319672131,0.509113737,0.034633688
0.16343261,0.319672131,0.562540184,0.033051741
0.10253292,0.319672131,0.473038784,0.034027276
0.096323043,0.327868852,0.492958476,0.038248415
0.20846134,0.31147541,0.366057094,0.036257293
0.11676565,0.327868852,0.515353046,0.036299534
0.082111639,0.319672131,0.541459949,0.032641545
0.143226388,0.319672131,0.534933885,0.033446705
0.221338652,0.31147541,0.569077313,0.037112383
0.145566448,0.319672131,0.484055351,0.02916892
0.193794134,0.286885246,0.550941789,0.03349172
0.32290509,0.278688525,0.596142943,0.032270622
0.293206716,0.295081967,0.494096303,0.029601502
0.154089579,0.278688525,0.389748763,0.034928451
0.174998175,0.270491803,0.53118409,0.02803391
0.196258755,0.295081967,0.348368139,0.030883431
0.200811337,0.278688525,0.549393373,0.021411892
0.15423267,0.286885246,0.571725523,0.026842303
0.196947142,0.278688525,0.488187818,0.020284523
0.216864872,0.270491803,0.544985488,0.015095635
0.209262368,0.31147541,0.580900914,0.016748196
0.217564477,0.278688525,0.595998163,0.012431869
0.214664068,0.254098361,0.3684664,0.014182391
0.216110611,0.237704918,0.376092118,0.013291192
0.337543923,0.278688525,0.436685504,0.01033568
0.262520031,0.237704918,0.571064282,0.011318223
0.369255508,0.295081967,0.486209981,0.008313705
0.283360912,0.303278689,0.545238958,0.016115018
0.179302434,0.295081967,0.505371635,0.0263613
0.143887603,0.303278689,0.529147465,0.022599265
0.211100566,0.278688525,0.349422598,0.04800581
0.237010194,0.344262295,0.611882445,0.042769329
0.302350383,0.327868852,0.500815702,0.036867112
0.259880299,0.286885246,0.61044673,0.036062536
0.245215526,0.319672131,0.448047188,0.034864068
0.222364994,0.303278689,0.566723279,0.031355042
0.171887331,0.31147541,0.420316141,0.025517452
0.199753632,0.31147541,0.368096508,0.03508851
0.102592012,0.31147541,0.434430213,0.039178935
0.241965732,0.336065574,0.440894596,0.031014047
0.385470459,0.295081967,0.514608292,0.03152167
0.227139746,0.286885246,0.389492192,0.034274201
0.401333114,0.336065574,0.511512357,0.030763229
0.278841751,0.327868852,0.572087893,0.030807514
0.277458782,0.352459016,0.509081009,0.031135806
0.282057264,0.319672131,0.490951232,0.030322423
0.260136262,0.31147541,0.574625154,0.028566547
0.399895182,0.31147541,0.426440179,0.039685633
0.267744288,0.295081967,0.511597841,0.035828945
0.423007157,0.254098361,0.696152894,0.061076113
0.209670323,0.221311475,0.818557778,0.091687166
0.303961234,0.278688525,0.826214187,0.088550231
0.20094942,0.270491803,0.57344147,0.103804465
0.160426667,0.180327869,0.413148007,0.179031824
0.257438925,0.327868852,0.300488172,0.197912804
0.378246204,0.303278689,0.459910134,0.133678636
0.276384909,0.221311475,0.425410135,0.124374602
0.342577832,0.221311475,0.324877495,0.07790188
0.380030067,0.262295082,0.400316165,0.103667669
0.470837505,0.319672131,0.493051573,0.096966814
0.378579018,0.278688525,0.360162877,0.084880368
0.240442008,0.336065574,0.377431724,0.147616827
0.201734279,0.213114754,0.526844826,0.211610056
0.136379516,0.278688525,0.428706162,0.205370008
0.652200689,0.204918033,0.513317263,0.278287247
0.289511396,0.303278689,0.266135093,0.506658687
0.301073392,0.737704918,0.543537669,0.830848402
0.247120488,1,1,0.975438423
0.387061968,0.237704918,0.708681281,1
0.385487656,0.286885246,0.541265553,0.631254909
0.385487656,0.286885246,0.541265553,0.631254909
0.385487656,0.286885246,0.541265553,0.631254909
0.385487656,0.286885246,0.541265553,0.631254909
0.385487656,0.286885246,0.541265553,0.631254909
0.385487656,0.286885246,0.541265553,0.631254909
0.385487656,0.286885246,0.541265553,0.631254909
0.385487656,0.286885246,0.541265553,0.631254909
0.385487656,0.286885246,0.541265553,0.631254909
0.385487656,0.286885246,0.541265553,0.631254909
0.385487656,0.286885246,0.541265553,0.631254909
