aesthetics,memory,quality,anomaly
0.90817803,0.832061069,0.317196826,0.281788212
0.840743944,0.839694656,0.281079857,0.269893025
0.973474564,0.832061069,0.348933642,0.300309019
0.853248335,0.832061069,0.341854647,0.310233041
0.884767145,0.839694656,0.237357458,0.320835814
0.866370898,0.854961832,0.210112206,0.377122793
0.802631977,0.923664122,0.20719565,0.283618425
0.614466243,0.786259542,0.318621052,0.359412674
0.645006511,0.908396947,0.333371892,0.446965096
0.723280517,1,0.38939606,0.456648773
0.543626247,0.854961832,0.548941533,0.47912787
0.591852013,0.832061069,0.406242819,0.528477061
0.670098713,0.93129771,0.560676408,0.580980179
0.694526607,0.687022901,0.425554358,0.617751597
0.528013951,0.503816794,0.537172896,0.652075408
0.543057129,0.671755725,0.664580008,0.58351101
0.442053728,0.702290076,0.505847249,0.538572507
0.584948123,0.755725191,0.574926681,0.595095375
0.537339661,0.809160305,0.521130571,0.586701937
0.808865278,0.709923664,0.670683357,0.603911051
0.655110201,0.648854962,0.661384949,0.532612995
0.700515866,0.671755725,0.583597307,0.540360641
0.712977262,0.938931298,0.462708468,0.573038826
1,0.916030534,0.62095229,0.567957057
0.820711285,0.946564885,0.497352849,0.486353886
0.732710186,0.908396947,0.572110168,0.58296575
0.823556201,0.824427481,0.694686248,0.73487844
0.896292001,0.79389313,0.747355083,0.820399171
0.391187515,0.908396947,0.569393942,0.775183633
0.360132648,0.664122137,0.628147158,0.796597188
0.408558343,0.297709924,0.666177826,0.920043492
0.427475839,0.450381679,0.913977757,0.791930712
0.702105879,0.458015267,0.927124158,0.711883103
0.66740689,0.519083969,0.816382472,0.559364211
0.646843477,0.236641221,0.896926099,0.775659142
0.637879216,0.549618321,0.871637728,0.844156587
0.432697454,0.625954198,0.840622407,0.699251021
0.619799241,0.488549618,0.801530554,0.50853605
0.230544406,0.305343511,0.900752591,0.576517981
0.549718924,0.312977099,1,0.382190571
0.523562977,0.351145038,0.881200139,0.379523658
0.768644334,0.312977099,0.923724299,0.298577163
0.674949572,0.328244275,0.895812293,0.297811145
0.503681393,0.236641221,0.878878503,0.354260739
0.314728763,0.282442748,0.939880894,0.188981043
0.414607516,0.534351145,0.771754405,0.369462621
0.503814998,0.404580153,0.938518779,0.434531593
0.594517026,0.458015267,0.854987393,0.352868103
0.274961239,0.511450382,0.859187041,0.306851413
0.323723182,0.366412214,0.666048102,0.824341812
0.514300838,0.251908397,0.901627426,1
0.326797372,0.20610687,0.91854694,0.60219412
0.386298144,0.221374046,0.92812158,0.210375113
0.398213615,0.389312977,0.80194053,0.334858977
0.511985646,0.282442748,0.825171317,0.435154895
0.376535501,0.312977099,0.885008399,0.350123458
0.521232362,0.404580153,0.890675658,0.277657668
0.454564931,0.328244275,0.89719742,0.239036346
0.480281228,0.312977099,0.84306083,0.238875597
0.241763472,0.297709924,0.884476535,0.204230393
0.521044764,0.305343511,0.848855289,0.147093031
0.44638787,0.244274809,0.906068382,0.205555662
0.484860286,0.381679389,0.963489833,0.268987609
0.541660683,0.381679389,0.935550343,0.22416104
0.529802004,0.290076336,0.951404531,0.161482672
0.482165338,0.396946565,0.895835327,0.212831737
0.617570616,0.366412214,0.932659235,0.235349804
0.655774678,0.404580153,0.876407864,0.253309493
0.591397276,0.488549618,0.976358674,0.361034877
0.440385306,0.427480916,0.805822245,0.479281675
0.341515298,0.312977099,0.723692952,0.449087475
0.370628798,0.328244275,0.773147334,0.396984415
0.167256128,0.358778626,0.803463946,0.297359785
0.209826328,0.34351145,0.960717257,0.249317933
0.214976797,0.335877863,0.91666083,0.365909673
0.352560437,0.473282443,0.885808861,0.344922915
0.361426072,0.366412214,0.887362277,0.288586499
0.460342677,0.297709924,0.959746241,0.178970479
0.360332952,0.267175573,0.881370681,0.325322782
0.078588295,0.396946565,0.923701156,0.342152153
0.191962128,0.335877863,0.905715344,0.15088933
0.323633975,0.20610687,0.952516225,0.074979313
0.333254875,0.251908397,0.950029491,0.149682835
0.134633541,0.290076336,0.932927594,0.127203945
0.145808029,0.244274809,0.894393534,0.125062185
0.084827149,0.13740458,0.883757175,0.100735567
0.16335267,0.175572519,0.918383391,0.093532663
0.142313998,0.27480916,0.896870422,0.151710692
0.220086118,0.167938931,0.970147525,0.314235794
0.11228134,0.328244275,0.948321597,0.49404256
0.366107935,0.358778626,0.989610798,0.214581212
0.360268577,0.396946565,0.961900384,0.14250978
