aesthetics,memory,quality,anomaly
0.507830018,0.488636364,0.504346995,0.771217378
0.615064131,0.670454545,0.501228596,0.490933336
0.736787222,0.715909091,0.551487873,0.49892437
0.867563987,0.761363636,0.513899986,0.559046187
0.740181118,0.920454545,0.616949521,0.576281803
0.779038883,0.579545455,0.322248717,0.72821903
0.733668089,0.420454545,0.59746018,0.706167802
0.68664938,0.681818182,0.798137706,0.798925502
0.789590734,0.613636364,0.782515718,0.875458761
0.80146908,0.340909091,0.764358469,0.868389219
0.872062265,0.306818182,0.750170295,0.864354257
0.856893443,0.272727273,0.783212201,0.892385575
1,0.420454545,0.602170211,0.916835086
0.886197615,0.295454545,0.59364669,0.871741025
0.756137133,0.431818182,0.572951589,0.887989335
0.866945362,0.375,0.651836601,0.889306241
0.736062999,0.147727273,0.591806468,0.897628279
0.722689797,0.272727273,0.622863522,0.745884635
0.78516655,0.170454545,0.665498185,0.809256201
0.558612092,0.306818182,0.772199802,0.880525608
0.729147336,0.295454545,0.876203861,0.937595821
0.612803552,0.090909091,0.81516606,0.957509653
0.624851714,0.272727273,0.781622229,0.900574755
0.55388501,0.284090909,0.760382857,0.859758116
0.538412863,0.352272727,0.450388647,0.739523171
0.581433932,0.261363636,0.675306441,0.723113747
0.624768533,0.238636364,0.57409506,0.700201401
0.644328255,0.306818182,0.51666658,0.743842978
0.695539498,0.363636364,0.559036313,0.793285103
0.70601217,0.284090909,0.754631866,0.754190964
0.94592189,0.272727273,0.750285508,0.644608068
0.778408558,0.340909091,0.819550287,0.604841041
0.777304141,0.306818182,0.861925967,0.581024579
0.801242946,0.420454545,0.710835592,0.515560284
0.766937438,0.443181818,0.762993969,0.505336468
0.744765392,0.306818182,0.823526771,0.469450747
0.724295393,0.352272727,0.79921829,0.508027407
0.686201181,0.215909091,0.614359176,0.496959058
0.79520154,0.534090909,0.787752429,0.543742097
0.718393168,0.340909091,0.89031705,0.728729137
0.645620497,0.272727273,0.775883538,0.742919555
0.542272329,0.204545455,0.717707792,0.613469248
0.862722229,0.25,0.59557429,0.521803369
0.70532626,0.238636364,0.619555144,0.450790113
0.74053674,0.227272727,0.669202538,0.50356114
0.600137533,0.181818182,0.776240665,0.513311267
0.638086648,0.204545455,0.725098386,0.525350864
0.665534283,0.113636364,0.766351437,0.483563154
0.688417498,0.261363636,0.717805993,0.488750661
0.689073668,0.204545455,0.667699531,0.518345909
0.617405195,0.306818182,0.704401112,0.528273735
0.565458427,0.261363636,0.797211468,0.64248603
0.616184445,0.386363636,0.70352275,0.802022386
0.478253061,0.170454545,0.886569873,0.867109783
0.459086985,0.238636364,0.768245802,0.745605405
0.52719559,0.170454545,0.652718233,0.659042352
0.532826785,0,0.707803643,0.587285391
0.524489907,0.193181818,0.684740535,0.541052825
0.596328916,0.170454545,0.724842306,0.499293897
0.721880597,0.340909091,0.829724576,0.478157756
0.608164294,0.25,0.803066698,0.496106452
0.655364342,0.090909091,0.861209622,0.521811881
0.711798615,0.022727273,0.77055194,0.451281178
0.598138072,0.011363636,0.854981578,0.442211925
0.571013736,0.125,0.880381785,0.435668286
0.58618623,0.193181818,0.806772035,0.43197793
0.490007655,0.147727273,0.859276174,0.361152114
0.473640917,0.181818182,0.734234836,0.372509872
0.484440258,0.318181818,0.857663723,0.427502712
0.481781992,0.318181818,0.690181598,0.396645403
0.541547666,0.329545455,0.756306963,0.418967699
0.636063956,0.352272727,0.875325371,0.38013717
0.630053166,0.340909091,0.859457544,0.39276866
0.589478023,0.306818182,0.820531747,0.329228959
0.528735581,0.318181818,0.863920742,0.285028222
0.618524412,0.261363636,0.864353977,0.332927301
0.440326049,0.204545455,0.805727532,0.326313635
0.490002836,0.272727273,0.756889977,0.283527561
0.572775881,0.318181818,0.860104043,0.291821517
0.550598297,0.465909091,0.840611812,0.263338887
0.471041283,0.306818182,0.892461306,0.266902792
0.560162089,0.306818182,0.916746201,0.204350398
0.544685502,0.375,1,0.261064598
0.53037955,0.204545455,0.81533006,0.318442472
0.48393366,0.204545455,0.881867853,0.187751604
0.462566904,0.25,0.790145421,0.256634661
0.524562076,0.306818182,0.837250436,0.272311436
0.512705966,0.227272727,0.695748379,0.247263363
0.531994469,0.272727273,0.692186889,0.279338769
0.539500726,0.136363636,0.74237292,0.304375434
0.567074305,0.318181818,0.759261345,0.310393434
0.527007202,0.295454545,0.844223056,0.263787304
0.556553247,0.386363636,0.718013767,0.29617941
0.556140483,0.272727273,0.744722228,0.328301587
0.518189712,0.306818182,0.726811141,0.356731215
0.447467427,0.340909091,0.742133655,0.21590832
0.48327406,0.295454545,0.653500601,0.253903793
0.369940262,0.227272727,0.800501253,0.204137773
0.428556364,0.420454545,0.775990309,0.21398197
