aesthetics,memory,quality,anomaly
0.654426568,0.385658611,0.605249326,0.706923926
0.42650359,0.414125911,0.697309666,0.627723199
0.389079387,0.42555772,0.790196008,0.575996197
0.353416194,0.453510701,0.795200176,0.435358202
0.361035282,0.48440803,0.791857251,0.334590798
0.389557542,0.510363042,0.874145976,0.21676736
0.349904243,0.502789889,0.863754509,0.147982194
0.329242793,0.489719386,0.806875739,0.128684794
0.356014006,0.469766061,0.794242267,0.134101544
0.356947558,0.449821722,0.881546043,0.202130303
0.35367866,0.456782173,0.831635092,0.217554425
0.371930861,0.396826318,0.847553316,0.221681035
0.355968476,0.383932122,0.822263725,0.192140923
0.364978704,0.379763081,0.830200479,0.171437478
0.36464884,0.389557264,0.82426328,0.179201466
0.340189363,0.409722281,0.793316845,0.192421885
0.347504364,0.47369206,0.82028612,0.199889947
0.328256157,0.463129049,0.903274887,0.173108456
0.323399664,0.461607234,0.85103224,0.167350045
0.300310753,0.463279808,0.841602208,0.153982951
0.290149189,0.44406828,0.884293475,0.160307546
0.278720126,0.468207899,0.813331148,0.131345052
0.343019914,0.482236273,0.886398442,0.138782736
0.324452358,0.454435611,0.785093314,0.137231923
0.322395686,0.466899616,0.794473591,0.12572121
0.22508453,0.545763509,0.662305975,0.312551759
0.118624936,0.640468033,0.598958269,0.409665251
0.138060962,0.699010482,0.540847865,0.093882228
0.169530379,0.732044214,0.561019911,0.077965344
0.077812171,0.66882607,0.634023253,0.058435574
0.115297083,0.59591786,0.6535116,0.00283748
0.155126818,0.54373423,0.664313649,0.229242974
0.280762426,0.547317831,0.7290404,0.459434876
0.349671691,0.481223044,0.764103184,0.494311759
0.39228695,0.37611434,0.722142386,0.299940232
0.674309016,0.406999379,0.682253768,0.442262713
0.899993458,0.64004969,0.753186174,0.753815214
0.845131562,0.471859825,0.681139938,0.706214094
0.587597382,0.371105359,0.719067148,0.803662296
0.438547045,0.407745746,0.672452891,0.734266837
0.37781007,0.410192129,0.724036736,0.58396201
0.407346068,0.46503119,0.792046802,0.440642401
0.439919878,0.452064768,0.811347429,0.33337195
0.435420554,0.463865425,0.780587652,0.239390406
0.492836384,0.513081901,0.774610431,0.170225747
0.506046829,0.477664548,0.752666454,0.217993383
0.53406156,0.516815818,0.787482531,0.292376387
0.566665396,0.554171622,0.821079911,0.304507706
0.633126406,0.533094129,0.774053196,0.35175618
0.707409193,0.498617684,0.639176782,0.38734878
0.545838595,0.675056706,0.522772294,0.493223331
0.644526015,0.696842455,0.733448954,0.74218372
0.711198878,0.731284038,0.633405176,0.896519822
0.585677598,0.655747312,0.649208845,1
0.303367112,0.378205889,0.449628155,0.950463025
0.225969801,0.175179176,0.562590354,0.922028043
0.298447876,0.056032837,0.545441845,0.881300607
0.243624568,0.280894793,0.524389865,0.85679142
0.062804553,0.386487951,0.487908316,0.813346278
0.13807833,0.445837735,0.481209107,0.79563147
0.148719994,0.40518615,0.397960437,0.736649328
0.178210814,0.400958876,0.350866481,0.673302153
0.165283095,0.444565928,0.307345784,0.64978292
0.223271952,0.456331248,0.202380224,0.634399488
0.125811924,0.530301518,0.251223079,0.61199906
0.164868946,0.633036921,0.373178492,0.662504411
0.294358334,0.782435215,0.530059422,0.75484597
0.294857013,0.902965154,0.461320178,0.842061382
0.313971871,0.924285098,0.487140491,0.79119408
0.292753222,0.89299199,0.538981715,0.819529692
0.292923222,0.86292099,0.498981715,0.555100568
