IP2,IP5,Boston,Park
18.178944,18.236179,9.924232,12.884183
18.293716,21.430197,9.949189,12.765985
18.000244,21.339134,10.307116,13.068067
17.904491,20.654007,12.29122,14.361096
17.802189,20.457596,10.56782,13.920753
17.259098,18.726173,9.656539,13.220881
18.161285,18.977461,9.030286,12.466288
17.429976,17.920427,8.6586,11.622523
16.585217,17.048281,8.678574,12.062332
16.491783,17.128843,9.824907,12.636976
16.274891,17.174824,13.155366,12.684553
15.79874,16.855389,14.417889,12.83471
15.292158,16.576771,12.961856,12.618219
14.937365,17.090647,12.800678,12.490767
14.606188,16.905487,12.951456,12.382832
15.267739,16.89048,13.146433,13.53154
15.701333,16.795645,12.984142,14.707408
15.155966,18.524862,11.778126,15.118652
15.236951,17.802702,11.237463,14.772153
15.070907,16.990541,11.493741,14.87651
15.758834,16.340189,12.352048,14.838531
15.68408,16.113258,11.343164,15.219454
15.368781,16.762068,10.62511,15.06255
15.417813,17.2272,10.785727,15.092641
16.20517,18.597355,11.242017,15.286756
15.273,18.784351,11.306333,13.820462
13.807254,19.045452,12.400641,13.373174
12.982098,18.548128,11.857457,13.142022
13.418365,17.984703,11.620374,12.537222
13.211754,18.430206,11.279136,12.791561
12.020669,19.678974,11.154602,12.684773
13.256779,20.132145,11.021667,11.930998
14.029127,20.403549,11.975326,11.770953
15.500722,21.149557,12.631105,12.252927
13.413777,21.266064,13.487535,12.799994
12.752872,21.675005,13.981323,12.53221
14.151009,21.235399,13.509569,12.485435
15.991143,21.36153,13.429393,12.90777
15.335212,20.828407,13.12022,12.716123
17.210201,18.72036,13.308162,12.790462
17.235933,18.558651,13.769173,13.289927
18.016954,20.033821,12.694099,13.262989
18.024345,21.078413,12.546748,13.000299
17.479685,21.887655,12.57965,12.092132
19.074404,21.286295,13.16925,11.915033
17.333008,21.175186,13.593202,11.986082
16.705183,21.037987,14.027133,11.642935
17.493122,21.514185,14.670715,10.57974
17.937119,21.45507,13.887807,10.197104
12.944057,21.117813,14.060566,10.449106
11.2492,21.004679,14.839472,10.691928
15.087473,19.703156,14.31017,10.956436
18.867981,17.885136,14.495659,11.053226
17.666885,17.143423,14.108694,11.334127
16.699169,18.528044,12.549303,11.868158
17.519604,19.514486,12.480972,11.955856
18.218798,20.332203,12.713697,11.94934
18.59144,20.859053,12.75032,11.998629
18.592991,21.334923,12.011313,11.612611
18.927269,21.575783,13.120714,11.623987
19.478565,21.371246,12.725686,11.876705
18.914482,21.078316,12.198067,12.530656
18.302452,21.882059,12.128231,13.680801
18.734966,21.985409,12.177111,16.98535
19.339725,22.059978,12.13037,14.928888
18.844278,22.102032,12.024555,14.425812
18.62701,22.909138,11.513441,14.952773
18.453724,22.779709,11.830564,15.925523
17.414324,22.15303,12.493602,17.639748
16.273407,22.504669,13.223751,18.495796
16.564739,22.250292,14.300527,18.618557
17.067461,22.692791,13.856739,18.30262
18.0287,22.548847,14.042873,17.990047
18.492237,23.272923,14.029352,18.426067
17.367289,23.776619,13.916101,18.765614
17.569782,23.230778,14.384017,19.248514
18.11335,23.306145,14.543014,19.205463
19.170992,23.79372,13.400593,18.959482
17.758896,23.699205,12.438953,18.743143
17.596516,24.023783,12.219501,18.27545
19.441936,23.98317,13.267499,17.44932
20.174362,24.695995,13.178454,17.6057
19.453577,24.0497,13.316244,17.29726
19.670467,23.395842,13.549018,17.620993
19.691132,24.885149,14.331207,18.094322
19.92585,24.100182,14.613023,18.454605
19.995348,23.921535,14.937557,20.034609
19.434011,24.206974,15.163931,20.297047
17.86587,23.841454,14.162357,19.351576
16.130985,23.556145,14.066533,18.983414
18.827398,23.487566,13.736736,18.984091
19.522787,24.018673,12.316484,19.870331
19.937954,23.649544,11.20674,20.660023
18.637039,23.283491,12.245485,20.608376
19.563519,22.959517,13.251782,20.196646
19.541428,24.564285,12.715237,19.727932
19.313047,24.131302,13.480979,19.85887
19.520107,24.698418,13.515321,18.780773
19.329699,24.586237,12.10731,19.569782
19.933107,24.675295,11.92032,18.815214
19.995008,25.410301,13.510107,15.011358
19.347176,24.99757,13.339499,12.378937
19.749353,25.5324,13.448677,11.12815
20.607452,25.825069,13.216561,10.654701
20.416023,25.383411,13.343301,10.6281
20.377296,24.755003,14.593311,10.663042
19.82218,24.549171,15.730921,10.438224
18.305653,24.604128,15.54023,11.790287
18.644241,25.200745,20.510139,11.11121
19.644806,25.495157,22.253468,10.492846
20.532219,26.073975,22.309961,11.010765
20.645512,25.950758,22.669689,10.66546
20.486668,25.800938,22.672695,9.884559
20.471291,25.534752,22.861904,10.245104
20.605757,25.178499,22.927784,11.102896
20.357321,25.393368,22.949774,10.573915
20.435141,25.417622,22.983234,11.286735
20.116293,25.007816,22.977913,11.183617
20.492188,25.350861,22.698889,11.795312
20.271175,25.36846,22.472954,12.144308
20.384531,25.278742,20.370703,11.938313
20.067537,24.904387,17.811066,11.62538
19.850271,23.593216,14.995269,12.290422
19.915173,21.77949,13.498857,11.85676
20.32114,23.263294,12.75977,11.558019
20.171791,24.228785,13.703547,11.707428
20.588043,24.548229,13.682061,12.074342
19.772341,23.927343,13.714275,11.770574
18.74152,23.706612,13.896541,11.518856
19.362526,24.147131,15.098796,11.653386
19.364937,23.018108,14.919786,11.118538
18.819584,22.742414,14.075799,11.23743
19.424286,21.643932,13.48626,11.357056
20.0198,18.29229,12.836456,10.70731
19.954607,16.532896,12.008704,10.843954
19.726297,16.138573,12.743761,10.147624
19.661045,18.034079,14.597383,9.392847
19.714542,18.405584,11.84278,9.382061
19.904808,19.311184,12.676788,9.095021
19.964174,19.367439,13.94515,10.340838
19.754326,17.94873,13.000412,10.470741
19.793266,18.221191,12.810989,12.279118
19.076935,21.205288,12.189772,12.860945
19.249174,24.816071,12.899418,14.390025
19.456861,25.245689,13.590935,16.548418
20.257742,25.213167,12.207539,15.83971
20.818708,25.135159,12.418752,14.803345
20.793856,25.337574,11.912796,14.754034
20.651636,25.31815,11.534844,14.687845
20.897808,25.437929,11.89694,14.910404
20.739006,25.959127,11.648178,16.228195
20.685806,26.023155,13.344042,17.056358
20.875978,25.755861,14.2809,17.11438
20.880882,25.498827,13.611484,16.639439
20.518944,25.245472,11.820127,16.117029
20.67178,25.462339,11.658739,13.940701
20.620548,25.921476,12.12462,14.235132
20.536842,26.071423,12.122656,14.462692
19.891479,26.598055,12.717748,14.313372
16.5912,20.90947,13.178537,14.954189
13.409231,16.178347,13.821925,15.474016
13.880539,15.759273,12.800804,14.180055
14.615227,16.372084,12.028492,14.461929
14.545605,16.533297,12.30468,15.615951
15.28302,16.133465,13.316038,14.138483
13.149849,15.629053,13.416977,14.072145
14.425337,17.37112,11.186596,14.586058
13.677073,19.89352,13.891184,14.619355
16.262602,21.299061,17.707302,13.998652
16.306202,22.800629,14.343638,14.712658
14.995243,23.682148,15.84893,15.036564
18.760481,25.51532,15.39154,15.562955
20.346909,26.809816,15.956238,17.250526
20.05826,26.535561,15.086712,17.479631
19.980211,26.897587,14.65577,18.455603
19.975071,26.486652,16.132313,18.980967
20.043995,26.639927,16.944611,18.623249
20.141125,26.991899,16.198231,17.982609
20.178921,26.965254,15.128405,18.215244
20.173262,26.665762,15.658044,17.817381
20.161516,26.955006,17.335136,18.517654
20.162695,27.0247,19.671318,20.583431
,,18.738609,20.950918
,,16.873463,17.930983
,,16.83094,15.992323
,,17.252008,14.01314
,,16.906523,12.989625
,,19.036118,12.995906
,,21.642588,11.967449
,,22.233356,11.310435
,,21.38587,11.452025
,,19.868134,10.881104
,,16.055443,11.606913
,,14.050184,12.594343
,,14.527992,12.642561
,,12.673993,12.54196
,,13.80353,12.057385
,,13.779878,11.388945
,,13.513078,10.837376
,,13.983779,10.321541
,,13.224012,10.957131
,,12.681713,10.756444
,,16.429003,11.13467
,,17.554142,11.520695
,,16.426041,11.926926
,,15.700377,11.259317
,,14.626025,10.4184
,,18.246719,10.107989
,,16.589701,9.273813
,,15.016405,10.344776
,,14.219398,10.165433
,,14.033817,10.415306
,,13.323083,11.466597
,,13.529089,12.499094
,,13.587162,11.257349
