IP2,IP5
0.001,0.016
-0.001,0.004
0,0.004
0.001,0.014
0.002,-0.03
0.009,-0.014
-0.018,0.023
0.016,-0.006
0.012,-0.024
-0.019,-0.003
-0.003,-0.003
0.013,0.013
-0.032,-0.011
-0.024,0.012
0.022,-0.005
0.004,-0.02
0.007,0.011
0.007,-0.009
-0.013,0.012
-0.008,-0.001
0.003,-0.018
0.035,0.016
-0.003,0.001
0.004,0.006
-0.005,-0.008
-0.011,-0.002
-0.004,0.006
0.015,0.005
-0.032,-0.007
-0.048,-0.001
0.02,0.006
0.001,-0.003
0.008,0.01
-0.037,0.002
0.041,-0.012
0.01,0.004
-0.018,-0.012
-0.024,0.028
0.001,-0.017
0.005,-0.006
-0.005,-0.006
0.002,0.004
-0.012,-0.001
0.006,-0.001
0.033,-0.004
-0.017,0.002
0.007,-0.008
0.007,0.013
-0.019,-0.005
-0.015,0.009
-0.006,-0.004
0.002,0.011
0.022,-0.019
-0.014,0.006
0.004,-0.006
0.012,-0.015
-0.01,0.017
-0.002,-0.002
-0.002,0.015
0.001,-0.008
-0.008,-0.014
0.018,-0.006
0,-0.001
-0.012,0.01
0.014,0.006
-0.004,-0.004
0.005,0.003
0.011,0.012
-0.008,0
-0.015,0.001
0.002,0.002
0.004,-0.001
-0.002,-0.003
-0.001,0.001
0.018,-0.005
-0.014,-0.005
-0.009,0.006
-0.004,0.004
0.017,0.013
-0.008,-0.014
-0.017,0
0.006,0.006
0.005,-0.015
-0.006,0
-0.014,0.004
0.005,0.005
0.013,-0.007
-0.014,0.004
0.021,-0.012
0.004,0.016
0.005,-0.002
0.01,0.008
-0.011,-0.01
0.006,0.003
-0.006,0.003
-0.002,-0.004
-0.001,-0.006
0.005,0.017
-0.007,-0.005
0.004,-0.007
-0.002,0.002
-0.003,0.002
0.008,-0.003
-0.002,0
-0.005,0.008
-0.015,0.005
0,-0.001
-0.001,-0.001
0.011,0.001
-0.004,0
0.004,-0.006
-0.004,-0.007
0.007,0.011
-0.004,0.006
0.003,-0.001
0.002,0.006
-0.006,0
-0.001,-0.003
0.001,-0.012
-0.006,-0.003
0.013,0.003
-0.008,-0.009
0.003,0.015
-0.006,-0.012
0.009,0.012
-0.011,0.005
0.007,-0.002
0.003,0.001
-0.004,-0.006
0.002,0.012
-0.007,-0.007
-0.009,-0.008
0.004,-0.002
-0.001,0.001
-0.01,0.005
0.006,0.007
0.006,0.009
0.004,-0.008
0.002,-0.006
-0.004,0.033
-0.001,-0.022
0.017,-0.007
0.003,0.001
-0.01,-0.005
0.001,-0.001
0,0.001
0.002,0.002
0,-0.004
-0.003,0.002
0.002,0.002
0.001,0.006
-0.001,-0.009
-0.001,-0.002
-0.005,0.001
0.001,0.008
-0.002,0.003
0.003,-0.005
0.002,0
0.006,0.003
0,-0.019
0.002,-0.006
0.075,0.011
-0.073,0
-0.016,-0.007
0.034,0.049
0.019,-0.021
-0.033,0.014
-0.054,0.009
-0.001,-0.005
0.054,0.017
0.004,-0.008
-0.004,0.005
-0.01,-0.001
0.013,-0.002
0.004,0.004
-0.002,0
0.001,-0.007
0.001,0
-0.005,0.003
0.002,0.002
-0.003,-0.002
