aesthetics,memory,quality,anomaly,video
0.019952967,0.08988764,0.431636859,0.594475825,HC3
0.396256959,0.033707865,0.491973241,0.58574422,HC3
0.279044162,0.202247191,0.434908181,0.561367095,HC3
0.367648978,0.415730337,0.874432214,0.560065661,HC3
0.373433918,0.516853933,0.778442127,0.48579164,HC3
0.445989286,0.505617978,0.619675979,0.524477145,HC3
0.375683463,0.449438202,0.890756242,0.543659384,HC3
0,0.213483146,0.284159164,0.571197566,HC3
0.43826033,0.337078652,0.024607949,0.568626023,HC3
0.337710504,0.426966292,0.547904088,0.409059785,HC3
0.235085749,0.292134831,0.301036045,0.264158658,HC3
0.494889579,0.370786517,0.460830803,0.269126062,HC3
0.18406804,0.258426966,0.28559059,0.323211229,HC3
0.270301965,0.370786517,0.540125866,0.413128117,HC3
0.254240839,0.404494382,0.640062129,0.491366627,HC3
0.14320352,0.191011236,0.869255123,0.440691459,HC3
0.496755401,0.303370787,0.722181288,0.548641587,HC3
0.454068746,0.258426966,0.693513154,0.613792123,HC3
0.662508178,0.269662921,0.432362086,0.725300492,HC3
0.885535118,0.280898876,0.424280197,0.825588898,HC3
0.365230587,0.106557377,0,0.198999149,HC4
0.266520314,0.073770492,0.255765187,0.193792013,HC4
0.255340808,0.106557377,0.427224435,0.193396854,HC4
0.555888532,0.040983607,0.483678414,0.178215179,HC4
0.383255686,0.139344262,0.373824101,0.187771005,HC4
0.181709704,0.163934426,0.255142525,0.134066008,HC4
0.212607202,0.073770492,0.363157956,0.105951509,HC4
0.350784953,0.221311475,0.278138108,0.118644659,HC4
0.299639404,0.18852459,0.375136882,0.129412629,HC4
0.344748464,0.237704918,0.306734122,0.147379294,HC4
0.389174834,0.221311475,0.486457562,0.239294796,HC4
0.484900807,0.032786885,0.873897395,0.42278135,HC4
0.258839351,0.139344262,0.679462267,0.590021248,HC4
0.29956782,0.180327869,0.809431641,0.538377887,HC4
0.482526468,0.229508197,0.806120802,0.500560108,HC4
1,0.024590164,0.407721932,0.611508619,HC4
0.26048993,0.114754098,0.495065278,0.516444697,HC4
0.553099208,0.016393443,0.592358278,0.495329563,HC4
0.252689211,0,0.421712642,0.422513401,HC4
0.305986696,0.131147541,0.707357695,0.362490639,HC4
