Air,BaseJump,BearPark,Bike,Bus
-0.051895,0.01427128,0.11785823,0.01960081,0.01234193
0.00895875,0,-0.05411916,0.06776561,-0.00105144
-0.00895875,0,0.00636439,0,0
0,0.00553584,0,0,0
-0.01569355,0,0,0,-0.07923435
0,0,0.10618124,0,0
0,0,0,0,0
-0.00359203,-0.01383669,0,0.00091683,0.00030177
-0.01478494,0,-0.005837,0,0.08160141
0,0,0,0,0
0,0.00772811,0,0,0
0,0,0,0,0
0.04584994,0,0,-0.02903488,0.03556911
0.03259073,0,0,0,0
0,0,0,0,0
0,0,0.04821896,-0.00229392,0.0006323
-0.00796426,0,0,0,0.03216182
0,0.02514037,0,0,0.00366182
0,0.00685053,-0.02454937,0,0
0.01758771,0,0,0,0
0.02390037,0,0,-0.01408697,-0.03922564
0,-0.00580679,0,0,0
0,0,0,0,0
0,0,0,0,-0.00099525
-0.0273189,-0.01405589,0,0,0
0,0,0,0,0
0,0,0,0.03074241,0
0.02022222,0.00316571,0,0,-0.00623677
0.01685152,0,0,0.01892292,0
0,0,0,0,0
0,0.00532628,0,0.00878169,0.04630019
-0.01490025,0.00602894,0,0.05297655,0
0,0.01042098,0.0035194,0,0
0,0,0.00391903,0.07231318,0
0,0,0,0,0
0,0,0,0,0.06010761
0.02429872,0,0,-0.05121825,0
0.02880889,-0.01499875,-0.00302375,0,0.01910944
0.03899207,0,-0.00655837,0,0
0,0,-0.05542122,0,0
0,-0.03191037,0,-0.14144564,0
-0.0013849,0,0,0,0
0,0,0,-0.00673729,0
-0.04693704,0,-0.01890151,0,0
0,0,-0.00243319,0,0
0,0,0,0.00922715,0
0,0,0,0,0
-0.02288492,-0.00533994,0.05865398,0,-0.02202545
0,0,0,0,0
0,0,0.01181571,0,0
0,0,0,0.04277021,0.00339222
0,0,0,0.01939036,0.0151907
0,0,0,0,0.04448097
0,0.01470229,0.01168108,0,0
0,0,0,0,0
0,0,0,-0.04030582,-0.03436488
0,-0.00502161,0,0,0
0,0,-0.02574512,0,0
0.01180271,0,-0.00528301,0,0
0,0.02911634,0,0,0
0,0,0,0,0
-0.00824703,0,0,0,0
0,-0.05803472,0,0.02344528,0
0,0,0,0,0.01606774
0,0,-0.00617178,0,0
-0.01193659,-0.07077962,-0.00694805,0,0
0,0,-0.00545779,0.04292372,-0.04209284
0,-0.11374359,-0.01715698,0.04714826,0
0.02331954,0,-0.00319124,0.03320477,-0.00206779
0.02919432,0,0,0,0
0.01498866,0,0,0,0
0,0,-0.10947708,0.03909085,0
0,0,0,0,-0.01568198
0,0.03940162,0,0,0
0,0.0618157,0,0,0
0,0.02915001,0,0,-0.03665729
0,0.00397658,0.12776192,0.0866109,0
0.01999612,0,0,0,0
0.00759947,0,0,0,0.01505082
0.02421414,0,-0.0752898,0,0
0,0.03466448,-0.04322407,0,0
0.03936177,0,0,-0.00013112,-0.00172082
0,0,-0.02551617,0,0
0,-0.05059129,0,0,0
0,0,-0.01121941,0.00847914,0
0,0,0,0,0
-0.04309101,-0.03984528,0,0,0.01701813
-0.01465631,0,0,0,0
-0.04523139,0,0,0,0
0,0.08358551,0,0,0
0,0,0,0,0.05013794
-0.01506035,0,0.08406943,0,0.0018021
-0.04495317,0,0.01275539,0,0
0,0.01383147,0,0,0
0,0,0.03889121,0,-0.07772547
0.02051215,0.0515508,0,0,-0.0052866
0.04402046,0,0,-0.00373999,0
0.00831971,0.16257323,0,0,0
0,0,-0.11269536,0,0.01270141
0,0,-0.02458791,0.05941313,0.00408935
0.01831277,-0.00670568,-0.11697242,0,0.04016867
0.01431598,0,0,0,0
0,0,0,-0.00779871,0
0,0,0,0,0
-0.04535413,0,0,-0.02204069,-0.01192353
0,0,0,0,0
-0.01739281,0,0,0,0
0,0.02042126,0,0.02483129,0.01275534
0,0,0.02983244,0.0127744,0.0073534
0.0415477,0,0.07158216,0.09501055,0
0.01586939,0,0,0.01216191,0
0.00726746,-0.03121095,0,0,0
0,0,0,0,0
0,0,0,0,0.00494738
0,-0.00325557,0.08529733,-0.01938534,0.00649197
-0.03024209,-0.07416803,0.03196614,0,0.00861941
0,-0.018188,0,0,0.02179956
-0.00631712,0,0,-0.0594415,0
0,0,0,0,0
-0.10570856,0.07592496,-0.05661196,0,-0.03225361
0,0,0,0,-0.00642163
0,0,-0.00235888,0,0
0,0,0,-0.0441289,0
0,0,0,-0.04023656,0.00786814
0,-0.00479621,0.03953658,0,0
0,0,0.05328858,0,0
0,0,0,0,0.0287255
0,0,0,0,0
0,-0.00594185,-0.04085562,0,0
0,-0.01025425,-0.0551114,0,-0.01779725
0.0233357,-0.07333747,0,0,0
0,0,-0.0362534,-0.04791189,0
0.00802653,0,-0.05660517,-0.01964201,0
0.01381327,0.00335568,0,0,0
0.00385187,0,-0.03594464,0,0
0.03051231,0,0,0,-0.00165908
0.02069175,-0.006318,0,0,0
0,0,0,0.03892599,0
0,-0.00783541,0,0,0
-0.02317281,-0.09276727,0,0,0
0,0,0,0,-0.03827381
0,-0.01029382,0,0,0
-0.03734931,0,0.02731116,0,0
0,0,0,0,0
0,0,0,0,0
0.00762812,-0.04488176,0,0,0
0,0,0,0,0
0.00641779,0,0,0,-0.00678078
0,0,0,0,0
0.01321061,0,0.05026062,0,0
0,0,0,0.06810293,0
0,0,0,0.00360388,0
-0.03523749,-0.00116152,0,0,0
0,0,0,0,0
0,-0.01462105,0,-0.02086528,0
0,-0.1044749,-0.02234253,0,0
0.03924395,0,-0.02852712,-0.07923143,-0.00095966
0,0,-0.00740587,-0.05041427,0
0,0.01949558,0,0,0
-0.00098338,0,-0.01520173,0,0
-0.01142256,0,0,0.04229619,-1.69E-05
0,0,0,0,-0.01568705
-3.94E-05,0,0.02875296,0,0
-0.00275428,0,0.06198008,0,0
-0.03372854,0,0.03061105,0,0
0,0.05617923,0,0,0.0349106
0,0,0,0,0
0.02616989,0.00239187,0,0,0
0,0.00450219,0.00899711,0,-0.0271524
0,0,0,-0.05558453,0
0,0.02102108,0,0,0
-0.00513032,0.08595939,0,0,0
-0.00678337,0.00081422,0,0,0
0,0,0,0,0
0,0,0,0,0
0.03712543,0.00647135,0,0,0
0,0.01975472,0,0,-0.02610788
0,0,-0.03764652,-0.11803373,0
0,0,-0.03363852,0,0
0,0.06200155,0,0,0
-0.00261587,0,0,0.01310948,0
-0.00410916,0,0,0,0
0,-0.02301434,0,0.00208237,0
0,0,0,0.01279389,0
0,-0.02235208,0,0,-0.06037578
0,0,0.06044924,0,0
0,0,0,0.01984107,0
0,0,0,0.00281462,0
0,0,-0.02619532,0.06922287,0
0,0,0,0.05987982,-0.02225932
-0.0017865,0.01331523,0,0,-0.0408922
-0.03908005,0.0056545,0,0,0
0,0,0,0,0
-0.06658214,0,0.02744376,0,0.00188392
0,-0.01889727,0,0,0
0,0,0,-0.02765103,0
0,0,0,0,0.02089558
0.02879754,0,0,0,0.03948641
0.0009018,0,0,0.05911571,0.08440527
0,0,0,0.00048919,0
0.01250764,0.04170548,0,0,0
0,0.00049161,0,0,0
0,0,0,0,0
0.01913136,0,0,0,0
0,-0.05472055,-0.00183451,0,0
0,-0.01022554,0,-0.01915545,0
0,0,0,0,0
0,0,0.0194875,0,-0.02026667
0,0.03958928,0.07063727,0,0
-0.00198017,0.05175053,0.00520153,0,0
0,0,0,0,0.01262661
0,0,0,0,0.00901252
-0.00389382,-0.0758281,-0.03545695,0,0
0,-0.05694538,0,0,0
0,-0.01491133,-0.02113796,0.00619065,0
0.02035754,0,-0.03306189,0,0
0,-0.0380739,0,0,0
0,0,-0.0259693,0,0
-0.0178542,0,0,-0.00176226,-0.02848958
0,0.00689452,0,-0.06669094,-0.02061499
0,0,0.02998422,0,-0.01500484
0.03288141,0,0,0,-0.00397229
0,-0.0035264,0,0,0
0,0,0,0,0
0.00230168,0,0,0.02532485,0.00271361
0,0.00919356,0,0.03287765,0
0,0,-0.00570128,0.01047495,0
0,0,0,0,0
0,-0.04846299,0,0,0
0,0,0,0,0.01003823
0,0,0,0.00452622,0.00477258
0.00126182,0.08578163,0,0.01741481,0
0.06240992,0,0,0,0
0,0,0,0,0
0,-0.02569907,0,-0.0173504,0
-0.0113101,0,-0.01972081,-0.00939326,0
-0.00501102,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.01720309,0,0,0,-0.04831311
0,-0.0370241,0,0,0
-0.02248815,-0.00259431,-0.02828337,0,-0.00347969
-0.01192509,-0.00933916,-0.06151083,0,0
0,-0.00204169,0,0,0
0,0,0,0,0
0,0,0.01462556,0.00145846,-0.00101459
0,0,0,0.01103949,-0.01387318
0,0,0,0,0
0,0,0,0,0
-0.05324129,-0.03342947,0,-0.03089175,0.03877605
0,0,0,-0.02501378,0
-0.00439181,-0.02220576,0,0,0
0,0,0,0,0
0,0,0,0,0
-0.00116303,-0.07740455,0.08045553,0,0
0,0,0,0,0.02536221
0,0,0,0,0
0,0,0,-0.03649673,0
0,0,-0.03631475,0,-0.01815329
0,0,-0.03564836,-0.04390008,0
0,0.0054258,-0.03017564,0,0
-0.02262284,0.01796424,0,0,0.03899528
-0.01116298,0,-0.0115797,0,0
0,0.09286104,0,-0.02907223,0
-0.01020124,0,0,0,0
