Air,BaseJump,BearPark,Bike,Bus
0.01361085,0.01760641,0.01760641,0.05696141,0.03577295
0.10962762,0.12588601,0.12588601,0.07275998,-0.02489584
0.05195952,-0.2046964,-0.2046964,0.14655914,-0.08761249
0.02787264,0.2397905,0.2397905,-0.25203382,-0.01195625
0.07677356,0.07231745,0.07231745,0.22245525,0.01747035
-0.06708621,-0.15264915,-0.15264915,-0.00632902,0.01079885
-0.06038286,-0.01261549,-0.01261549,-0.07513674,-0.01172992
-0.02413072,0.10077783,0.10077783,0.04308916,0.08709954
0.09047044,-0.18447304,-0.18447304,0.00353647,-0.01193267
-0.08348315,0.13156293,0.13156293,0.04172328,0.07503373
-0.00201375,0.0490445,0.0490445,-0.12166394,0.04714341
-0.06481601,-0.1175556,-0.1175556,-0.04035108,-0.0909556
0.05400268,0.04015143,0.04015143,0.02023467,0.00750135
-0.01684669,0.01686857,0.01686857,-0.10159885,0.03642656
0.03068949,-0.08750286,-0.08750286,0.01289794,0.01850722
0.0517714,-0.041032,-0.041032,0.01599137,-0.0123972
0.0022408,-0.05883919,-0.05883919,0.08996942,-0.06285429
0.02546305,0.17567558,0.17567558,0.00802073,0.05183151
0.07066887,0.01762421,0.01762421,0.00453785,-0.0202479
-0.11104244,0.00942652,0.00942652,0.00809929,0.01180004
0.00690125,-0.07492939,-0.07492939,0.03228114,0.0081991
0.00712831,0.00949394,0.00949394,-0.11019268,-0.0094094
0.02874244,-0.17386696,-0.17386696,-0.04107496,0.01299427
-0.01601908,0.09613115,0.09613115,0.19147514,-0.15111675
0.05809007,0.05411453,0.05411453,-0.00246374,0.04844511
0.04857287,-0.09569055,-0.09569055,-0.12617139,0.0204713
0.033346,0.17542686,0.17542686,-0.01174771,0.07951419
-0.02682942,-0.07103558,-0.07103558,-0.02775488,-0.02506122
0.00144259,-0.00675772,-0.00675772,0.06161138,-0.12789586
-0.07331067,0.07387251,0.07387251,0.10967108,0.06889085
0.01948849,-0.04361297,-0.04361297,-0.11327134,-0.06804617
-0.04807658,-0.00163232,-0.00163232,0.00342839,0.07982826
-0.03521519,-0.02043008,-0.02043008,-0.0833376,-0.02636355
-0.01046132,-0.02585224,-0.02585224,-0.06162386,-0.0212879
-0.0023693,0.12418951,0.12418951,0.03355686,0.03701183
0.01777149,-0.04923805,-0.04923805,-0.01620806,0.04815586
0.0364193,0.0257135,0.0257135,-0.09571516,-0.079781
-0.0950348,0.04509997,0.04509997,0.11261037,0.08346542
0.02096649,0.04147094,0.04147094,0.06339834,0.06716613
0.02832863,0.04549838,0.04549838,-0.22845634,-0.03624062
0.07511181,-0.06638891,-0.06638891,0.05808335,-0.14750079
-0.12446872,0.01459048,0.01459048,-0.05489995,0.15378182
-0.00897817,-0.06509435,-0.06509435,0.04931449,-0.03079925
-0.05947903,-0.0678135,-0.0678135,0.03302489,-0.07726034
0.13333799,-0.17962911,-0.17962911,0.12202737,0.03344189
-0.02358052,0.05957657,0.05957657,0.05726422,0.04782623
-0.0193001,0.09398255,0.09398255,-0.41814032,0.03888076
-0.02094062,-0.17933949,-0.17933949,0.27192599,0.04337687
0.01926444,0.02739897,0.02739897,-0.24930296,-0.06420577
-0.02437246,0.08834244,0.08834244,0.10492162,-0.01709909
0.00304418,-0.071328,-0.071328,-0.0511394,-0.0274407
0.04154665,0.10696167,0.10696167,-0.05193446,0.09053008
0.0148686,-0.06146931,-0.06146931,0.03490516,-0.01255769
-0.04562615,0.01069399,0.01069399,0.04279706,0.01264284
-0.05773317,0.00797717,0.00797717,0.09114884,-0.03522191
-0.00209488,0.1194334,0.1194334,-0.02089987,0.07500086
-0.07435389,-0.07522402,-0.07522402,0.05434267,-0.08102625
0.03760218,0.12287055,0.12287055,-0.11459644,-0.07117266
0.03627149,-0.16016919,-0.16016919,0.06142387,0.04919577
-0.01478095,-0.00654098,-0.00654098,0.01770187,0.00989074
0.09808088,0.01915591,0.01915591,-0.05326273,0.05412396
-0.00956239,0.04540722,0.04540722,0.10553444,-0.06590856
0.01634332,-0.03750916,-0.03750916,-0.08997048,0.03712004
0.01766776,0.16816564,0.16816564,0.29340299,-0.09818064
-0.05352054,-0.02232114,-0.02232114,-0.11548887,0.02055405
-0.02576006,0.11542961,0.11542961,-0.06978712,0.07592744
0.01591373,-0.00991451,-0.00991451,-0.06593238,-0.03758897
0.06739764,-0.09153596,-0.09153596,-0.14872323,0.01191576
0.08380277,-0.00278101,-0.00278101,0.26347046,0.00308172
-0.05442601,0.0966198,0.0966198,-0.0204431,-0.00270295
0.02851186,-0.06934251,-0.06934251,-0.11958578,-0.07591252
-0.0149432,-0.03270771,-0.03270771,0.20698039,0.10458168
-0.00479168,-0.02148648,-0.02148648,0.17203869,-0.06911665
-0.01028927,0.06263181,0.06263181,-0.07570245,0.07917225
0.07962444,-0.04339512,-0.04339512,-0.18242051,-0.06980261
-0.0111754,0.05227817,0.05227817,0.05781727,0.11684324
0.04065915,0.00541067,0.00541067,-0.11209597,-0.05203739
-0.01423564,-0.08412868,-0.08412868,-0.15356056,-0.02501823
-0.03748839,-0.00154562,-0.00154562,0.20674367,0.02893461
-0.01773092,0.05888343,0.05888343,0.02633647,-0.0328274
0.08269121,0.07662301,0.07662301,0.03804446,0.02349448
-0.03906411,-0.06051454,-0.06051454,0.05832939,-0.00020149
-0.09764421,-0.066347,-0.066347,-0.09012338,-0.0251184
0.00424149,0.11386638,0.11386638,0.18491677,-0.0681165
0.0129945,-0.00388657,-0.00388657,-0.25512497,0.1308942
-0.01145118,-0.0909682,-0.0909682,0.15396178,-0.03518142
0.00015735,0.07291506,0.07291506,0.14546549,-0.0396408
-0.06889523,-0.06460959,-0.06460959,-0.025553,0.06655665
0.04105989,0.13600176,0.13600176,0.01454992,-0.03234481
-0.04004253,0.00360353,0.00360353,-0.42676032,0.05406804
0.03109513,-0.04222928,-0.04222928,0.29443371,-0.05103922
-0.02032237,0.10058316,0.10058316,-0.0842794,0.07563643
0.03267575,0.12638615,0.12638615,-0.02332072,-0.02281468
-0.11024587,0.03648884,0.03648884,0.1397419,-0.09106068
0.12731961,-0.12009789,-0.12009789,0.01662299,-0.05279117
0.02567077,0.27363975,0.27363975,-0.1453713,0.10084686
0.02637478,0.0087521,0.0087521,0.13560949,-0.01033608
-0.0671412,0.01785523,0.01785523,0.0058452,0.0599654
0.00464086,-0.03248939,-0.03248939,0.13175035,-0.02542383
-0.00373703,0.02327517,0.02327517,0.00148327,0.12250666
-0.05980027,0.02404139,0.02404139,-0.23671925,-0.03818488
0.05331445,-0.02653556,-0.02653556,-0.00466966,-0.02111428
0.06461809,0.04908271,0.04908271,0.25857111,-0.03777689
0.01707673,-0.04542326,-0.04542326,-0.29409858,-0.09678378
0.03774838,-0.02250746,-0.02250746,0.04987617,0.06235917
-0.05682117,-0.17605536,-0.17605536,-0.10991413,-0.064406
0.00679264,0.00535975,0.00535975,0.07082207,0.0371431
-0.07762049,0.078335,0.078335,0.24790352,0.01683854
0.05314893,0.0032282,0.0032282,-0.18400536,-0.04827648
-0.0936589,-0.11986233,-0.11986233,-0.24187502,-0.09102082
0.03066363,-0.00362346,-0.00362346,0.27167977,0.03607827
-0.04401341,-0.10355484,-0.10355484,0.00064322,0.08451533
0.12112917,0.0954036,0.0954036,-0.07421075,-0.14557333
-0.05375249,-0.01320522,-0.01320522,0.10646658,0.03391394
-0.00705071,0.00889418,0.00889418,0.03111738,0.04841088
-0.08223032,-0.0434809,-0.0434809,0.24317709,0.06538987
0.08682898,-0.0944877,-0.0944877,-0.25200764,0.01950539
-0.02027527,0.19138665,0.19138665,0.01154876,-0.02356607
-0.03485339,-0.11120315,-0.11120315,0.10020891,-0.10259641
-0.09948917,0.03334409,0.03334409,-0.2937854,0.16302761
-0.04119302,-0.00513309,-0.00513309,0.10869904,0.02382786
0.0361792,0.01113396,0.01113396,-0.00674079,0.0180743
0.02933456,-0.0816821,-0.0816821,-0.12860684,-0.17082926
-0.01180347,0.13939913,0.13939913,0.04499262,-0.07371523
0.06146366,-0.08495945,-0.08495945,0.1335018,0.08103867
0.01207761,-0.09314167,-0.09314167,-0.06544627,0.03912336
0.05044396,-0.0352053,-0.0352053,0.16412481,0.01567102
0.00186266,0.12269815,0.12269815,-0.05096963,-0.03147404
0.02295601,-0.04249526,-0.04249526,-0.01608153,-0.02461902
0.00157898,0.14832975,0.14832975,-0.04657958,0.01775584
-0.00216484,-0.22295838,-0.22295838,0.00293737,-0.02074865
