aesthetics,aesRound,memory,memRound,quality,quaRound,anomaly,anomalyRound,index
0.290434345,0.3,0.19506043,0.2,0.549780688,0.5,0.032262461,0,0
0.452773664,0.5,0.257716352,0.3,0.632544372,0.6,0.040156949,0,1
0.507271554,0.5,0.264098996,0.3,0.637108616,0.6,0.03497477,0,2
0.445200994,0.4,0.255644541,0.3,0.697599918,0.7,0.039416974,0,3
0.442876636,0.4,0.300040105,0.3,0.670201703,0.7,0.041138974,0,4
0.368861136,0.4,0.269822326,0.3,0.620956942,0.6,0.030166962,0,5
0.404854384,0.4,0.292223902,0.3,0.625420011,0.6,0.04940163,0,6
0.445398642,0.4,0.311741847,0.3,0.616964052,0.6,0.073792387,0.1,7
0.463275142,0.5,0.243815136,0.2,0.597719957,0.6,0.053382683,0.1,8
0.453862629,0.5,0.289659011,0.3,0.64615278,0.6,0.02700756,0,9
0.458570158,0.5,0.320329384,0.3,0.54980564,0.5,0.015088251,0,10
0.430559003,0.4,0.333407529,0.3,0.634824368,0.6,0.021735795,0,11
0.477485385,0.5,0.333544084,0.3,0.594028613,0.6,0.015460319,0,12
0.454374296,0.5,0.36027995,0.4,0.632071226,0.6,0.023426003,0,13
0.413083171,0.4,0.316980564,0.3,0.585745508,0.6,0.023305558,0,14
0.516429547,0.5,0.294054503,0.3,0.647955592,0.6,0.034108661,0,15
0.408313733,0.4,0.320044264,0.3,0.679072664,0.7,0.016417124,0,16
0.452830474,0.5,0.272431462,0.3,0.689585688,0.7,0.051327958,0.1,17
0.34560882,0.3,0.265087787,0.3,0.738925754,0.7,0.030977483,0,18
0.394580448,0.4,0.29284543,0.3,0.758611534,0.8,0.060474244,0.1,19
0.474245768,0.5,0.372044833,0.4,0.850639164,0.9,0.042866581,0,20
0.483664797,0.5,0.387228413,0.4,0.802503311,0.8,0.057312457,0.1,21
0.477034777,0.5,0.341172997,0.3,0.713044126,0.7,0.080442316,0.1,22
0.467104959,0.5,0.335157896,0.3,0.736065852,0.7,0.066059644,0.1,23
0.465179116,0.5,0.327190111,0.3,0.719580772,0.7,0.056075807,0.1,24
0.530265407,0.5,0.341238485,0.3,0.705454015,0.7,0.084307694,0.1,25
0.515773846,0.5,0.386644557,0.4,0.682791441,0.7,0.060793046,0.1,26
0.521043698,0.5,0.384529631,0.4,0.624770592,0.6,0.100210044,0.1,27
0.500569154,0.5,0.40014722,0.4,0.591003887,0.6,0.106832147,0.1,28
0.62556779,0.6,0.374653548,0.4,0.556288671,0.6,0.089298023,0.1,29
0.611876298,0.6,0.411760082,0.4,0.650920798,0.7,0.084579193,0.1,30
0.75726356,0.8,0.396618577,0.4,0.688613113,0.7,0.075064019,0.1,31
0.635407083,0.6,0.355761548,0.4,0.695708731,0.7,0.089292855,0.1,32
0.674779097,0.7,0.34120151,0.3,0.650523814,0.7,0.081928603,0.1,33
0.65628708,0.7,0.385497779,0.4,0.59688362,0.6,0.085399652,0.1,34
0.636823712,0.6,0.448521585,0.4,0.613399996,0.6,0.105696861,0.1,35
0.691270665,0.7,0.445131604,0.4,0.503410152,0.5,0.077472526,0.1,36
0.686301752,0.7,0.401348382,0.4,0.502227006,0.5,0.115123391,0.1,37
0.65272924,0.7,0.40274998,0.4,0.521947351,0.5,0.136626643,0.1,38
0.564988906,0.6,0.473899765,0.5,0.537497608,0.5,0.126205943,0.1,39
0.585080114,0.6,0.4410039,0.4,0.563415447,0.6,0.131617234,0.1,40
0.640256644,0.6,0.370552653,0.4,0.473441394,0.5,0.140844214,0.1,41
0.51114358,0.5,0.386714479,0.4,0.53701842,0.5,0.113725351,0.1,42
0.46771821,0.5,0.432981972,0.4,0.562799364,0.6,0.121236682,0.1,43
0.542208662,0.5,0.48996566,0.5,0.529369935,0.5,0.10891907,0.1,44
0.601459577,0.6,0.426412478,0.4,0.508714514,0.5,0.153160237,0.2,45
0.615284676,0.6,0.486535662,0.5,0.53457675,0.5,0.163503422,0.2,46
0.558071023,0.6,0.579278033,0.6,0.508991666,0.5,0.226789645,0.2,47
0.506407889,0.5,0.609139332,0.6,0.484222579,0.5,0.195165415,0.2,48
0.552557871,0.6,0.432306931,0.4,0.60043267,0.6,0.169587298,0.2,49
0.764460996,0.8,0.463534334,0.5,0.526536063,0.5,0.143662553,0.1,50
0.665086598,0.7,0.48664399,0.5,0.403733282,0.4,0.141509246,0.1,51
