aesthetics,aesRound,memory,memRound,quality,quaRound,anomaly,anomalyRound,index
0.365230587,0.4,0.106557377,0.1,0,0,0.198999149,0.2,0
0.266520314,0.3,0.073770492,0.1,0.255765187,0.3,0.193792013,0.2,1
0.255340808,0.3,0.106557377,0.1,0.427224435,0.4,0.193396854,0.2,2
0.555888532,0.6,0.040983607,0,0.483678414,0.5,0.178215179,0.2,3
0.383255686,0.4,0.139344262,0.1,0.373824101,0.4,0.187771005,0.2,4
0.181709704,0.2,0.163934426,0.2,0.255142525,0.3,0.134066008,0.1,5
0.212607202,0.2,0.073770492,0.1,0.363157956,0.4,0.105951509,0.1,6
0.350784953,0.4,0.221311475,0.2,0.278138108,0.3,0.118644659,0.1,7
0.299639404,0.3,0.18852459,0.2,0.375136882,0.4,0.129412629,0.1,8
0.344748464,0.3,0.237704918,0.2,0.306734122,0.3,0.147379294,0.1,9
0.389174834,0.4,0.221311475,0.2,0.486457562,0.5,0.239294796,0.2,10
0.484900807,0.5,0.032786885,0,0.873897395,0.9,0.42278135,0.4,11
0.258839351,0.3,0.139344262,0.1,0.679462267,0.7,0.590021248,0.6,12
0.29956782,0.3,0.180327869,0.2,0.809431641,0.8,0.538377887,0.5,13
0.482526468,0.5,0.229508197,0.2,0.806120802,0.8,0.500560108,0.5,14
1,1,0.024590164,0,0.407721932,0.4,0.611508619,0.6,15
0.26048993,0.3,0.114754098,0.1,0.495065278,0.5,0.516444697,0.5,16
0.553099208,0.6,0.016393443,0,0.592358278,0.6,0.495329563,0.5,17
0.252689211,0.3,0,0,0.421712642,0.4,0.422513401,0.4,18
0.305986696,0.3,0.131147541,0.1,0.707357695,0.7,0.362490639,0.4,19
0.207069283,0.2,0.147540984,0.1,0.553320455,0.6,0.268472476,0.3,20
0.360527603,0.4,0.147540984,0.1,0.456900747,0.5,0.157896883,0.2,21
0.188845632,0.2,0.303278689,0.3,0.58243314,0.6,0.147385134,0.1,22
0.392623476,0.4,0.295081967,0.3,0.532832661,0.5,0.121942139,0.1,23
0.666821828,0.7,0.303278689,0.3,0.570284114,0.6,0.076541065,0.1,24
0.5456515,0.5,0.270491803,0.3,0.598704864,0.6,0.093704567,0.1,25
0.195179209,0.2,0.229508197,0.2,0.679738153,0.7,0.107518419,0.1,26
0.408888229,0.4,0.221311475,0.2,0.710819984,0.7,0.122628703,0.1,27
0.252805261,0.3,0.196721311,0.2,0.66988074,0.7,0.209968981,0.2,28
0.21471115,0.2,0.196721311,0.2,0.529325336,0.5,0.164838337,0.2,29
0.163384174,0.2,0.204918033,0.2,0.66347534,0.7,0.078874203,0.1,30
0.165413555,0.2,0.163934426,0.2,0.524885124,0.5,0.075310429,0.1,31
0.199570997,0.2,0.18852459,0.2,0.521916819,0.5,0.028305509,0,32
0.120395754,0.1,0.147540984,0.1,0.696912189,0.7,0.023957403,0,33
0.078454524,0.1,0.131147541,0.1,0.59009488,0.6,0.034210304,0,34
