aesthetics,aesRound,memory,memRound,quality,quaRound,anomaly,anomalyRound,index
0.90817803,0.9,0.832061069,0.8,0.317196826,0.3,0.281788212,0.3,0
0.840743944,0.8,0.839694656,0.8,0.281079857,0.3,0.269893025,0.3,1
0.973474564,1,0.832061069,0.8,0.348933642,0.3,0.300309019,0.3,2
0.853248335,0.9,0.832061069,0.8,0.341854647,0.3,0.310233041,0.3,3
0.884767145,0.9,0.839694656,0.8,0.237357458,0.2,0.320835814,0.3,4
0.866370898,0.9,0.854961832,0.9,0.210112206,0.2,0.377122793,0.4,5
0.802631977,0.8,0.923664122,0.9,0.20719565,0.2,0.283618425,0.3,6
0.614466243,0.6,0.786259542,0.8,0.318621052,0.3,0.359412674,0.4,7
0.645006511,0.6,0.908396947,0.9,0.333371892,0.3,0.446965096,0.4,8
0.723280517,0.7,1,1,0.38939606,0.4,0.456648773,0.5,9
0.543626247,0.5,0.854961832,0.9,0.548941533,0.5,0.47912787,0.5,10
0.591852013,0.6,0.832061069,0.8,0.406242819,0.4,0.528477061,0.5,11
0.670098713,0.7,0.93129771,0.9,0.560676408,0.6,0.580980179,0.6,12
0.694526607,0.7,0.687022901,0.7,0.425554358,0.4,0.617751597,0.6,13
0.528013951,0.5,0.503816794,0.5,0.537172896,0.5,0.652075408,0.7,14
0.543057129,0.5,0.671755725,0.7,0.664580008,0.7,0.58351101,0.6,15
0.442053728,0.4,0.702290076,0.7,0.505847249,0.5,0.538572507,0.5,16
0.584948123,0.6,0.755725191,0.8,0.574926681,0.6,0.595095375,0.6,17
0.537339661,0.5,0.809160305,0.8,0.521130571,0.5,0.586701937,0.6,18
0.808865278,0.8,0.709923664,0.7,0.670683357,0.7,0.603911051,0.6,19
0.655110201,0.7,0.648854962,0.6,0.661384949,0.7,0.532612995,0.5,20
0.700515866,0.7,0.671755725,0.7,0.583597307,0.6,0.540360641,0.5,21
0.712977262,0.7,0.938931298,0.9,0.462708468,0.5,0.573038826,0.6,22
